cytoband	16q23.1	5q12.1	4q22.1	9p23	6p25.3	20p12.1	3p14.2	9p21.3	Xp21.1	18q21.2	7q31.1	6q26	3q26.31	1p36.11	4q35.1	10q23.31	2q32.1	21q11.2	16p13.3	19p13.3	17p12	7q36.3	11q23.2	12p13.1	11p15.5	3p26.1	2q37.2	10q22.3	Xp22.2	21q22.13	1q44	Xq21.33	15q15.1	2q33.3	14q23.3	6q24.3	9q21.11	22q13.31	4p16.3	17q24.3	18q12.2	13q12.11	8p23.2	15q11.2	3p21.1	6q14.1	14q32.32	5q23.2	19q13.11	10p15.3	1p13.2	12q12	
															RN7SKP67			TEKT4P2		MIR637			RN7SL351P	RN7SL46P		TRNT1											SNORA70|ENSG00000252133.1	C22orf26	SH3BP2			RNA5SP25	ARHGEF10	GOLGA8Q	PBRM1	RNA5SP213	IGHJ3	SKP1	SNORD111|ENSG00000252230.1	RNA5SP308	RNA5SP58	HIGD1C	
															RN7SKP13			MIR3648		RN7SL202P			KRT18P59	RN7SKP162		CRBN											FAM27E1	LINC00899	WHSC1			MIPEPP3	KBTBD11	RN7SL196P		snoU13|ENSG00000238563.1	IGHJ4	snoU13|ENSG00000238796.1	SCGB1B2P	LINC00837	NBPF24	RN7SL519P	
															LINC00290			HSPA13		SNORD38|ENSG00000252408.1			SLC37A2	GRIN2B		LRRN1											RN7SL722P	MIR4762	NELFA			ESRRAP2	FBXO25	GOLGA8R		U3|ENSG00000253091.1	IGHJ5	HSPA4	WTIP	RNU4ATAC6P	RN7SL261P	MIR1293	
															SNORD65|ENSG00000212191.1			TPTE		FZR1			RNA5SP352	RNA5SP353		SUMF1											SNORA70|ENSG00000252617.1	ACR	SLBP			RN7SL80P	CSMD1	U8|ENSG00000238519.1		snoU13|ENSG00000239095.1	IGHJ6	LEAP2	RN7SL154P	RN7SKP39	ACP6	AQP6	
															RNA5SP173			RBM11		RN7SL866P			TBRG1	HTR7P1													FAM27E2	CHKB	FAM193A			SNORD27|ENSG00000252128.1	TDRP	RN7SL469P		snoU13|ENSG00000239015.1	IGHM	UQCRQ	RN7SL150P	U3|ENSG00000222666.1	LINC00624	AQP5	
															SLC25A4			SAMSN1		GNA11			OR10D3	SNORD88													RN7SL565P	CPT1B	TACC3			snoU13|ENSG00000238893.1	ERICH1	GOLGA8T		C6orf3	IGHD	RNA5SP192	LRP3	RN7SKP132	HYDIN2	BCDIN3D	
															CASP3			LIPI		ZNF554			U8|ENSG00000200496.1	GPRC5A													RN7SL343P	TYMP	MXD4			HNRNPA1P30	ZNF596	U8|ENSG00000207432.1		KIAA1919	IGHG3	snoZ6|ENSG00000253067.1	C19orf40	ARMC4P1	RNA5SP57	PRPH	
															DCTD			ABCC13		AES			SNORD14C	MIR613													FAM95B1	FBLN1	UVSSA			MIR4499	MIR596	ULK4P3		RPF2	IGHG1	HINT1	RN7SKP22	LINC00614	PDZK1P1	WNT1	
															ACSL1			POTED		DAPK3			SNORD14D	DUSP16													SNORA70|ENSG00000252724.1	PPARA	ZFYVE28			LINC00556		RN7SL673P		snoU13|ENSG00000238775.1	IGHA1	RNA5SP191	RN7SL789P	snoU13|ENSG00000238414.1	RNF115	snoU13|ENSG00000238395.1	
															ING2			MIR3687		EEF2			SNORD14E	LOH12CR2													RN7SL763P	MAPK11	TNIP2			snoU13|ENSG00000238665.1		GOLGA8J		SNORA40|ENSG00000212587.1	IGHG2	RNU6ATAC10P	SNORA68|ENSG00000201388.1	SNORA57|ENSG00000223027.1	NUDT17	MIR4701	
															IRF2					GNA15			snoU13|ENSG00000239079.1	TAS2R30													FAM74A6	MAPK12	HAUS3			RN7SL166P		snoZ278		RN7SL617P	IGHG4	KIAA1024L	RNA5SP472	LINC00264	GNRHR2	SNORA2B	
															CLDN22					GNG7			RNU4ATAC5P	TAS2R64P													FAM74A2	SBF1	TMEM129			PSPC1		GOLGA6L7P		snoU13|ENSG00000238474.1	IGHE	MIR4633	RNA5SP471	RNA5SP307	NBPF10	SNORA2A	
															CDKN2AIP					MATK			RNU4ATAC10P	TAS2R20													RN7SL422P	WNT7B	FAM53A			LINC00350		WHAMMP2		CCDC162P	IGHA2	C5orf63	THEG5	RNA5SP306	SEC22B	SNORA34	
															TENM3					GADD45B			SC5D	TAS2R14													FAM74A1	CELSR1	CRIPAK			LINC00421		RN7SL719P		C6orf183	CRIP1	RN7SKP117	ATP4A	RN7SKP220	RN7SKP88	DKFZP779L1853	
															LRP2BP					NFIC			TBCEL	PRH2													RN7SL462P	PPP6R2	NAT8L			TUBA3C		GOLGA8M		ZNF259P1	C14orf79	RN7SL711P	CD22	RN7SKP241	LINC00623	RPAP3	
															STOX2					MAP2K2			OAF	TAS2R8													FAM74A5	ZBED4	POLN			RNA5SP24		RN7SL829P		LINC00222	LINC00638	RN7SL689P	CEBPA	RNA5SP305	NBPF8	SNORA64|ENSG00000199566.1	
															KIAA1430					SGTA			THY1	MAGOHB													RN7SL640P	SCO2	C4orf48			LINC00442		RN7SL238P		RNA5SP212	ZBTB42	snoU13|ENSG00000239103.1	CEBPG	MIR603	SRGAP2B	SCAF11	
															TRAPPC11					SH3GL1			MFRP	EIF2S3L													FAM201A	PKDREJ	MIR4800			PHF2P2		GOLGA8F		snoU13|ENSG00000238974.1	C14orf144	snoU13|ENSG00000252295.1	COX6B1	snoU13|ENSG00000238515.1	ANKRD20A12P	RN7SL246P	
															MLF1IP					TBXA2R			ACA64|ENSG00000252119.1	RN7SKP161													PGM5	RABL2B				LINC00387		RNA5SP391		SNORA73|ENSG00000253090.1	RN7SL634P	snoU13|ENSG00000239067.1	ETV2	SNORA40|ENSG00000252049.1	FCGR1B	RNA5SP361	
															WWC2					THOP1			HINFP	KLRF2													ZNF658	GRAMD4				LINC00388		LINC00929		SCML4	LINC00637	snoU13|ENSG00000239084.1	GPI	RNA5SP304	HIST2H2BA	SNORA74|ENSG00000252917.1	
															SNX25					TLE2			C2CD2L	CLEC2B													SPATA31A7	MLC1				LINC00349		SNORA48|ENSG00000212604.1		RTN4IP1	SNORD51|ENSG00000202275.1	RNA5SP190	FFAR1	RN7SKP37	LINC00622	RN7SL10P	
															ENPP6					S1PR4			MIR3656	CLEC2D													CNTNAP3	MAPK8IP2				FGF9		MIR4715		RNA5SP211	APOPT1	RN7SL174P	FFAR3	RN7SKP219	snoU13|ENSG00000238679.1	RNA5SP360	
															RWDD4					APBA3			RPS25	KLRB1													ANKRD20A1	PLXNB2				GJA3		RNA5SP390		RN7SL47P	SNORA28	TNFAIP8	FFAR2	MIR1915	RNA5SP56	MUC19	
															CCDC111					CHAF1A			RN7SL529P	SNORA75|ENSG00000212432.1													TMEM252	BRD1				GJB2		ATP10A		RN7SKP211	LINC00605	MIR5706	HPN	CASC10	WDR3	SNORA22|ENSG00000199571.1	
															HELT					EBI3			RN7SL688P	SNORA75|ENSG00000212440.1													CBWD5	TBC1D22A				ZMYM2		SNORD109B		POPDC3	LINC00677	snoU13|ENSG00000239011.1	MAG	U3|ENSG00000251749.1	SNORA40|ENSG00000212266.1	ABCD2	
															CLDN24					HMG20B			BCL9L	LINC00987													FOXD4L3	ATXN10				IFT88		SNORD115|ENSG00000212428.1		LINC00577	snoU13|ENSG00000238853.1	DTWD2	PEPD	RNA5SP303	MAN1A2	ALG10B	
															MIR1305					SEMA6B			CXCR5	A2MP1													FOXD4L4	FAM19A5				ZMYM5		SNORD109A		SNORA33|ENSG00000202283.1	RN7SL546P	ARL14EPL	FXYD1	U3|ENSG00000200545.1	MIR942	RNA5SP359	
															MIR3945					ZFR2			DDX6	LINC00612													SPATA31A6	RIBC2				SAP18		SNORD108		snoU13|ENSG00000238999.1	snoU13|ENSG00000239061.1	AP3S1	FXYD3	C10orf112	TTF2	RNA5SP358	
															MIR4455					PIP5K1C			TTC36	SCARNA11|ENSG00000252727.1													FAM74A4	SMC1B				GJB6		SNORD64|ENSG00000270704.2		PRDM13	RN7SL472P	RN7SKP89	SCN1B	TMEM236|ENSG00000184040.7	RNA5SP55	ALG10	
																				TJP3			RN7SL86P	FAM86FP													ANKRD20A3	NCAPH2				LATS2		SNHG14		TSTD3	LINC00524	RNU4ATAC13P	USF2	MRC1L1	MIR548AC	SYT10	
																				NMRK2			CD3G	FAM66C													ANKRD20A2	GTSE1				CRYL1		SNURF		RN7SL509P	U3|ENSG00000206761.1	ZRSR1	PDCD5	snoR442|ENSG00000251959.1	ATP1A1OS	SNORD112|ENSG00000251863.1	
																				SLC39A3			MPZL3	NANOGP1													FAM27A	MOV10L1				IL17D		snoU13|ENSG00000238615.1		RN7SL797P	MEG9	SRP19	KIAA0355	ST8SIA6	U3|ENSG00000221040.1	ASIC1	
																				ZBTB7A			TMPRSS4	C1R													SPATA31A2	TTC38				MPHOSPH8		PWRN1		SNORA18|ENSG00000252249.1	MIR369	FLJ11235	WBP7	snoU13|ENSG00000238552.1	SNORA42|ENSG00000207502.1	ACVR1B	
																				SIRT6			SCARNA11|ENSG00000252992.1	A2M													SPATA31A4	MIOX				XPO4		PWRN2		U3|ENSG00000221455.1	MIR377	SNORA13	UBA2	SNORA31|ENSG00000252537.1	RN7SL420P	ACVRL1	
																				STAP2			PCSK7	APOBEC1													CBWD6	TRMU				MRP63		MAGEL2		U3|ENSG00000200492.1	MIR485	RN7SKP57	TMEM147	snoU13|ENSG00000239130.1	RN7SL432P	ADCY6	
																				CCDC94			RNY4P6	ARHGDIB													SPATA31A1	PANX2				TPTE2		RN7SL536P		RN7SL415P	MIR134	CAMK4	UPK1A	ITGA8	DENND2C	AMHR2	
																				C19orf10			ZNF259	C3AR1													FOXD4L6	CERK				N6AMT2		GOLGA8S		RN7SKP110	MIR382	SNORA51|ENSG00000207177.1	SLC7A9	NMT2	BCL2L15	AQP2	
																				NCLN			snoU13|ENSG00000238625.1	CD69													FOXD4L5	CRELD2				SKA3		RN7SL106P		CASP8AP2	MIR381HG	MIR548F3	ZNF507	ACBD7	LRIG2	ARF3	
																				SHD			LINC00900	CDKN1B													FAM27D1	ADM2				MICU2		HERC2P2		snoU13|ENSG00000238747.1	MIR376A1	TMEM232	HAUS5	MEIG1	snoU13|ENSG00000238975.1	ATF1	
																				ZNF77			snoU13|ENSG00000239153.1	CREBL2													SPATA31A3	TRABD						RN7SL495P		RN7SL11P	MIR376C	RN7SKP230	LSM14A	CDNF	WNT2B	ATP5G2	
																				CACTIN			ACA59|ENSG00000252870.1	PHC1													SPATA31A5	HDAC10						WHAMMP3		RN7SL336P	MIR380	FER	GAPDHS	RNA5SP302	snoU13|ENSG00000238761.1	CACNB3	
																				CELF5			snoU13|ENSG00000238724.1	EMP1													CBWD7	SHANK3						RN7SL545P		SNORA73|ENSG00000222145.1	MIR299	RN7SKP122	ZBTB32	RNA5SP301	snoU13|ENSG00000239111.1	CCNT1	
																				FSD1			ATF4P4	EPS8													FAM74A3	TUBGCP6						GOLGA8DP		RN7SL183P	MIR379	RN7SL782P	LSR	RNA5SP300	ATP5F1	CNTN1	
																				TLE6			snosnR66	ETV6													CNTNAP3B	LMF2						MIR1268A		snoU13|ENSG00000238628.1	SNORD113|ENSG00000222185.1	SNORA31|ENSG00000252337.1	FXYD7	MIR4480	PGCP1	COL2A1	
																				ZNF556			C11orf34	GPR19													ANKRD20A4	KLHDC7B						OR4N4		C6ORF165	SNORD112|ENSG00000252009.1	RNA5SP189	FXYD5	RNU6ATAC39P	DENND2D	EIF4B	
																				UBXN6			SDHD	GUCY2C													FOXD4L2	C22orf34						snoU13|ENSG00000238960.1		RN7SKP209	SNORD113|ENSG00000222095.1	RN7SL255P	GPATCH1	SNORD45|ENSG00000252438.1	RNA5SP54	CELA1	
																				DOHH			RNA5SP351	KLRC1													FAM27E3	FLJ27365						DKFZP547L112		RN7SL643P	SNORD113|ENSG00000201710.1	LINC00491	ZNF302	RN7SL198P	CYMP	GPD1	
																				CREB3L3			HSPB2	KLRC2													FAM27C	LINC00898						RN7SL400P		SNHG5	SNORD113|ENSG00000201036.1	LINC00492	SLC7A10	RN7SL232P	SNORA25|ENSG00000200536.1	NR4A1	
																				RAX2			ALG9	KLRC3													FAM27B	IL17REL						CT60		CYB5R4	SNORD113|ENSG00000201500.1	RN7SKP68	TSHZ3	snoU13|ENSG00000238900.1	ALX3	IGFBP6	
																				MPND			ALG9	KLRD1													MIR1299	MIRLET7A3						NBEAP1		RWDD2A	SNORD113|ENSG00000200150.1	RNA5SP188	GRAMD1A	U6|ENSG00000272507.1	RNU6V	ITGB7	
																				ATCAY			RN7SKP273	LRP6													MIR4477A	MIRLET7B						RN7SL759P		SNORA70|ENSG00000206886.1	SNORD112|ENSG00000251918.1	RN7SL802P	CHST8	LINC00710	GNAI3	KRT1	
																				MRPL54			SIK2	M6PR														PIM3						GOLGA6L6		RNA5SP210	SNORD112|ENSG00000252144.1	MIR548P	KCTD15	SFTA1P	KIAA1324	KRT2	
																				TMIGD2			RNA5SP350	MGP														ODF3B						snoU13|ENSG00000239083.1		SNORD112|ENSG00000252932.1	SNORD112|ENSG00000251949.1	RN7SKP62	RBM42	LINC00709	SCARNA2	KRT3	
																				TNFAIP8L1			SNORD39|ENSG00000264997.1	MGST1														SYCE3						CHEK2P2		HTR1B	SNORD112|ENSG00000252873.1	GPR150	ANKRD27	RNA5SP299	TMEM167B	KRT4	
																				ZNF57			RNA5SP349	OLR1														MIR3201						RN7SL584P		U6|ENSG00000272445.1	SNORD112|ENSG00000251769.1	LUCAT1	PDCD2L	LINC00708	TAF13	KRT5	
																				MFSD12			ACAT1	PDE6H														MIR3619						APBA2		snoU13|ENSG00000239132.1	MEG8	SNORA70|ENSG00000206958.1	CEP89	TAF3	SPATA42	KRT6A	
																				GIPC3			ACRV1	PRB1														MIR3667						GABRA5		RNA5SP209	MIR433	RNA5SP187	RHPN2	LINC00707	NBPF5P	KRT6B	
																				DIRAS1			APLP2	PRB3														MIR4763						GABRB3		RN7SKP163	MEG3	RN7SL629P	ZNF30	DKFZP667F0711	SLC25A24P1	KRT7	
																				ZNF555			APOA1	PRB4														MIR4535						GABRG3		U3|ENSG00000221332.1	RN7SKP92	RN7SKP34	TDRD12	MIR3155A	RN7SKP285	KRT8	
																				ANKRD24			APOA4	PRH1																				NDN		MB21D1	RN7SL523P	MIR3607	DMKN	RN7SKP78	snoU13|ENSG00000238296.1	KRT18	
																				C19orf77			APOC3	PTPRO																				OCA2		snoU13|ENSG00000238464.1	YY1	COX7C	WDR88	SNORA14	SCARNA16|ENSG00000252765.1	KRT81	
																				PLIN5			ARCN1	PEX5																				SNRPN		OOEP	DEGS2	NBPF22P	ZNF792	RN7SL445P	DPH5	KRT82	
																				PLIN4			ATM	PZP																				TJP1		OGFRL1	MIR342	RN7SKP295	DPY19L3	AKR1C7P	MIR553	KRT83	
																				C19orf71			FXYD2	SLC2A3																				UBE3A		U3|ENSG00000221345.1	CCNK	SCARNA18|ENSG00000238835.1	ZNF599	U8|ENSG00000251909.1	LPPR5	KRT84	
																				MIR4746			CBL	MFAP5																				MKRN3		B3GAT2	U6|ENSG00000272439.1	RN7SL378P	FAM187B	AKR1CL1	RN7SKP270	KRT85	
																							CD3D	KLRC4																				HERC2		C6orf57	RN7SL714P	SSBP2	LGI4	U8|ENSG00000239142.1	RN7SL831P	KRT86	
																							CD3E	YBX3																				CYFIP1		COL19A1	RN7SL710P	APC	SCGB2B2	U8|ENSG00000251740.1	ALG14	LALBA	
																							CHEK1	CD163																				FAM189A1		RNA5SP208	LINC00618	ALDH7A1	ZNF181	U8|ENSG00000239148.1	snoU13|ENSG00000238389.1	NELL2	
																							CRYAB	GDF3																				NPAP1		SNORD65|ENSG00000212229.1	RN7SKP108	CAMLG	SBSN	U8|ENSG00000238840.1	RN7SL440P	SLC11A2	
																							DDX10	CLSTN3																				NDNL2		FKBP1C	snoU13|ENSG00000238776.1	CAST	RGS9BP	AKR1C1	ARHGAP29	PCBP2	
																							DLAT	KLRG1																				NIPA2		AIM1	DKFZP434O1614	CCNH	KRTDAP	LINC00705	GCLM	PFDN5	
																							DPAGT1	KLRAP1																				CHRFAM7A		AMD1	C14orf132	CDO1	NUDT19	LINC00704	DNTTIP2	PFKM	
																							DRD2	STRAP																				ARHGAP11B		BAI3	LINC00617	CETN3		LINC00703	RNA5SP53	PRKAG1	
																							ETS1	PRR4																				TUBGCP5		BCKDHB	GLRX5	CHD1		LINC00702	DR1	TWF1	
																							FDX1	KLRK1																				NIPA1		PRDM1	SCARNA13	CKMT2		LINC00701	RN7SKP123	RARG	
																							FLI1	GABARAPL1																				GOLGA6L2		CCNC	SNHG10	HAPLN1		LINC00700	RN7SL692P	SCN8A	
																							SLC37A4	NECAP1																				HERC2P3		CGA	AKT1	CSF2		ADARB2	SNORA51|ENSG00000207022.1	SMARCD1	
																							GRIK4	CLEC4E																				GOLGA6L1		CNR1	BDKRB1	CSNK1G3		MIR5699	SNORA66|ENSG00000207523.1	SP1	
																							H2AFX	TAS2R9																				GOLGA8G		COL9A1	BDKRB2	VCAN		RN7SL754P	SNORA66|ENSG00000251795.1	TARBP2	
																							HMBS	TAS2R7																				GOLGA8I		COL10A1	CKB	DMXL1		RNA5SP298	SNORD21	TMBIM6	
																							HSPA8	TAS2R13																				GOLGA8EP		COL12A1	CRIP1	EFNA5		RNA5SP297	RN7SL824P	TFCP2	
																							HTR3A	TAS2R10																				OR4M2		COX7A2	CRIP2	FBN2		TUBB8	RPAP2	VDR	
																							IL10RA	CLEC4A																				HERC2P9		EEF1A1	DIO3	GDF9		ATP5C1	ACTBP12	WNT10B	
																							IL18	HEBP1																				POTEB2		EPHA7	DYNC1H1	GLRX		BMI1	RN7SL235P	MAP3K12	
																							STT3A	DERA																				MIR4508		FOXO3	EIF5	HSD17B4		CACNB2	RN7SL653P	TUBA1A	
																							KCNJ1	DDX47																				POTEB		FYN	EML1	IL3		CALML3	BARHL2	KMT2D	
																							VWA5A	CLEC1B																						GABRR1	BRF1	IL4		AKR1C4	U3|ENSG00000199666.1	AAAS	
																							MCAM	CLEC1A																						GABRR2	HSP90AA1	IL5		KLF6	RN7SKP272	SOAT2	
																							KMT2A	C1RL																						GPR6	JAG2	IL9		MAP3K8	snoU13|ENSG00000239176.1	NPFF	
																							NCAM1	KLRF1																						GRIK2	KLC1	IL13		AKR1C2	GBP1P1	ENDOU	
																							NFRKB	WBP11																						HDAC2	MARK3	IRF1		TRDMT1	GBP6	KRT75	
																							NNMT	MANSC1																						HTR1E	PPP2R5C	KCNN2		GAD2	RN7SL583P	DDX23	
																							NPAT	FAM90A1																						IMPG1	MOK	LECT2		GATA3	RNA5SP52	SLC4A8	
																							NRGN	STYK1																						KPNA5	TNFAIP2	LMNB1		GDI2	RNA5SP51	ESPL1	
																							PAFAH1B2	GPRC5D																						LAMA4	TRAF3	LNPEP		IDI1	SNORD81|ENSG00000199934.1	DAZAP2	
																							POU2AF1	ATF7IP																						MARCKS	VRK1	LOX		IL2RA	C1orf52	TROAP	
																							PPP2R1B	H2AFJ																						ME1	WARS	SMAD5		IL15RA	CTBS	YAF2	
																							PTS	FOXJ2																						MYO6	XRCC3	MAN2A1		ITIH2	SPATA1	TUBA1B	
																							PVRL1	LMO3																						NT5E	TCL1A	MCC		MRC1	RPF1	RAPGEF3	
																							RDX	AICDA																						PGM3	DLK1	MEF2C		PFKFB3	UOX	MCRS1	
																							SCN2B	RIMKLB																						POU3F2	MTA1	NEUROG1		PFKP	SNORA2|ENSG00000199959.1	ATF7	
																							SCN4B	KIAA1467																						PREP	BAG5	PAM		PHYH	TTLL7	GALNT6	
																							SDHD	CLEC7A																						REV3L	C14orf2	PCSK1		PIP4K2A	RN7SKP247	FAIM2	
																							ST3GAL4	BCL2L14																						ROS1	CDC42BPB	PGGT1B		PRKCQ	RNA5SP23	DDN	
																							SLN	NANOG																						SIM1	TCL1B	PITX1		RSU1	RNA5SP22	TENC1	
																							SORL1	APOLD1																						SMPD2	TECPR2	PPIC		SVIL	GIPC2	KCNH3	
																							SRPR	GSG1																						ELOVL4	SIVA1	RASA1		ZEB1	DNAJB4	ANP32D	
																							ST14	RBP5																						MAP3K7	CYP46A1	RPS23		VIM	RNA5SP21	PRPF40B	
																							TAGLN	RERG																						NR2E1	PAPOLA	SLC12A2		STAM	RN7SL370P	METTL7A	
																							TECTA	CLEC6A																						TPBG	RCOR1	SLC22A4		MLLT10	RNA5SP20	LETMD1	
																							UPK2	LOH12CR1																						TTK	PACS2	SLC22A5		CUBN	ST6GALNAC5	RND1	
																							ZBTB16	TMEM52B																						PTP4A1	PPP1R13B	SNX2		PRPF18	ST6GALNAC3	RACGAP1	
																							ZNF202	HIST4H4																						DDO	KIF26A	TCF7		AKR1C3	SNORD45B	SENP1	
																							CUL5	SLC2A14																						SNX3	TCL6	NR2F1		CDC123	SNORD45A	PDZRN4	
																							BARX2	A2ML1																						RNGTT	GPR132	TGFBI		PTPLA	SNORD45C	DHH	
