"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"cyt.cat=low",43,21,3.3,"2.3 to NA","0.95 (0.89 to 1)","0.76 (0.63 to 0.91)","0.67 (0.53 to 0.84)","0.44 (0.28 to 0.67)"
"cyt.cat=med",88,47,3,"2.6 to 5.4","0.87 (0.8 to 0.94)","0.80 (0.72 to 0.89)","0.64 (0.54 to 0.76)","0.43 (0.32 to 0.58)"
"nmdptc_max.cat=high",44,21,4.7,"2.4 to NA","0.95 (0.88 to 1)","0.81 (0.69 to 0.95)","0.66 (0.51 to 0.84)","0.46 (0.31 to 0.69)"
"nmdptc_max.cat=low",45,25,2.9,"2 to NA","0.89 (0.8 to 0.99)","0.77 (0.66 to 0.91)","0.66 (0.53 to 0.83)","0.35 (0.21 to 0.59)"
"nmdptc_max.cat=med",86,39,5.1,"2.9 to NA","0.88 (0.82 to 0.96)","0.82 (0.74 to 0.91)","0.69 (0.59 to 0.8)","0.54 (0.43 to 0.68)"
"nmdptc_n_decayed.cat=high",50,24,3.2,"2 to NA","0.89 (0.8 to 0.99)","0.75 (0.63 to 0.9)","0.61 (0.47 to 0.79)","0.44 (0.3 to 0.65)"
"nmdptc_n_decayed.cat=low",51,28,2.9,"2 to 5.9","0.92 (0.84 to 1)","0.81 (0.71 to 0.93)","0.67 (0.54 to 0.82)","0.37 (0.23 to 0.58)"
"nmdptc_n_decayed.cat=med",74,33,5.4,"3.7 to NA","0.90 (0.83 to 0.97)","0.83 (0.74 to 0.92)","0.72 (0.62 to 0.84)","0.57 (0.45 to 0.72)"
"nmdptc_frac_decayed.cat=high",46,23,4.7,"1.6 to NA","0.95 (0.88 to 1)","0.82 (0.71 to 0.95)","0.61 (0.47 to 0.79)","0.47 (0.33 to 0.68)"
"nmdptc_frac_decayed.cat=low",45,26,2.9,"1.8 to NA","0.91 (0.83 to 1)","0.77 (0.66 to 0.91)","0.59 (0.46 to 0.76)","0.37 (0.24 to 0.59)"
"nmdptc_frac_decayed.cat=med",84,36,5.1,"3.3 to NA","0.87 (0.8 to 0.95)","0.81 (0.73 to 0.91)","0.77 (0.68 to 0.87)","0.55 (0.43 to 0.7)"
"nmdptc_med.cat=high",44,23,3.9,"1.7 to NA","0.94 (0.87 to 1)","0.80 (0.68 to 0.94)","0.63 (0.49 to 0.81)","0.47 (0.33 to 0.67)"
"nmdptc_med.cat=low",45,23,3.3,"2.9 to NA","0.98 (0.93 to 1)","0.84 (0.74 to 0.96)","0.71 (0.58 to 0.86)","0.45 (0.3 to 0.67)"
"nmdptc_med.cat=med",86,39,4.7,"2.7 to 8.2","0.84 (0.76 to 0.92)","0.78 (0.69 to 0.88)","0.68 (0.58 to 0.8)","0.49 (0.38 to 0.65)"
"nmdptc_med.wt.cat=high",45,24,5.7,"2.4 to NA","0.93 (0.85 to 1)","0.83 (0.72 to 0.95)","0.67 (0.54 to 0.83)","0.52 (0.38 to 0.71)"
"nmdptc_med.wt.cat=low",45,24,3.3,"2.3 to NA","0.95 (0.89 to 1)","0.82 (0.71 to 0.94)","0.69 (0.56 to 0.84)","0.43 (0.29 to 0.65)"
"nmdptc_med.wt.cat=med",85,37,4.7,"2.7 to NA","0.86 (0.78 to 0.94)","0.78 (0.69 to 0.88)","0.68 (0.57 to 0.8)","0.48 (0.36 to 0.63)"
"nmdptc_mean.cat=high",44,19,6.3,"2.5 to NA","0.94 (0.87 to 1)","0.83 (0.71 to 0.96)","0.68 (0.54 to 0.86)","0.54 (0.39 to 0.74)"
"nmdptc_mean.cat=low",45,25,2.9,"2.6 to NA","0.98 (0.93 to 1)","0.82 (0.71 to 0.94)","0.71 (0.59 to 0.87)","0.41 (0.27 to 0.63)"
"nmdptc_mean.cat=med",86,41,4.7,"2.7 to 8.2","0.84 (0.76 to 0.92)","0.78 (0.7 to 0.88)","0.65 (0.55 to 0.77)","0.49 (0.37 to 0.64)"
"nmdptc_mean.wt.cat=high",45,22,5.7,"2.4 to NA","0.93 (0.85 to 1)","0.82 (0.71 to 0.95)","0.69 (0.56 to 0.85)","0.53 (0.39 to 0.73)"
"nmdptc_mean.wt.cat=low",44,23,2.9,"2 to NA","0.95 (0.89 to 1)","0.81 (0.7 to 0.94)","0.65 (0.51 to 0.82)","0.37 (0.23 to 0.61)"
"nmdptc_mean.wt.cat=med",86,40,4.7,"2.9 to 7.7","0.86 (0.78 to 0.94)","0.79 (0.7 to 0.89)","0.69 (0.59 to 0.8)","0.50 (0.38 to 0.65)"
"nmdfs_max.cat=high",82,45,3.9,"2.6 to 5.7","0.91 (0.85 to 0.98)","0.82 (0.73 to 0.91)","0.67 (0.57 to 0.79)","0.43 (0.32 to 0.58)"
"nmdfs_max.cat=low",45,19,5.3,"2.9 to NA","0.91 (0.82 to 1)","0.79 (0.67 to 0.92)","0.67 (0.54 to 0.84)","0.55 (0.41 to 0.76)"
"nmdfs_max.cat=med",48,21,5,"2.5 to NA","0.88 (0.79 to 0.99)","0.80 (0.69 to 0.94)","0.69 (0.55 to 0.85)","0.51 (0.36 to 0.72)"
"nmdfs_n_decayed.cat=high",82,45,3.9,"2.7 to 7.7","0.91 (0.85 to 0.98)","0.82 (0.73 to 0.91)","0.69 (0.59 to 0.8)","0.45 (0.33 to 0.6)"
"nmdfs_n_decayed.cat=low",62,27,5.3,"2.5 to NA","0.91 (0.84 to 0.99)","0.79 (0.69 to 0.9)","0.67 (0.55 to 0.81)","0.50 (0.37 to 0.68)"
"nmdfs_n_decayed.cat=med",31,13,5,"2 to NA","0.85 (0.73 to 1)","0.81 (0.67 to 0.98)","0.67 (0.5 to 0.89)","0.54 (0.36 to 0.82)"
"nmdfs_frac_decayed.cat=high",115,56,4.6,"2.7 to 5.7","0.91 (0.85 to 0.96)","0.81 (0.74 to 0.89)","0.70 (0.61 to 0.79)","0.47 (0.37 to 0.59)"
"nmdfs_frac_decayed.cat=low",49,23,3.7,"2 to NA","0.91 (0.83 to 1)","0.77 (0.65 to 0.91)","0.61 (0.47 to 0.78)","0.46 (0.31 to 0.67)"
"nmdfs_frac_decayed.cat=med",11,6,5.4,"3.2 to NA","0.82 (0.62 to 1)","0.82 (0.62 to 1)","0.73 (0.51 to 1)","0.62 (0.39 to 1)"
"nmdfs_med.cat=high",82,45,3.9,"2.6 to 5.7","0.91 (0.85 to 0.98)","0.82 (0.73 to 0.91)","0.67 (0.57 to 0.79)","0.43 (0.32 to 0.58)"
"nmdfs_med.cat=low",45,20,6.3,"2.9 to NA","0.91 (0.82 to 1)","0.76 (0.64 to 0.9)","0.65 (0.52 to 0.82)","0.50 (0.35 to 0.71)"
"nmdfs_med.cat=med",48,20,5.3,"2.5 to NA","0.88 (0.79 to 0.99)","0.83 (0.72 to 0.95)","0.71 (0.58 to 0.87)","0.56 (0.41 to 0.76)"
"nmdfs_med.wt.cat=high",82,45,3.9,"2.6 to 5.7","0.91 (0.85 to 0.98)","0.82 (0.73 to 0.91)","0.67 (0.57 to 0.79)","0.43 (0.32 to 0.58)"
"nmdfs_med.wt.cat=low",44,19,6.3,"2.9 to NA","0.90 (0.82 to 1)","0.78 (0.66 to 0.92)","0.67 (0.54 to 0.84)","0.51 (0.36 to 0.73)"
"nmdfs_med.wt.cat=med",49,21,5,"2.5 to NA","0.89 (0.8 to 0.99)","0.81 (0.7 to 0.94)","0.69 (0.56 to 0.86)","0.54 (0.39 to 0.75)"
"nmdfs_mean.cat=high",82,45,3.9,"2.6 to 5.7","0.91 (0.85 to 0.98)","0.82 (0.73 to 0.91)","0.67 (0.57 to 0.79)","0.43 (0.32 to 0.58)"
"nmdfs_mean.cat=low",45,21,5.9,"2.9 to NA","0.91 (0.82 to 1)","0.76 (0.64 to 0.9)","0.65 (0.52 to 0.82)","0.50 (0.35 to 0.71)"
"nmdfs_mean.cat=med",48,19,5.3,"2.5 to NA","0.88 (0.79 to 0.99)","0.83 (0.72 to 0.95)","0.71 (0.58 to 0.87)","0.56 (0.41 to 0.76)"
"nmdfs_mean.wt.cat=high",82,45,3.9,"2.6 to 5.7","0.91 (0.85 to 0.98)","0.82 (0.73 to 0.91)","0.67 (0.57 to 0.79)","0.43 (0.32 to 0.58)"
"nmdfs_mean.wt.cat=low",44,20,5.9,"2.9 to NA","0.90 (0.82 to 1)","0.78 (0.66 to 0.92)","0.67 (0.54 to 0.84)","0.50 (0.35 to 0.72)"
"nmdfs_mean.wt.cat=med",49,20,5,"2.5 to NA","0.89 (0.8 to 0.99)","0.81 (0.7 to 0.94)","0.69 (0.56 to 0.86)","0.55 (0.4 to 0.75)"
"nmdns_max.cat=high",44,20,4.7,"2.4 to NA","0.92 (0.84 to 1)","0.78 (0.66 to 0.93)","0.65 (0.51 to 0.84)","0.49 (0.33 to 0.72)"
"nmdns_max.cat=low",45,25,2.9,"2.7 to NA","0.86 (0.77 to 0.97)","0.75 (0.63 to 0.89)","0.67 (0.54 to 0.83)","0.35 (0.21 to 0.59)"
"nmdns_max.cat=med",86,40,5.1,"2.9 to NA","0.91 (0.85 to 0.98)","0.84 (0.77 to 0.93)","0.69 (0.59 to 0.8)","0.53 (0.42 to 0.67)"
"nmdns_n_decayed.cat=high",47,21,4.7,"2.4 to NA","0.96 (0.9 to 1)","0.84 (0.74 to 0.97)","0.69 (0.55 to 0.86)","0.46 (0.31 to 0.69)"
"nmdns_n_decayed.cat=low",59,30,3.7,"2.9 to 5.9","0.93 (0.86 to 1)","0.82 (0.73 to 0.93)","0.72 (0.6 to 0.85)","0.43 (0.3 to 0.62)"
"nmdns_n_decayed.cat=med",69,34,5.1,"2.7 to NA","0.85 (0.76 to 0.94)","0.77 (0.67 to 0.88)","0.63 (0.53 to 0.77)","0.53 (0.41 to 0.68)"
"nmdns_frac_decayed.cat=high",46,24,3.9,"1.6 to NA","0.95 (0.88 to 1)","0.79 (0.68 to 0.93)","0.58 (0.44 to 0.76)","0.44 (0.3 to 0.65)"
"nmdns_frac_decayed.cat=low",45,24,3.7,"2.3 to NA","0.89 (0.8 to 0.99)","0.79 (0.68 to 0.92)","0.66 (0.53 to 0.82)","0.42 (0.28 to 0.65)"
"nmdns_frac_decayed.cat=med",84,37,5,"2.9 to NA","0.89 (0.82 to 0.96)","0.81 (0.73 to 0.91)","0.74 (0.65 to 0.85)","0.53 (0.41 to 0.68)"
"nmdns_med.cat=high",44,22,6.3,"1.6 to NA","0.95 (0.88 to 1)","0.84 (0.72 to 0.96)","0.60 (0.46 to 0.79)","0.51 (0.36 to 0.71)"
"nmdns_med.cat=low",45,23,3.7,"2.9 to NA","0.95 (0.89 to 1)","0.82 (0.71 to 0.94)","0.71 (0.59 to 0.87)","0.45 (0.3 to 0.68)"
"nmdns_med.cat=med",86,40,4.6,"2.7 to 7.7","0.85 (0.77 to 0.93)","0.78 (0.69 to 0.88)","0.69 (0.59 to 0.8)","0.46 (0.35 to 0.62)"
"nmdns_med.wt.cat=high",45,23,5.7,"2 to NA","0.95 (0.89 to 1)","0.85 (0.74 to 0.97)","0.66 (0.53 to 0.83)","0.50 (0.36 to 0.7)"
"nmdns_med.wt.cat=low",44,24,3.3,"2.3 to NA","0.93 (0.86 to 1)","0.79 (0.68 to 0.92)","0.68 (0.56 to 0.84)","0.42 (0.27 to 0.65)"
"nmdns_med.wt.cat=med",86,38,4.7,"2.9 to NA","0.86 (0.78 to 0.94)","0.79 (0.7 to 0.89)","0.68 (0.58 to 0.8)","0.49 (0.37 to 0.65)"
"nmdns_mean.cat=high",44,18,8.6,"2.4 to NA","0.94 (0.87 to 1)","0.83 (0.71 to 0.96)","0.67 (0.53 to 0.85)","0.56 (0.41 to 0.77)"
"nmdns_mean.cat=low",45,24,3.3,"2.6 to NA","0.95 (0.89 to 1)","0.84 (0.73 to 0.96)","0.73 (0.61 to 0.88)","0.42 (0.27 to 0.64)"
"nmdns_mean.cat=med",86,43,4.6,"2.5 to 7.7","0.85 (0.78 to 0.93)","0.77 (0.68 to 0.87)","0.65 (0.55 to 0.76)","0.47 (0.36 to 0.62)"
"nmdns_mean.wt.cat=high",44,22,6.3,"2.5 to NA","0.93 (0.85 to 1)","0.83 (0.72 to 0.95)","0.70 (0.57 to 0.86)","0.54 (0.4 to 0.73)"
"nmdns_mean.wt.cat=low",44,24,2.9,"2 to NA","0.93 (0.85 to 1)","0.78 (0.66 to 0.92)","0.64 (0.51 to 0.81)","0.37 (0.22 to 0.6)"
"nmdns_mean.wt.cat=med",87,39,4.7,"2.9 to NA","0.87 (0.8 to 0.95)","0.80 (0.72 to 0.9)","0.68 (0.58 to 0.8)","0.49 (0.37 to 0.65)"
"cyt.cat=high",44,17,7.7,"4.6 to NA","0.92 (0.85 to 1)","0.85 (0.74 to 0.97)","0.74 (0.62 to 0.89)","0.60 (0.44 to 0.8)"
"cyt.cat=low",43,21,3.3,"2.3 to NA","0.95 (0.89 to 1)","0.76 (0.63 to 0.91)","0.67 (0.53 to 0.84)","0.44 (0.28 to 0.67)"
"cyt.cat=med",88,47,3,"2.6 to 5.4","0.87 (0.8 to 0.94)","0.80 (0.72 to 0.89)","0.64 (0.54 to 0.76)","0.43 (0.32 to 0.58)"
"cyt.bool=0",43,21,3.3,"2.3 to NA","0.95 (0.89 to 1)","0.76 (0.63 to 0.91)","0.67 (0.53 to 0.84)","0.44 (0.28 to 0.67)"
"cyt.bool=1",44,17,7.7,"4.6 to NA","0.92 (0.85 to 1)","0.85 (0.74 to 0.97)","0.74 (0.62 to 0.89)","0.60 (0.44 to 0.8)"
"gender=female",47,19,5.9,"3.7 to NA","0.93 (0.86 to 1)","0.87 (0.77 to 0.97)","0.77 (0.65 to 0.91)","0.61 (0.47 to 0.8)"
"gender=male",128,66,3.3,"2.4 to 5.4","0.89 (0.83 to 0.95)","0.78 (0.71 to 0.86)","0.64 (0.55 to 0.74)","0.42 (0.33 to 0.54)"
"race=asian",5,3,2,"0.4 to NA","0.60 (0.29 to 1)","0.60 (0.29 to 1)","0.00 (NA to NA)","0.00 (NA to NA)"
"race=black or african american",9,4,NA,"0.9 to NA","0.78 (0.55 to 1)","0.67 (0.42 to 1)","0.67 (0.42 to 1)","0.53 (0.28 to 1)"
"race=white",112,60,4.7,"2.9 to 5.9","0.94 (0.9 to 0.99)","0.83 (0.76 to 0.9)","0.69 (0.61 to 0.79)","0.49 (0.39 to 0.61)"
"tnm_stage=I",98,50,5,"3.7 to 6.3","0.90 (0.84 to 0.96)","0.86 (0.79 to 0.93)","0.73 (0.65 to 0.83)","0.51 (0.4 to 0.64)"
"tnm_stage=II",37,16,2.9,"1.5 to NA","0.94 (0.87 to 1)","0.71 (0.58 to 0.88)","0.62 (0.47 to 0.81)","0.48 (0.33 to 0.71)"
"tnm_stage=III",35,16,2,"1.4 to NA","0.84 (0.72 to 0.98)","0.72 (0.58 to 0.91)","0.56 (0.4 to 0.79)","0.41 (0.25 to 0.67)"
"tnm_stage=IV",3,2,2.5,"2 to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.50 (0.13 to 1)","0.00 (NA to NA)"
"TMB.cat=high",86,39,5,"2.7 to NA","0.91 (0.85 to 0.98)","0.79 (0.7 to 0.89)","0.67 (0.56 to 0.79)","0.50 (0.38 to 0.65)"
"TMB.cat=low",89,46,3.7,"2.9 to 7.7","0.90 (0.83 to 0.96)","0.81 (0.73 to 0.9)","0.68 (0.59 to 0.79)","0.46 (0.35 to 0.6)"
"PDL1.cat=high",45,25,3.2,"2.4 to NA","0.88 (0.79 to 0.98)","0.76 (0.64 to 0.9)","0.71 (0.58 to 0.86)","0.39 (0.25 to 0.59)"
"PDL1.cat=low",44,21,4.6,"1.6 to NA","0.90 (0.82 to 1)","0.77 (0.65 to 0.92)","0.60 (0.46 to 0.78)","0.48 (0.33 to 0.7)"
"PDL1.cat=med",86,39,5.2,"3 to 8.2","0.91 (0.85 to 0.98)","0.84 (0.77 to 0.93)","0.69 (0.59 to 0.81)","0.53 (0.42 to 0.69)"
"age.cat=<65",56,22,5.2,"2.5 to NA","0.98 (0.94 to 1)","0.80 (0.69 to 0.93)","0.73 (0.61 to 0.87)","0.52 (0.38 to 0.71)"
"age.cat=>=65",119,63,3.9,"2.9 to 5.7","0.87 (0.81 to 0.93)","0.80 (0.73 to 0.88)","0.65 (0.57 to 0.75)","0.47 (0.37 to 0.59)"
"nmdptc_mut.bool=0",6,4,2.4,"1 to NA","1.00 (1 to 1)","0.60 (0.29 to 1)","0.60 (0.29 to 1)","0.40 (0.14 to 1)"
"nmdptc_mut.bool=1",169,81,4.6,"2.9 to 5.7","0.90 (0.85 to 0.95)","0.81 (0.75 to 0.87)","0.68 (0.61 to 0.76)","0.48 (0.4 to 0.58)"
"nmdfs_mut.bool=0",81,44,3.9,"2.6 to 5.7","0.91 (0.85 to 0.98)","0.81 (0.73 to 0.91)","0.68 (0.58 to 0.8)","0.44 (0.32 to 0.59)"
"nmdfs_mut.bool=1",94,41,5,"2.9 to NA","0.89 (0.83 to 0.96)","0.79 (0.71 to 0.89)","0.67 (0.57 to 0.78)","0.52 (0.41 to 0.66)"
"nmdns_mut.bool=0",8,5,2.4,"1 to NA","1.00 (1 to 1)","0.71 (0.45 to 1)","0.54 (0.26 to 1)","0.36 (0.12 to 1)"
"nmdns_mut.bool=1",167,80,4.6,"2.9 to 5.7","0.90 (0.85 to 0.95)","0.81 (0.75 to 0.87)","0.68 (0.61 to 0.76)","0.48 (0.4 to 0.59)"
