"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"total.cat=high",84,2,NA,"NA to NA","0.99 (0.96 to 1)","0.99 (0.96 to 1)","0.97 (0.92 to 1)","0.97 (0.92 to 1)"
"total.cat=low",97,0,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"total.cat=med",151,5,NA,"9.5 to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.97 to 1)","0.96 (0.91 to 1)"
"GZMA.cat=high",83,1,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.96 to 1)","0.98 (0.96 to 1)"
"GZMA.cat=low",83,3,9.5,"9.5 to NA","0.99 (0.96 to 1)","0.99 (0.96 to 1)","0.97 (0.92 to 1)","0.97 (0.92 to 1)"
"GZMA.cat=med",166,3,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.97 (0.92 to 1)"
"PRF1.cat=high",83,1,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.96 to 1)","0.98 (0.96 to 1)"
"PRF1.cat=low",83,2,9.5,"9.5 to NA","0.99 (0.96 to 1)","0.99 (0.96 to 1)","0.99 (0.96 to 1)","0.99 (0.96 to 1)"
"PRF1.cat=med",166,4,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.97 to 1)","0.96 (0.92 to 1)"
"cyt.cat=high",83,1,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.96 to 1)","0.98 (0.96 to 1)"
"cyt.cat=low",83,3,9.5,"9.5 to NA","0.99 (0.96 to 1)","0.99 (0.96 to 1)","0.97 (0.92 to 1)","0.97 (0.92 to 1)"
"cyt.cat=med",166,3,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.97 (0.92 to 1)"
"nmdptc_max.cat=high",83,2,9.5,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.95 to 1)","0.98 (0.95 to 1)"
"nmdptc_max.cat=low",83,0,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"nmdptc_max.cat=med",166,5,NA,"NA to NA","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.98 (0.96 to 1)","0.95 (0.91 to 1)"
"nmdptc_n_decayed.cat=high",86,2,9.5,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.96 to 1)","0.98 (0.96 to 1)"
"nmdptc_n_decayed.cat=low",172,3,NA,"NA to NA","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.97 (0.93 to 1)"
"nmdptc_n_decayed.cat=med",74,2,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.93 to 1)","0.95 (0.88 to 1)"
"nmdptc_frac_decayed.cat=high",138,5,9.5,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.95 to 1)","0.95 (0.89 to 1)"
"nmdptc_frac_decayed.cat=low",95,1,NA,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)"
"nmdptc_frac_decayed.cat=med",99,1,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"nmdptc_med.cat=high",83,2,9.5,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.95 to 1)","0.98 (0.95 to 1)"
"nmdptc_med.cat=low",83,1,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"nmdptc_med.cat=med",166,4,NA,"NA to NA","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.98 (0.96 to 1)","0.95 (0.9 to 1)"
"nmdptc_med.wt.cat=high",83,3,9.5,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.95 to 1)","0.95 (0.89 to 1)"
"nmdptc_med.wt.cat=low",83,1,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"nmdptc_med.wt.cat=med",166,3,NA,"NA to NA","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.98 (0.96 to 1)","0.97 (0.94 to 1)"
"nmdptc_mean.cat=high",83,3,9.5,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.96 (0.92 to 1)","0.96 (0.92 to 1)"
"nmdptc_mean.cat=low",83,2,NA,"NA to NA","0.99 (0.96 to 1)","0.99 (0.96 to 1)","0.99 (0.96 to 1)","0.99 (0.96 to 1)"
"nmdptc_mean.cat=med",166,2,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.97 (0.92 to 1)"
"nmdptc_mean.wt.cat=high",83,3,9.5,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.95 to 1)","0.95 (0.89 to 1)"
"nmdptc_mean.wt.cat=low",83,1,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"nmdptc_mean.wt.cat=med",166,3,NA,"NA to NA","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.98 (0.96 to 1)","0.97 (0.94 to 1)"
"nmdfs_max.cat=high",119,5,9.5,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.98 (0.95 to 1)","0.96 (0.91 to 1)"
"nmdfs_max.cat=low",83,0,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"nmdfs_max.cat=med",130,2,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.96 to 1)","0.97 (0.94 to 1)"
"nmdfs_n_decayed.cat=high",119,5,9.5,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.98 (0.95 to 1)","0.96 (0.91 to 1)"
"nmdfs_n_decayed.cat=low",157,2,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.97 to 1)","0.98 (0.95 to 1)"
"nmdfs_n_decayed.cat=med",56,0,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"nmdfs_frac_decayed.cat=high",205,7,NA,"9.5 to NA","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.98 (0.96 to 1)","0.96 (0.92 to 1)"
"nmdfs_frac_decayed.cat=low",83,0,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"nmdfs_frac_decayed.cat=med",44,0,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"nmdfs_med.cat=high",119,5,9.5,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.98 (0.95 to 1)","0.96 (0.91 to 1)"
"nmdfs_med.cat=low",83,0,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"nmdfs_med.cat=med",130,2,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.96 to 1)","0.97 (0.93 to 1)"
"nmdfs_med.wt.cat=high",119,5,9.5,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.98 (0.95 to 1)","0.96 (0.91 to 1)"
"nmdfs_med.wt.cat=low",83,0,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"nmdfs_med.wt.cat=med",130,2,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.96 to 1)","0.97 (0.93 to 1)"
"nmdfs_mean.cat=high",119,5,9.5,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.98 (0.95 to 1)","0.96 (0.91 to 1)"
"nmdfs_mean.cat=low",83,0,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"nmdfs_mean.cat=med",130,2,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.96 to 1)","0.97 (0.93 to 1)"
"nmdfs_mean.wt.cat=high",119,5,9.5,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.98 (0.95 to 1)","0.96 (0.91 to 1)"
"nmdfs_mean.wt.cat=low",83,0,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"nmdfs_mean.wt.cat=med",130,2,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.96 to 1)","0.97 (0.93 to 1)"
"nmdns_max.cat=high",127,2,9.5,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)"
"nmdns_max.cat=low",83,0,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"nmdns_max.cat=med",122,5,NA,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.98 (0.95 to 1)","0.94 (0.88 to 1)"
"nmdns_n_decayed.cat=high",127,2,9.5,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)"
"nmdns_n_decayed.cat=low",142,4,NA,"NA to NA","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.96 (0.91 to 1)"
"nmdns_n_decayed.cat=med",63,1,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.97 (0.92 to 1)","0.97 (0.92 to 1)"
"nmdns_frac_decayed.cat=high",198,5,9.5,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.97 to 1)","0.96 (0.92 to 1)"
"nmdns_frac_decayed.cat=low",83,1,NA,"NA to NA","0.99 (0.96 to 1)","0.99 (0.96 to 1)","0.99 (0.96 to 1)","0.99 (0.96 to 1)"
"nmdns_frac_decayed.cat=med",51,1,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"nmdns_med.cat=high",127,2,9.5,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)"
"nmdns_med.cat=low",83,2,NA,"NA to NA","0.99 (0.96 to 1)","0.99 (0.96 to 1)","0.99 (0.96 to 1)","0.99 (0.96 to 1)"
"nmdns_med.cat=med",122,3,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.96 to 1)","0.94 (0.88 to 1)"
"nmdns_med.wt.cat=high",127,2,9.5,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)"
"nmdns_med.wt.cat=low",102,2,NA,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)"
"nmdns_med.wt.cat=med",103,3,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.96 to 1)","0.94 (0.87 to 1)"
"nmdns_mean.cat=high",127,2,9.5,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)"
"nmdns_mean.cat=low",83,2,NA,"NA to NA","0.99 (0.96 to 1)","0.99 (0.96 to 1)","0.99 (0.96 to 1)","0.99 (0.96 to 1)"
"nmdns_mean.cat=med",122,3,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.96 to 1)","0.94 (0.88 to 1)"
"nmdns_mean.wt.cat=high",127,2,9.5,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)"
"nmdns_mean.wt.cat=low",83,1,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"nmdns_mean.wt.cat=med",122,4,NA,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.98 (0.95 to 1)","0.93 (0.87 to 1)"
"cyt.cat=high",83,1,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.96 to 1)","0.98 (0.96 to 1)"
"cyt.cat=low",83,3,9.5,"9.5 to NA","0.99 (0.96 to 1)","0.99 (0.96 to 1)","0.97 (0.92 to 1)","0.97 (0.92 to 1)"
"cyt.cat=med",166,3,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.97 (0.92 to 1)"
"cyt.bool=0",83,3,9.5,"9.5 to NA","0.99 (0.96 to 1)","0.99 (0.96 to 1)","0.97 (0.92 to 1)","0.97 (0.92 to 1)"
"cyt.bool=1",83,1,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.96 to 1)","0.98 (0.96 to 1)"
"race=asian",2,0,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"race=black or african american",7,0,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"race=white",133,1,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.94 to 1)"
"TMB.cat=high",164,3,NA,"NA to NA","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.98 (0.96 to 1)","0.97 (0.94 to 1)"
"TMB.cat=low",168,4,NA,"9.5 to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.98 to 1)","0.97 (0.94 to 1)"
"PDL1.cat=high",83,1,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.95 to 1)","0.98 (0.95 to 1)"
"PDL1.cat=low",83,3,NA,"NA to NA","0.99 (0.96 to 1)","0.99 (0.96 to 1)","0.99 (0.96 to 1)","0.93 (0.86 to 1)"
"PDL1.cat=med",166,3,NA,"9.5 to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)"
"age.cat=<65",224,4,NA,"9.5 to NA","1.00 (0.99 to 1)","1.00 (0.99 to 1)","1.00 (0.99 to 1)","0.98 (0.96 to 1)"
"age.cat=>=65",108,3,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.97 (0.93 to 1)","0.95 (0.91 to 1)"
"nmdptc_mut.bool=0",49,2,9.5,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.97 (0.92 to 1)","0.97 (0.92 to 1)"
"nmdptc_mut.bool=1",283,5,NA,"NA to NA","1.00 (0.99 to 1)","1.00 (0.99 to 1)","0.99 (0.98 to 1)","0.97 (0.95 to 1)"
"nmdfs_mut.bool=0",118,5,9.5,"NA to NA","0.99 (0.97 to 1)","0.99 (0.97 to 1)","0.98 (0.95 to 1)","0.96 (0.91 to 1)"
"nmdfs_mut.bool=1",214,2,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.98 to 1)","0.98 (0.96 to 1)"
"nmdns_mut.bool=0",126,2,9.5,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.99 (0.97 to 1)","0.99 (0.97 to 1)"
"nmdns_mut.bool=1",206,5,NA,"NA to NA","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.99 (0.97 to 1)","0.96 (0.93 to 1)"
