cytoband	10q23.31	6q14.3	13q14.13	21q22.3	17p13.1	8p21.3	5q21.1	12p13.1	3p13	16q24.1	17q21.31	2q22.1	16q22.3	21q22.2	13q22.1	9p23	1q42.3	5q11.2	19q13.2	2q22.3	18q23	4q28.2	11p11.2	5q13.2	1p31.3	11q23.2	12q24.32	1p22.1	15q21.3	6p25.1	2p21	3q29	1q23.1	11q22.3	18q21.31	
			RN7SL288P			snoU13|ENSG00000238466.1				KCNG4	ITGA2B	snoU13|ENSG00000238337.1			RN7SL571P		MIR4671	MIR5687		EPC2	ZNF516	RN7SL335P	RN7SL772P	GUSBP3	JAK1	ZW10	SNORA49	RN7SL831P	GCOM1	snoU13|ENSG00000238801.1	snoZ247	UBXN7	FCRL4	HINFP	RN7SL342P	
			RNA5SP27			U3|ENSG00000251944.1				RNA5SP432	SLC4A1	MIR5590			LINC00561		MIR4427	IL6ST		MBD5	SMIM21	QRFPR	SNORD67|ENSG00000212135.1	RN7SL616P	ROR1	RBM7	RNA5SP378	ALG14		RNA5SP202	HNRNPA1P57	SDHAP1	FCRL1	C2CD2L	OACYLP	
			SNORA31|ENSG00000199477.1			BMP1				COX4I1	UBTF	RNA5SP104			C13orf45		NTPCR	MAP3K1		LYPD6B	ZADH2	RN7SKP137	SNORD67|ENSG00000252427.1	RN7SL476P	PGM1	REXO2	RNA5SP377	snoU13|ENSG00000238389.1		snoU13|ENSG00000252668.1	SNORA67|ENSG00000252473.1	RN7SL773P	FCRL3	MIR3656	U8|ENSG00000199713.1	
			SNORA31|ENSG00000253051.1			POLR3D				FOXF1	HDAC5	RN7SKP93			LINC00347		RN7SL299P	PPAP2A			RN7SL551P	MAD2L1	MIR5582	snoU13|ENSG00000238334.1	DNAJC6	C11orf71	RNA5SP376	RN7SL440P		BMP6	RN7SL96P	LINC00969	ETV3L	RPS25	RN7SL112P	
			7SK|ENSG00000271818.1			EGR3				FOXL1	RUNDC3A	RN7SKP154			LINC00381		LINC00582	PLK2			RN7SL401P	SNORA11|ENSG00000221245.1	HARBI1	SNORA50|ENSG00000220986.1	ITGB3BP	NXPE4	RAN	ARHGAP29		DSP	GEMIN6	RNU6ATAC24P		RN7SL529P	SNORD28|ENSG00000252284.1	
			RN7SKP3			DMTN				FOXC2	SLC25A39	RN7SKP103			RNY1P5		TRAX	SKIV2L2			MIR548AV	C4orf3	MIR4688	RN7SL103P	LEPR	USP28	snoU13|ENSG00000238822.1	GCLM		F13A1	LINC00211	APOD		RN7SL688P	FECH	
			RN7SL49P			GFRA2				IRF8	ATXN7L3	RN7SL701P			LINC00402		RNA5SP80	DDX4			RNA5SP460	CEP170P1	PHF21A	7SK|ENSG00000249352.3	RAVER2	TMPRSS5	RN7SL534P	DNTTIP2		RREB1	RN7SL602P	BDH1		BCL9L	U3|ENSG00000212539.1	
			LINC00330			LOXL2				MBTPS1	C17orf53	CCNT2			LINC00392		MIR1182	GPBP1			CYB5A	SNHG8	CHST1	U8|ENSG00000212249.2	CACHD1	NXPE1	snoU13|ENSG00000238895.1	RNA5SP53		SSR1	RNA5SP92	DLG1		CXCR5	TXNL1	
			snoU13|ENSG00000238932.1			PPP3CC				TAF1C	TMUB2	DARS			LINC00393		snoU13|ENSG00000238985.1	ANKRD55			MBP	NT5C3AP1	CD82	CCNB1	EFCAB7	NXPE2	MIR3612	DR1		CDYL	RNA5SP91	MFI2		DDX6	SNORA73|ENSG00000201816.1	
			TSC22D1			SFTPC				USP10	G6PC3	GPR39			RNY1P8		RN7SL837P	SETD9			NFATC1	MTRNR2L13	C11orf96	CDK7	UBE2U	CLDN25	TMEM132C	RN7SKP123		EEF1E1	SNORD112|ENSG00000252502.1	MUC4		TTC36	RNA5SP459	
			LINC00284			STC1				KIAA0513	ASB16	HNMT			SNORA9|ENSG00000199282.1		RNA5SP79	IL31RA			ZNF236	RN7SL808P	RN7SKP287	FOXD1	MIR3671		LINC00508	RN7SL692P		ECI2	LINC00486	PAK2		RN7SL86P	BCL2	
			CPB2			TNFRSF10D				ATP2C2	LSM12	LCT			SNORA68|ENSG00000251715.1		RN7SL467P	SLC38A9			CTDP1	ANXA5	HNRNPKP3	GTF2H2			LINC00507	SNORA51|ENSG00000207022.1		FARS2	MIR4765	PCYT1A		CD3G	CDH7	
			ESD			TNFRSF10C				EMC8	FAM171A2	MCM6			SNORD37|ENSG00000212377.1		RNA5SP78	MIER3			TSHZ1	CCNA2	SNORA31|ENSG00000251838.1	TNPO1			LINC00944	SNORA66|ENSG00000207523.1		RPP40	MIR558	PPP1R2		MPZL3	KDSR	
			GTF2F2			TNFRSF10B				GSE1		MGAT5			RNA5SP32		RN7SKP276	ACTBL2			TXNL4A	FABP2	ACP2	MAP1B			LINC00943	SNORA66|ENSG00000251795.1		SLC35B3	YIPF4	RPL35A		TMPRSS4	GRP	
			HTR2A			DOK2				COTL1		CXCR4			LINC00348		TMEM78				ADNP2	FGF2	ARHGAP1	NAIP			LINC00939	SNORD21		NRN1	DPY30	TFRC		SCARNA11|ENSG00000252992.1	LMAN1	
			LCP1			ENTPD4				MLYCD		RAB3GAP1			ATXN8OS		SNORA51|ENSG00000206878.1				KCNG2	EXOSC9	CHRM4	PIK3R1			TMEM132B	RN7SL824P		LYRM4	ZFP36L2	KIAA0226		PCSK7	MC4R	
			TPT1			PHYHIP				OSGIN1		UBXN4			RNY3P10		RNA5SP18				TIMM21	TRPC3	CRY2	PMCHL2			BRI3BP	RPAP2		BLOC1S5	CYP1B1	TNK2		RNY4P6	NARS	
			SUCLA2			SORBS3				NECAB2		R3HDM1			RN7SL761P		RNA5S17				ZNF407	PRSS12	DDB2	RAD17			RPL22P19	ACTBP12		TXNDC5	EPAS1	NCBP2		ZNF259	SERPINB2	
			ITM2B			NPM2				ZDHHC7		MAP3K19			LINC00364		RNA5S16				CNDP2	PDE5A	EXT2	SMN1			DNAH10OS	RN7SL235P		RIOK1	LTBP1	ACAP2		snoU13|ENSG00000238625.1	ATP8B1	
			ZC3H13			ADAM28				WFDC1		THSD7B			LINC00355		RNA5S15				PQLC1	NDST3	F2	SMN2			EIF2B1	RN7SL653P		SNRNP48	VIT	PIGX		LINC00900	SERPINB5	
			LRCH1			XPO7				MTHFSD		TMEM163			LINC00395		RNA5S14				NETO1	SEC24D	LRP4	TAF9			SNORA9|ENSG00000206897.1	BARHL2		CAGE1	PIGF	PIGZ		snoU13|ENSG00000239153.1	SERPINB8	
			NUFIP1			RHOBTB2				KLHL36		ZRANB3			LINC00448		RNA5S13				PARD6G	SPRY1	MDK	SERF1A			SNRNP35	U3|ENSG00000199666.1		C6orf201	PPM1B	IQCG		ACA59|ENSG00000252870.1	SERPINB10	
			MED4			SLC39A14				HSDL1		LYPD1			LINC00459		RNA5S12				CNDP1	PGRMC2	MYBPC3	CARTPT			RNA5SP375	RN7SKP272		PPP1R3G	PRKCE	LRCH3		snoU13|ENSG00000238724.1	SERPINB13	
			NUDT15			ADAMDEC1				CRISPLD2		ACMSD			LINC00358		RNA5S11				FAM69C	PLK4	NDUFS3	MRPS27			SCARB1	snoU13|ENSG00000239176.1		MIR5683	EIF2AK2	CEP19		ATF4P4	PMAIP1	
			KIAA1704			PIWIL2				DNAAF1		SPOPL			RNY4P31		RNA5S10				CBLN2	PRDM5	PSMC3	BDP1			STX2	GBP1P1			SRSF7	LMLN		snosnR66	RAB27B	
			SMIM2			HR				SLC38A8		NCKAP5			RNY3P5		RNA5S9				FBXO15	NUDT6	PTPRJ	MCCC2			GOLGA3	GBP6			SIX3	TM4SF19		C11orf34	SERPINB3	
			KIAA0226L			BIN3				ADAD2		C2orf27B			LINC00378		RNA5S8				LINC00908	MYOZ2	RAPSN	SLC30A5			GTF2H3	RN7SL583P			SLC8A1	ZDHHC19		SDHD	SERPINB4	
			COG3			KIAA1967				FAM92B		ANKRD30BL			RNA5SP31		RNA5S7				ATP9B	USP53	SPI1	CENPH			MMP17	RNA5SP52			SOS1	RNF168		RNA5SP351	TCF4	
			LACC1			PDLIM2				C16orf74		MIR663B			LINC00434		RNA5S6				LINC00909	LARP1B	DGKZ	PTCD2			POLE	RNA5SP51			SPAST	SLC51A		HSPB2	SERPINB7	
			FAM194B			FAM160B2				MIR1910		MIR3679			RNY4P28		RNA5S5				HSBP1L1	BBS7	API5	MRPS36			PXMP2	SNORD81|ENSG00000199934.1			STRN	FBXO45		ALG9	TNFRSF11A	
			SPERT			REEP4				MIR5093					KLF5		RNA5S4				C18orf63	ANKRD50	MADD	FCHO2			SFSWAP	C1orf52			MAP4K3	MUC20		ALG9	SOCS6	
			LRRC63			CHMP7									DACH1		RNA5S3					METTL14	PEX16	TMEM171			UBC	CTBS			COX7A2L	SENP5		RN7SKP273	ONECUT2	
			SLC25A30			PEBP4									EDNRB		RNA5S2					IL21	MAPK8IP1	TMEM174			ZNF10	SPATA1			CRIPT	TCTEX1D2		SIK2	VPS4B	
			SIAH3			R3HCC1									LMO7		RNA5S1					NDST4	TP53I11	MARVELD2			ZNF26	RPF1			PREPL	SMCO1		RNA5SP350	CD226	
			KCTD4			LGI3									PCDH9		RNA5SP19					NDNF	ATG13	ZNF366			ZNF84	UOX			FEZ2	WDR53		SNORD39|ENSG00000264997.1	MALT1	
			SERP2			MIR320A									POU4F1		BTNL10					FAT4	CKAP5	CCDC125			ULK1	SNORA2|ENSG00000199959.1			SOCS5	ANKRD18DP		RNA5SP349	PHLPP1	
						C8orf58									UCHL3		RNF187					TNIP3	NR1H3	GTF2H2C			PIWIL1	TTLL7			LRPPRC	NRROS		RNA5SP348	NEDD4L	
															SCEL		MIR3620					PHF17	CELF1	SERF1B			NCOR2	ABCA4			CEBPZ	LINC00885		ACAT1	WDR7	
															TBC1D4		MIR5008					C4orf29	NUP160	OCLN			ZNF268	AGL			CDC42EP3	MIR570		APOA1	PIGN	
															SPRY2		WNT9A					SLC25A31	FNBP4				TMED2	AMY1A			SIX2	MIR922		APOA4	RTTN	
															PIBF1		ZNF678					KIAA1109	MTCH2				FZD10	AMY1B			HAAO			APOC3	CDH20	
															KLF12		RNA5SP77					SCLT1	PACSIN3				P2RX2	AMY1C			PRKD3			ARCN1	CDH19	
															DIS3		RN7SKP165					C4orf33	HSD17B12				ANKLE2	AMY2A			RASGRP3			ATM	RAX	
															MYCBP2		snoU13|ENSG00000239094.1					TMEM155	SLC35C1				RIMBP2	AMY2B			QPCT			FXYD2	ST8SIA3	
															FBXL3		snoU13|ENSG00000238545.1					ADAD1	AMBRA1				ATP6V0A2	BRDT			FAM98A			CASP1	TMX3	
															NDFIP2		ACTA1					TRAM1L1	KBTBD4				GALNT9	CLCA1			EML4			CASP4	ZCCHC2	
															KLHL1		ACTN2					SPATA5	TTC17				SBNO1	CNN3			MEMO1			CASP5	ZNF532	
															RBM26		PARP1					BBS12	PRDM11				CHFR	COL11A1			CRIM1			CBL	KIAA1468	
															PCDH20		AGT					SYNPO2	SYT13				EP400	DBT			DYNC2LI1			CD3D	CCDC102B	
															RNF219		ARF1					MFSD8	LRRC4C				DHX37	DPYD			HEATR5B			CD3E	CCDC68	
															BORA		LYST						ALX4				FBRSL1	S1PR1			SRBD1			CRYAB	NETO1	
															TDRD3		EPHX1						C11orf49				DDX55	EXTL2			NDUFAF7			DDX10	SERPINB12	
															KCTD12		GALNT2						ZNF408				AACS	F3			TTC27			DLAT	SERPINB11	
															SLAIN1		GNG4						AGBL2				NOC4L	GBP1			SLC30A6			DPAGT1	SEC11C	
															COMMD6		GUK1						ARFGAP2				TCTN2	GBP2			BIRC6			DRD2	DSEL	
															MZT1		H3F3A						ACCS				CCDC92	GBP3			MTA3			FDX1	ALPK2	
															IRG1		ITPKB						TSPAN18				PUS1	GFI1			NLRC4			SLC37A4	CCBE1	
															MIR3169		KCNK1						CREB3L1				TMEM132D	GNG5			THADA			GRIA4	CBLN2	
															MIR3665		LBR						SLC39A13				SLC15A4	GTF2B			ATL2			GRIK4	GTSCR1	
															MIR4704		LGALS8						C1QTNF4				FAM101A	CYR61			ABCG5			GUCY1A2	DOK6	
															MIR548X2		MTR						OR4X2				ZNF664	PRKACB			ABCG8			H2AFX	LINC00305	
																	NID1						OR4B1				GLT1D1	PKN2			CAMKMT			HMBS	DYNAP	
																	PSEN2						GYLTL1B				PGAM5	ABCD3			THUMPD2			HTR3A	BOD1L2	
																	RAB4A						C11orf94				RILPL2	RPL5			ATP6V1E2			IL10RA	HMSD	
																	SRP9						ALKBH3				DNAH10	TGFBR3			DHX57			IL18	CPLX4	
																	TARBP1						OR4C3				GPR133	VCAM1			PKDCC			MCAM	MIR122	
																	TBCE						OR4S1				DDX51	EVI5			HNRNPLL			KMT2A	MIR4529	
																	LEFTY2						ACCSL				EP400NL	CDC7			PLEKHH2			NCAM1	MIR5011	
																	GPR137B						OR4X1				RILPL1	BCAR3			GALM			NNMT		
																	TSNAX						FAM180B				SETD8	LMO4			TMEM178A			NPAT		
																	HIST3H3						OR4A47				ZNF605	CDC14A			MYADML			PAFAH1B2		
																	GNPAT						MIR670				MIR3908	RTCA			RMDN2			POU2AF1		
																	CDC42BPA						MIR4487				MIR4419B	BCL10			OXER1			PPP2R1B		
																	GGPS1										MIR5188	CLCA3P			KCNG3			PTS		
																	TMEM63A											CLCA2			GPATCH11			PVRL1		
																	TOMM20											HS2ST1			CDKL4			RDX		
																	URB2											LPPR4			TMEM247			SCN2B		
																	LEFTY1											GLMN			SULT6B1			SCN4B		
																	SPHAR											CLCA4			C2orf91			SDHD		
																	CAPN9											MTF2			MORN2			SLN		
																	COG2											KIAA1107			ARHGEF33			SORL1		
																	RBM34											SLC35A3			MIR548AD			TAGLN		
																	ABCB10											LRRC8B						TECTA		
																	TAF5L											LPAR3						UPK2		
																	DISC1											DDAH1						ZBTB16		
																	PYCR2											RWDD3						CUL5		
																	TRIM17											TMED5						USP2		
																	ARID4B											SH3GLB1						HTR3B		
																	EGLN1											SNX7						ZW10		
																	MAP10											GPR88						UBE4A		
																	HEATR1											TRMT13						RBM7		
																	ENAH											ZNHIT6						MPZL2		
																	NUP133											PALMD						HYOU1		
																	ERO1LB											FNBP1L						ATP5L		
																	ADCK3											LRRC8D						TREH		
																	GJC2											PRMT6						CEP164		
																	SIPA1L2											MCOLN3						EXPH5		
																	RHOU											RNPC3						PHLDB1		
																	ACBD3											CCBL2						ARHGEF12		
																	ARV1											ODF2L						SIK3		
																	JMJD4											PTBP2						BACE1		
																	C1orf35											DNASE2B						TRIM29		
																	TTC13											HIAT1						CADM1		
																	PGBD5											SYDE2						POU2F3		
																	PCNXL2											ZNF644						REXO2		
																	TRIM11											LRRC8C						TIMM8B		
																	MIXL1											GBP4						SIDT2		
																	SPRTN											GBP5						TRAPPC4		
																	OBSCN											SSX2IP						FXYD6		
																	MLK4											OLFM3						C11orf71		
																	C1orf198											WDR63						SLC35F2		
																	WNT3A											SLC44A3						RAB39A		
																	HIST3H2A											LRRC39						BTG4		
																	SNAP47											SAMD13						NXPE4		
																	CCSAP											TMEM56						TTC12		
																	DNAH14											SLC30A7						C11orf57		
																	C1orf131											SASS6						ELMOD1		
																	EDARADD											HFM1						VPS11		
																	MRPL55											EPHX4						TEX12		
																	HIST3H2BB											MCOLN2						IFT46		
																	SLC35F3											COL24A1						DSCAML1		
																	B3GALNT2											ZNF326						ARHGAP20		
																	EXOC8											BTBD8						USP28		
																	SDE2											CCDC18						CARD18		
																	IBA57											GBP7						AASDHPPT		
																	LIN9											C1orf146						ABCG4		
																	PRSS38											FAM69A						C11orf1		
																	IRF2BP2											FRRS1						RNF26		
																	C1orf95											C1orf180						DYNC2H1		
																	FAM89A											RBMXL1						NLRX1		
																	COA6											MIR760						PDZD3		
																	TRIM67											MIR378G						PDGFD		
																	C1orf145											MIR137HG						TMPRSS5		
																	C1orf148											MIR4423						MFRP		
																	MT1HL1																	BCO2		
																	MIR1537																	TMPRSS13		
																	MIR4666A																	MSANTD4		
																																		BUD13		
																																		TMEM25		
																																		DIXDC1		
																																		ZC3H12C		
																																		ALKBH8		
																																		FDXACB1		
																																		C11orf52		
																																		CARD16		
																																		C1QTNF5		
																																		APOA5		
																																		C11orf93		
																																		PIH1D2		
																																		NXPE1		
																																		NXPE2		
																																		AMICA1		
																																		KBTBD3		
																																		CWF19L2		
																																		KDELC2		
																																		LAYN		
																																		C11orf65		
																																		TMEM136		
																																		ANKK1		
																																		RNF214		
																																		FOXR1		
																																		CCDC153		
																																		CCDC84		
																																		C11orf53		
																																		C11orf87		
																																		C11orf92		
																																		C11orf88		
																																		MIRLET7A2		
																																		MIR100		
																																		MIR125B1		
																																		MIR34B		
																																		MIR34C		
																																		DDI1		
																																		BLID		
																																		CARD17		
																																		CLDN25		
																																		MIR4301		
																																		CASP12		
																																		MIR4491		
																																		MIR4492		
																																		MIR4693		
