cytoband	9p21.3	13q14.2	5q12.1	4q22.1	2q37.1	16p13.3	2q22.1	3p14.2	16q23.1	10q23.31	14q24.1	6p25.3	4q34.2	19p13.3	11p15.5	8p23.3	18q23	17p12	22q13.32	2q34	15q13.1	1p36.11	9p23	Xp11.3	6q21	11q23.3	1q32.1	6q27	Xq21.33	12p13.1	7q36.3	8p21.3	9q22.33	11q25	10p11.21	12q24.33	
					MIR4440							DUSP22	PDLIM3	ARID3A	DEAF1	SGK223	ZNF516	snoU13|ENSG00000238806.1	CHKB		CHRNA7				RNA5SP214	MIR3167	RN7SL837P	SNORD45|ENSG00000231297.2		TAS2R30	RN7SL811P	RNA5SP262	RN7SL57P	MIR3167	CCDC7	SNORA49	
					FAM132B							FOXQ1	UFSP2	CFD	CDHR5	ALG1L13P	SMIM21	CDRT8	CPT1B		SNORA18|ENSG00000206849.1				FAM26E	snoU13|ENSG00000238855.1	RNA5SP79	LINC00473		TAS2R64P	SNORA26|ENSG00000212590.1	RNA5SP261	MIR4668	snoU13|ENSG00000238855.1	RN7SL825P	RNA5SP378	
					SNORD39|ENSG00000263723.1							HUS1B	SNORD79	MIR4745	PHRF1	FAM86B3P	ZADH2	CDRT7	TYMP		MIR211				TSPYL1	RN7SL351P	RN7SL467P	SDIM1		TAS2R20	snoU13|ENSG00000238557.1	UBXN8	UGCG	RN7SL351P	RNA5SP309	RNA5SP377	
					RBM44								RN7SL28P	RNA5SP462	EPS8L2	LRLE1	RN7SL551P	HS3ST3B1	MAPK11		RN7SL82P				NT5DC1	KRT18P59	RNA5SP78	RNA5SP226		TAS2R14	RNA5SP250	TUBBP1	LRRC37A5P	KRT18P59	SVILP1	RNA5SP376	
					COPS8								snoU13|ENSG00000239116.1	OR4F17	LRRC56	FAM85B	RN7SL401P	CDRT15	MAPK12		U8|ENSG00000252602.1				FRK	SLC37A2	RN7SKP276	RN7SL366P		PRH2	FABP5P3	FAM183CP	RNA5SP294	SLC37A2	RN7SL63P	RAN	
					RN7SL204P								snoU13|ENSG00000238596.1	FAM138F	C11orf35	FAM90A24P	MIR548AV	ADORA2B	SBF1		RN7SL628P				RNA5SP213	RNA5SP352	TMEM78	CAHM		TAS2R8	snoU13|ENSG00000239045.1	LINC00589	RNY4P18	RNA5SP352	RN7SL241P	snoU13|ENSG00000238822.1	
					MSL3P1								snoU13|ENSG00000238319.1	WASH5P	MIR210	FAM66E	RNA5SP460	PMP22	PPP6R2		GOLGA8H				snoU13|ENSG00000238563.1	TBRG1	SNORA51|ENSG00000206878.1	snoU13|ENSG00000239136.1		MAGOHB	DPP6	RN7SL781P	FRRS1L	TBRG1	SNORD115|ENSG00000212411.1	RN7SL534P	
					DNAJB3								U3|ENSG00000252048.1	ATP5D		DEFB105A	RN7SL795P	TRIM16	ZBED4		U8|ENSG00000207430.1				U3|ENSG00000253091.1	OR10D3	RNA5SP18	AIRN		EIF2S3L	EN2	RNA5SP260	MIR32	OR10D3	MIR604	snoU13|ENSG00000238895.1	
					UGT1A3								FAM92A1P2	AZU1		DEFB105B	CDH7	TTC19	SCO2		ULK4P2				snoU13|ENSG00000239095.1	U8|ENSG00000200496.1	RNA5S17	SNORA29		CDKN1B	MNX1	RNA5SP259	ACTL7B	U8|ENSG00000200496.1	PTCHD3P1	MIR3612	
					SCARNA6|ENSG00000251791.1								RN7SKP67	HCN2		DEFB103B	CYB5A	ZNF286A	RABL2B		RN7SL796P				snoU13|ENSG00000239015.1	SNORD14C	RNA5S16	SNORA20|ENSG00000207392.1		CREBL2	INSIG1	MIR4287	RNA5SP293	SNORD14C	RNA5SP308	TMEM132C	
					SCARNA5								RN7SKP13	BSG		ZNF705G	KDSR	TEKT3	MLC1		GOLGA8Q				C6orf3	SNORD14D	RNA5S15	RNU4ATAC18P		EMP1	PTPRN2	snoU13|ENSG00000238624.1	RN7SL659P	SNORD14D	LINC00837	LINC00508	
					RN7SL32P								LINC00290	CDC34		FAM66B	MBP	ZSWIM7	MAPK8IP2		RN7SL196P				KIAA1919	SNORD14E	RNA5S14	C6orf99		ETV6	VIPR2	SDAD1P1	RNA5SP292	SNORD14E	RNU4ATAC6P	LINC00507	
					snoU13|ENSG00000239170.1								SNORD65|ENSG00000212191.1	CIRBP		XKR5	NFATC1	TVP23C	PLXNB2		GOLGA8R				RPF2	snoU13|ENSG00000239079.1	RNA5S13	RN7SL173P		GPR19	XRCC2	RNA5SP258	RN7SKP77	snoU13|ENSG00000239079.1	RN7SKP39	STX2	
					RN7SL359P								RNA5SP173	CNN2		MIR4659A	SERPINB2	CDRT4	BRD1		U8|ENSG00000238519.1				snoU13|ENSG00000238775.1	RNU4ATAC5P	RNA5S12	MIR3692		LRP6	UBE3C	RN7SL651P	RN7SKP191	RNU4ATAC5P	U3|ENSG00000222666.1	GOLGA3	
					CHRND								snoU13|ENSG00000252388.1	EFNA2		AGPAT5	SERPINB5	TBC1D26	FAM19A5		RN7SL469P				SNORA40|ENSG00000212587.1	RNU4ATAC10P	RNA5S11	snoU13|ENSG00000252609.1		PRB1	DNAJB6	NEFL	RNA5SP291	RNU4ATAC10P	RN7SKP132	MMP17	
					ECEL1P2								RNA5SP172	ELANE		RN7SKP159	SERPINB8	CDRT1	NCAPH2		GOLGA8T				RN7SL617P	SC5D	RNA5S10	SNORD28|ENSG00000212295.1		PRB3	PAXIP1	SNORA67|ENSG00000207027.1	LINC00587	SC5D	ARMC4P1	POLE	
					MIR562								RN7SKP136	GAMT		RN7SL318P	SERPINB10		MOV10L1		U8|ENSG00000207432.1				snoU13|ENSG00000238474.1	TBCEL	RNA5S9	TFB1M		PRB4	PRKAG2	FP15737	TMEM246	TBCEL	LINC00614	PXMP2	
					NPPC								SNORA51|ENSG00000201516.1	GPX4		SNORA70|ENSG00000206661.1	SERPINB13		MIOX		ULK4P3				CCDC162P	OAF	RNA5S8	U8|ENSG00000238963.1		PRH1	NCAPG2	SLC25A37	SNORA31|ENSG00000253041.1	OAF	snoU13|ENSG00000238414.1	SFSWAP	
					MGC4771								SCRG1	GZMM		RN7SL872P	SERPINB3		PANX2		RN7SL673P				C6orf183	THY1	RNA5S7	CNKSR3		YBX3	WDR60	TNFRSF10A	LPPR1	THY1	SNORA57|ENSG00000223027.1	ZNF10	
					RN7SL499P								HMGB2	PALM		RNA5SP251	SERPINB4		CRELD2		GOLGA8J				ZNF259P1	MFRP	RNA5S6	RNA5SP225		KLRAP1	ACTR3B	RN7SL303P	RN7SKP87	MFRP	LINC00264	ZNF26	
					SNORD82								MIR548T	POLRMT		RPL23AP53	ZNF236		ADM2		snoZ278				LINC00222	ACA64|ENSG00000252119.1	RNA5S5	RNA5SP224		PRR4	ESYT2	NUDT18	MSANTD3	ACA64|ENSG00000252119.1	RNA5SP307	ZNF84	
					SNORD20								RN7SL253P	PRTN3		OR4F21	SERPINB7		TRABD		GOLGA6L7P				RNA5SP212	HINFP	RNA5S4	RNA5SP223		TAS2R9	KMT2C	FGF17	RN7SL75P	HINFP	RNA5SP306	ULK1	
					SNORA75|ENSG00000206885.1								RNU6ATAC13P	PTBP1		ANGPT2	CTDP1		HDAC10		WHAMMP2				snoU13|ENSG00000238974.1	C2CD2L	RNA5S3	snoU13|ENSG00000238939.1		TAS2R7	GALNT11	snoU13|ENSG00000238466.1	STX17	C2CD2L	RN7SKP220	PIWIL1	
					NCL								HSP90AA6P	RPS15		DEFA1	SOCS6		SHANK3		RN7SL719P				SNORA73|ENSG00000253090.1	MIR3656	RNA5S2	RN7SKP268		TAS2R13	LMBR1	U3|ENSG00000251944.1	RN7SKP225	MIR3656	RN7SKP241	ZNF268	
					MIR4777								AGA	STK11		DEFA3	VPS4B		TUBGCP6		GOLGA8M				SCML4	RPS25	RNA5S1	RNY4P20		TAS2R10	NOM1	SNORA62|ENSG00000201157.1	ALG2	RPS25	RNA5SP305	FZD10	
					RN7SL834P								SLC25A4	TCF3		DEFA4	TSHZ1		LMF2		RN7SL829P				RTN4IP1	RN7SL529P	RNA5SP19	snoU13|ENSG00000238594.1		HEBP1	C7orf13	RNA5SP256	RN7SL794P	RN7SL529P	MIR603	P2RX2	
					RNY4P19								CASP3	MADCAM1		DEFA5	CD226		KLHDC7B		RN7SL238P				RNA5SP211	RN7SL688P	BTNL10	RAET1K		DDX47	RNF32	MIR548V	RNA5SP290	RN7SL688P	snoU13|ENSG00000238515.1	ANKLE2	
					RN7SKP283								DCTD	PPAP2C		DEFA6	TXNL4A		C22orf34		GOLGA8F				RN7SL47P	BCL9L	RNF187	SNORA2|ENSG00000202343.1		MANSC1	RBM33	MTMR7	CTSV	BCL9L	SNORA40|ENSG00000252049.1	RIMBP2	
					SNORD112|ENSG00000251801.1								F11	MED16		DEFB1	ADNP2		LINC00898		RNA5SP391				RN7SKP211	CXCR5	MIR3620	GINM1		STYK1	GALNTL5	ZDHHC2	AAED1	CXCR5	RNA5SP304	GALNT9	
					SNORA25|ENSG00000272237.1								ACSL1	FSTL3		DEFB4A	RTTN		IL17REL		LINC00929				POPDC3	DDX6	MIR5008	ZC3H12D		GPRC5D	CNPY1	FGF20	LINC00092	DDX6	RN7SKP37	CHFR	
					RNA5SP121								FAT1	APC2		CLN8	KCNG2		PIM3		SNORA48|ENSG00000212604.1				LINC00577	TTC36	WNT9A	RN7SL234P		KIAA1467	BLACE	RN7SL474P	RNA5SP289	TTC36	RN7SKP219	EP400	
					SNORA48|ENSG00000212391.1								FRG1	ABCA7		MSRA	CDH19		ODF3B		MIR4715				SNORA33|ENSG00000202283.1	RN7SL86P	ZNF678	ACAT2		BCL2L14	MIR5707	MIR383	DKFZP434H0512	RN7SL86P	MIR1915	FBRSL1	
					AGXT								GPM6A	UQCR11		TNKS	TIMM21		SYCE3		RNA5SP390				snoU13|ENSG00000238999.1	CD3G	RNA5SP77	CCR6		APOLD1		RNA5SP255	LINC00476	CD3G	CASC10	NOC4L	
					ALPI								HPGD	SBNO2		MYOM2	TMX3		MIR3201		ATP10A				PRDM13	MPZL3	RN7SKP165	ESR1		GSG1		LINC00681	snoU13|ENSG00000238746.1	MPZL3	U3|ENSG00000251749.1	PUS1	
					ALPP								ING2	HMHA1		DLGAP2	ZNF407		MIR3667		SNORD109B				TSTD3	TMPRSS4	snoU13|ENSG00000239094.1	IGF2R		LOH12CR1		FAM86B2	RNA5SP288	TMPRSS4	RNA5SP303	TMEM132D	
					ALPPL2								IRF2	SHC2		MFHAS1	CNDP2		MIR4535		SNORD115|ENSG00000212428.1				RN7SL509P	SCARNA11|ENSG00000252992.1	snoU13|ENSG00000238545.1	KIF25		TAS2R43		FAM66A	MIR27B	SCARNA11|ENSG00000252992.1	U3|ENSG00000200545.1	SLC15A4	
					KIF1A								KLKB1	DAZAP1		ARHGEF10	CCDC102B				SNORD109A				RN7SL797P	PCSK7	MIR4742	LPA		TAS2R31		RNA5SP254	MIR23B	PCSK7	C10orf112	GLT1D1	
					BOK								MTNR1A	FGF22		KBTBD11	PQLC1				SNORD108				SNORA18|ENSG00000252249.1	RNY4P6	snoU13|ENSG00000238856.1	MAS1		TAS2R46		FAM66D	MIR2278	RNY4P6	TMEM236|ENSG00000184040.7	PGAM5	
					CHRNG								VEGFC	THEG		SPAG11B	NETO1				SNORD64|ENSG00000270704.2				U3|ENSG00000221455.1	ZNF259	MIR320B2	MAP3K4		TAS2R19		RNA5SP253	PCAT7	ZNF259	MRC1L1	GPR133	
					COL4A3								GLRA3	MBD3		FBXO25	PARD6G				SNHG14				U3|ENSG00000200492.1	snoU13|ENSG00000238625.1	SNORA72|ENSG00000201898.1	MLLT4		TAS2R50		DEFB130|ENSG00000233050.1	ZNF169	snoU13|ENSG00000238625.1	snoR442|ENSG00000251959.1	DDX51	
					COL4A4								SORBS2	MIER2		CSMD1	CNDP1				SNURF				RN7SL415P	LINC00900	RN7SKP49	OPRM1		C12orf36		DEFB134	snoU13|ENSG00000238792.1	LINC00900	ST8SIA6	EP400NL	
					COL6A3								SAP30	PCSK4		MCPH1	SERPINB12				snoU13|ENSG00000238615.1				RN7SKP110	snoU13|ENSG00000239153.1	CAPN8	PARK2		TAS2R42		C8orf49	MIRLET7DHG	snoU13|ENSG00000239153.1	BMI1	ZNF605	
					DTYMK								HAND2	RNF126		PPP1R3B	SERPINB11				PWRN1				CASP8AP2	ACA59|ENSG00000252870.1	snoU13|ENSG00000239054.1	PCMT1		PRB2		LINC00208	CENPP	ACA59|ENSG00000252870.1	CACNB2	MIR4419B	
					GBX2								MFAP3L	WDR18		ERI1	DSEL				PWRN2				snoU13|ENSG00000238747.1	snoU13|ENSG00000238724.1	RN7SL276P	PDCD2		MIR614		RN7SL293P	SNORA84	snoU13|ENSG00000238724.1	MAP3K8		
					GPC1								ADAM29	REXO1		CLDN23	FAM69C				MAGEL2				RN7SL11P	ATF4P4	HLX	PLG				C8orf12	snoU13|ENSG00000238996.1	ATF4P4	CREM		
					GPR35								DUX4	LPPR3		DEFB104A	CBLN2				APBA2				RN7SL336P	snosnR66	RNU6ATAC35P	PSMB1				LINC00529	LINC00475	snosnR66	TRDMT1		
					HDLBP								FAM149A	KLF16		TDRP	FBXO15				GABRA5				SNORA73|ENSG00000222145.1	C11orf34	HDAC1P2	RPS6KA2				MIR598	LINC00484	C11orf34	GAD2		
					AGFG1								FBXO8	KISS1R		ERICH1	GTSCR1				GABRB3				RN7SL183P	SDHD	RN7SL464P	SLC22A1				SNORD112|ENSG00000252565.1	MIR3153	SDHD	ITGB1		
					HTR2B								AADAT	MUM1		ZNF596	DOK6				GABRG3				snoU13|ENSG00000238628.1	RNA5SP351	SNORA36B	SLC22A3				SOX7	SHC3	RNA5SP351	KIF5B		
					SP110								GALNT7	MIDN		PRSS55	LINC00305				TRPM1				C6ORF165	HSPB2	snoU13|ENSG00000238576.1	SLC22A2				RNA5SP252	ABCA1	HSPB2	MRC1		
					INPP5D								CLDN22	R3HDM4		DEFB106A	LINC00908				NDN				RN7SKP209	ALG9	snoU13|ENSG00000238798.1	SOD2				PRSS51	ALDOB	ALG9	PIP4K2A		
					KCNJ13								NEIL3	TMEM259		DEFB107A	HMSD				OCA2				RN7SL643P	ALG9	U3|ENSG00000221673.1	T				snoU13|ENSG00000238496.1	AUH	ALG9	SVIL		
					NDUFA10								CDKN2AIP	TPGS1		LINC00599	ATP9B				SNRPN				SNHG5	RN7SKP273	RNA5SP76	TBP				snoU13|ENSG00000239065.1	BAAT	RN7SKP273	ZEB1		
					SEPT2								TENM3	REEP6		DEFB103A	LINC00909				TJP1				CYB5R4	SIK2	SLC30A10	TCP1				MIR597	CKS2	SIK2	VIM		
					NEU2								LRP2BP	GRIN3B		DEFB107B	HSBP1L1				UBE3A				RWDD2A	RNA5SP350	U3|ENSG00000212610.1	TCTE3				U3|ENSG00000252543.1	COL15A1	RNA5SP350	STAM		
					PDCD1								STOX2	MISP		DEFB104B	C18orf63				MKRN3				SNORA70|ENSG00000206886.1	SNORD39|ENSG00000264997.1	C1orf143	DYNLT1				SNORA70|ENSG00000207244.1	CYLC2	SNORD39|ENSG00000264997.1	MLLT10		
					PDE6D								KIAA1430	PLK5		DEFB106B	MIR5011				HERC2				RNA5SP210	RNA5SP349	LINC00210	THBS2				RN7SL178P	ECM2	RNA5SP349	CUBN		
					PPP1R7								SPCS3	C2CD4C		SPAG11A					ARHGAP11A				SNORD112|ENSG00000252932.1	RNA5SP348	SPATA17	EZR				SGK223	LPAR1	RNA5SP348	FZD8		
					PSMD1								TRAPPC11	C19orf25		MIR596					FAN1				HTR1B	ACAT1	SNORD116|ENSG00000202498.1	VIP				ALG1L13P	S1PR3	MMP12	CUL2		
					PTMA								MLF1IP	ATP8B3		DEFA1B					FAM189A1				U6|ENSG00000272445.1	ACRV1	RN7SL512P	RNASET2				FAM86B3P	FANCC	ACAT1	NRP1		
					SAG								WWC2	C19orf26		ZNF705B					NPAP1				snoU13|ENSG00000239132.1	APLP2	SNORA16B	SYNJ2				LRLE1	FBP1	ACRV1	PTPLA		
					CCL20								CEP44	ODF3L2		DEFB4B					KLF13				RNA5SP209	APOA1	RN7SKP98	LATS1				FAM85B	FKTN	APLP2	SPAG6		
					SP100								SNX25	ADAMTSL5		MIR548I3					MTMR10				RN7SKP163	APOA4	MIR3122	QKI				FAM90A24P	FOXE1	APOA1	ABI1		
					SPP2								WDR17	MEX3D		MIR4286					NDNL2				U3|ENSG00000221332.1	APOC3	SNORA26|ENSG00000212187.1	WTAP				FAM66E	GNG10	APOA4	NEBL		
					DGKD								ZFP42	PRSS57		MIR4660					CHRFAM7A				MB21D1	ARCN1	RN7SL344P	AKAP12				DEFB105A	HSD17B3	APOC3	YME1L1		
					PER2								SPATA4	MIR3187							ARHGAP11B				snoU13|ENSG00000238464.1	ATM	SLC30A1	UST				DEFB105B	IARS	ARCN1	ANKRD26		
					LRRFIP1								ENPP6								OTUD7A				OOEP	FXYD2	KCNH1	PDE10A				DEFB103B	MUSK	ATM	MSRB2		
					GPR55								ASB5								GOLGA8G				OGFRL1	CASP1	SERTAD4	KATNA1				ZNF705G	NCBP1	FXYD2	RAB18		
					TRIP12								RWDD4								HERC2P9				U3|ENSG00000221345.1	CASP4	MIR4260	SCAF8				FAM66B	NFIL3	CASP1	COMMD3		
					ECEL1								CCDC111								GOLGA8N				B3GAT2	CASP5	MIR205HG	TAB2				XKR5	NINJ1	CASP4	PDSS1		
					EIF4E2								TRIML2								MIR4508				C6orf57	CBL	MIR29B2	SASH1				MIR4659A	ROR2	CASP5	BAMBI		
					HDAC4								CCDC110												COL19A1	CD3D	MIR29C	SYNE1				AGPAT5	OMD	CBL	WAC		
					FARP2								TRIML1												RNA5SP208	CD3E	snoU13|ENSG00000238401.1	MTHFD1L				RN7SKP159	OGN	CD3D	MYO3A		
					ARL4C								ANKRD37												SNORD65|ENSG00000212229.1	CHEK1	FAIM3	IPCEF1				RN7SL318P	PHF2	CD3E	APBB1IP		
					RAMP1								HELT												AIM1	CRYAB	IL20	TIAM2				NAT1	PPP3R2	CHEK1	ARMC4		
					NMUR1								C4orf47												AMD1	DDX10	SNORD112|ENSG00000252853.1	C6orf123				NAT2	PTCH1	CRYAB	MTPAP		
					STK25								DUX4L4												BAI3	DLAT	C1orf147	FBXO5				ADRA1A	PTPN3	DDX10	KIAA1217		
					CAPN10								GALNTL6												BCKDHB	DPAGT1	SRGAP2	RGS17				ANGPT2	RAD23B	DLAT	PARD3		
					SP140								FRG2												PRDM1	DRD2	SNORD60|ENSG00000252692.1	DLL1				ASAH1	SYK	DPAGT1	PRTFDC1		
					PASK								DUX4L7												CCNC	ETS1	C1orf186	MRPL18				ATP6V1B2	TAL2	DRD2	ZNF248		
					ATG4B								DUX4L6												CGA	FDX1	AVPR1B	CLDN20				BLK	TGFBR1	ETS1	GPR158		
					SH3BP4								DUX4L5												CNR1	FLI1	FAM72A	NOX3				BMP1	TMOD1	FDX1	ARHGAP21		
					NGEF								DUX4L3												COL9A1	SLC37A4	SNORA72|ENSG00000201944.1	SNX9				POLR3D	TXN	FLI1	KIAA1462		
					SNED1								DUX4L2												COL10A1	GRIA4	SNORD112|ENSG00000252946.1	MPC1				BNIP3L	CORO2A	SLC37A4	DNAJC1		
					GIGYF2								CLDN24												COL12A1	GRIK4	SCARNA20|ENSG00000251861.1	UNC93A				CHRNA2	XPA	GRIA4	C10orf68		
					TRAF3IP1								MIR1305												COX7A2	GUCY1A2	RNA5SP75	MTRF1L				CLU	ZFP37	GRIK4	THNSL1		
					ANO7								MIR4276												EEF1A1	H2AFX	RNA5SP74	RMND1				CTSB	ZNF189	GUCY1A2	EPC1		
					PRLH								MIR3945												EPHA7	HMBS	SNRPE	PHF10				DEFA1	NR4A3	H2AFX	LYZL1		
					THAP4								MIR4455												FABP7	HSPA8	ZBED6	C6orf70				DEFA3	IKBKAP	HMBS	PLXDC2		
					ANKMY1																				FOXO3	HTR3A	SNORA77|ENSG00000221643.1	AGPAT4				DEFA4	CDC14B	HSPA8	MASTL		
					SCLY																				FYN	IL10RA	RABIF	TULP4				DEFA5	TMEFF1	HTR3A	ANKRD30A		
					ASB1																				GABRR1	IL18	PCAT6	PLEKHG1				DEFA6	CTNNAL1	IL10RA	ACBD5		
					CAB39																				GABRR2	STT3A	SNORA70|ENSG00000253042.1	ARID1B				DEFB1	FBP2	IL18	ARHGAP12		
					UGT1A10																				GJA1	KCNJ1	U6|ENSG00000272262.1	TMEM181				DEFB4A	KLF4	STT3A	LYZL2		
					UGT1A7																				GPR6	VWA5A	snoU13|ENSG00000239046.1	ZBTB2				DPYSL2	GABBR2	KCNJ1	MPP7		
					UGT1A6																				GRIK2	MCAM	snoU13|ENSG00000238571.1	SMOC2				DUSP4	TRIM14	VWA5A	ENKUR		
					UGT1A5																				HDAC2	KMT2A	PTPRVP	ULBP3				EGR3	PTBP3	MCAM	ARMC3		
					UGT1A9																				HSF2	NCAM1	GPR37L1	C6orf211				DMTN	SEMA4D	KMT2A	ZNF25		
					UGT1A4																				HTR1E	NFRKB	SNORA70|ENSG00000206637.1	ZDHHC14				EPHX2	ANP32B	MMP3	GJD4		
					UGT1A8																				IMPG1	NNMT	MIR1231	FRMD1				EXTL3	SPTLC1	MMP13	CCNY		
					UGT1A1																				KPNA5	NPAT	MIR5191	LINC00574				PTK2B	SMC2	NCAM1	OTUD1		
					PID1																				LAMA4	NRGN	RPS10P7	CCDC170				FDFT1	ACTL7A	NFRKB	ZNF438		
					ATG16L1																				MARCKS	PAFAH1B2	ASCL5	MYCT1				FGL1	GADD45G	NNMT	SLC39A12		
					USP40																				MAN1A1	POU2AF1	LINC00862	ULBP2				GATA4	SEC61B	NPAT	NSUN6		
					HJURP																				ME1	PPP2R1B	MIR181A1HG	ULBP1				GFRA2	SLC35D2	NRGN	ARL5B		
					HES6																				MYO6	PTS	MIR4735	LPAL2				GNRH1	AKAP2	OPCML	PTF1A		
					C2orf83																				NT5E	PVRL1	U3|ENSG00000252241.1	PPP1R14C				GSR	ZNF510	PAFAH1B2	C10orf67		
					MFF																				PGM3	RDX	MIR1278	RSPH3				GTF2E2	HABP4	POU2AF1	MKX		
					ACKR3																				PLN	SCN2B	snoU109|ENSG00000238754.1	FAM120B				NRG1	PTGR1	PPP2R1B	C10orf126		
					GAL3ST2																				POU3F2	SCN4B	RN7SKP126	FNDC1				LOXL2	ERP44	PTS	EBLN1		
					RAB17																				PREP	SDHD	RNA5SP73	LRP11				LPL	FAM120A	PVRL1	PTCHD3		
					COPS7B																				PKIB	ST3GAL4	RN7SKP156	SERAC1				MSR1	BICD2	RDX	C10orf113		
