"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"cyt.cat=med",123,72,3.8,"3.2 to 4.3","0.95 (0.91 to 0.99)","0.92 (0.88 to 0.97)","0.79 (0.72 to 0.88)","0.32 (0.23 to 0.43)"
"nmdptc_max.cat=high",78,47,3.5,"2.8 to 4.4","0.93 (0.88 to 0.99)","0.88 (0.8 to 0.96)","0.70 (0.6 to 0.82)","0.28 (0.18 to 0.43)"
"nmdptc_max.cat=low",63,38,3.3,"2.8 to 4.8","0.92 (0.86 to 0.99)","0.88 (0.8 to 0.97)","0.75 (0.64 to 0.88)","0.28 (0.17 to 0.46)"
"nmdptc_max.cat=med",107,62,4,"3.5 to 4.8","0.96 (0.93 to 1)","0.96 (0.93 to 1)","0.87 (0.8 to 0.94)","0.35 (0.25 to 0.48)"
"nmdptc_n_decayed.cat=high",78,47,3.5,"2.8 to 4.4","0.93 (0.88 to 0.99)","0.88 (0.8 to 0.96)","0.70 (0.6 to 0.82)","0.28 (0.18 to 0.43)"
"nmdptc_n_decayed.cat=low",108,68,3.6,"3.2 to 4.5","0.94 (0.89 to 0.98)","0.91 (0.86 to 0.97)","0.81 (0.73 to 0.89)","0.30 (0.21 to 0.42)"
"nmdptc_n_decayed.cat=med",62,32,4.3,"3.4 to 6.4","0.97 (0.92 to 1)","0.97 (0.92 to 1)","0.86 (0.77 to 0.96)","0.36 (0.24 to 0.55)"
"nmdptc_frac_decayed.cat=high",137,84,3.6,"3 to 4.4","0.95 (0.91 to 0.99)","0.90 (0.85 to 0.95)","0.76 (0.69 to 0.84)","0.29 (0.21 to 0.4)"
"nmdptc_frac_decayed.cat=low",87,48,3.7,"3.2 to 5","0.93 (0.88 to 0.99)","0.93 (0.88 to 0.99)","0.82 (0.73 to 0.92)","0.34 (0.23 to 0.5)"
"nmdptc_frac_decayed.cat=med",24,15,4,"3 to 7.4","0.96 (0.88 to 1)","0.96 (0.88 to 1)","0.85 (0.7 to 1)","0.30 (0.15 to 0.63)"
"nmdptc_med.cat=high",78,47,3.4,"2.8 to 4.4","0.93 (0.88 to 0.99)","0.88 (0.8 to 0.96)","0.70 (0.6 to 0.82)","0.28 (0.18 to 0.43)"
"nmdptc_med.cat=low",65,39,3.3,"2.8 to 5","0.91 (0.84 to 0.98)","0.91 (0.84 to 0.98)","0.76 (0.65 to 0.89)","0.30 (0.19 to 0.48)"
"nmdptc_med.cat=med",105,61,4,"3.7 to 4.8","0.97 (0.94 to 1)","0.95 (0.91 to 0.99)","0.87 (0.8 to 0.94)","0.34 (0.24 to 0.47)"
"nmdptc_med.wt.cat=high",78,47,3.4,"2.8 to 4.4","0.93 (0.88 to 0.99)","0.88 (0.8 to 0.96)","0.70 (0.6 to 0.82)","0.28 (0.18 to 0.43)"
"nmdptc_med.wt.cat=low",67,40,3.4,"2.8 to 5","0.91 (0.84 to 0.98)","0.91 (0.84 to 0.98)","0.77 (0.67 to 0.89)","0.30 (0.19 to 0.47)"
"nmdptc_med.wt.cat=med",103,60,4,"3.6 to 4.8","0.97 (0.94 to 1)","0.95 (0.91 to 0.99)","0.86 (0.8 to 0.94)","0.34 (0.24 to 0.47)"
"nmdptc_mean.cat=high",78,47,3.4,"2.8 to 4.4","0.93 (0.88 to 0.99)","0.88 (0.8 to 0.96)","0.70 (0.6 to 0.82)","0.28 (0.18 to 0.43)"
"nmdptc_mean.cat=low",63,35,3.3,"2.8 to 4.8","0.90 (0.83 to 0.98)","0.90 (0.83 to 0.98)","0.75 (0.64 to 0.88)","0.28 (0.16 to 0.46)"
"nmdptc_mean.cat=med",107,65,4,"3.7 to 4.8","0.97 (0.94 to 1)","0.95 (0.91 to 0.99)","0.87 (0.8 to 0.94)","0.35 (0.25 to 0.48)"
"nmdptc_mean.wt.cat=high",78,47,3.4,"2.8 to 4.4","0.93 (0.88 to 0.99)","0.88 (0.8 to 0.96)","0.70 (0.6 to 0.82)","0.28 (0.18 to 0.43)"
"nmdptc_mean.wt.cat=low",63,34,3.3,"2.8 to 4.8","0.90 (0.83 to 0.98)","0.90 (0.83 to 0.98)","0.75 (0.64 to 0.88)","0.27 (0.15 to 0.46)"
"nmdptc_mean.wt.cat=med",107,66,4,"3.5 to 4.8","0.97 (0.94 to 1)","0.95 (0.91 to 0.99)","0.87 (0.81 to 0.94)","0.35 (0.26 to 0.48)"
"nmdfs_max.cat=high",151,94,3.4,"3 to 4","0.93 (0.89 to 0.97)","0.88 (0.83 to 0.94)","0.75 (0.68 to 0.83)","0.28 (0.21 to 0.38)"
"nmdfs_max.cat=low",63,37,4.3,"3 to 5","0.97 (0.93 to 1)","0.97 (0.93 to 1)","0.87 (0.79 to 0.97)","0.32 (0.2 to 0.5)"
"nmdfs_max.cat=med",34,16,4.3,"3.6 to NA","0.97 (0.91 to 1)","0.97 (0.91 to 1)","0.82 (0.68 to 0.98)","0.41 (0.25 to 0.69)"
"nmdfs_n_decayed.cat=high",151,94,3.4,"3 to 4","0.93 (0.89 to 0.97)","0.88 (0.83 to 0.94)","0.75 (0.68 to 0.83)","0.28 (0.21 to 0.38)"
"nmdfs_n_decayed.cat=low",67,40,4.3,"3.3 to 5.1","0.97 (0.93 to 1)","0.97 (0.93 to 1)","0.90 (0.83 to 0.98)","0.33 (0.22 to 0.5)"
"nmdfs_n_decayed.cat=med",30,13,4.1,"2.5 to NA","0.97 (0.9 to 1)","0.97 (0.9 to 1)","0.73 (0.57 to 0.94)","0.41 (0.23 to 0.73)"
"nmdfs_frac_decayed.cat=high",193,117,3.7,"3.3 to 4.4","0.94 (0.91 to 0.98)","0.91 (0.87 to 0.95)","0.79 (0.73 to 0.85)","0.33 (0.26 to 0.42)"
"nmdfs_frac_decayed.cat=low",55,30,3.5,"3 to 4.3","0.94 (0.89 to 1)","0.94 (0.89 to 1)","0.80 (0.68 to 0.93)","0.21 (0.1 to 0.42)"
"nmdfs_med.cat=high",151,94,3.4,"3 to 4","0.93 (0.89 to 0.97)","0.88 (0.83 to 0.94)","0.75 (0.68 to 0.83)","0.29 (0.22 to 0.39)"
"nmdfs_med.cat=low",63,32,4.1,"3 to 5.5","0.95 (0.9 to 1)","0.95 (0.9 to 1)","0.82 (0.72 to 0.94)","0.35 (0.22 to 0.54)"
"nmdfs_med.cat=med",34,21,4.3,"3.5 to 6.1","1.00 (1 to 1)","1.00 (1 to 1)","0.90 (0.8 to 1)","0.32 (0.18 to 0.56)"
"nmdfs_med.wt.cat=high",151,94,3.4,"3 to 4","0.93 (0.89 to 0.97)","0.88 (0.83 to 0.94)","0.75 (0.68 to 0.83)","0.29 (0.22 to 0.39)"
"nmdfs_med.wt.cat=low",63,34,3.7,"3 to 5","0.95 (0.9 to 1)","0.95 (0.9 to 1)","0.80 (0.7 to 0.92)","0.30 (0.18 to 0.49)"
"nmdfs_med.wt.cat=med",34,19,4.8,"4 to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.93 (0.85 to 1)","0.39 (0.24 to 0.63)"
"nmdfs_mean.cat=high",151,94,3.4,"3 to 4","0.93 (0.89 to 0.97)","0.88 (0.83 to 0.94)","0.75 (0.68 to 0.83)","0.29 (0.22 to 0.39)"
"nmdfs_mean.cat=low",63,32,4.1,"3 to 5.1","0.95 (0.9 to 1)","0.95 (0.9 to 1)","0.80 (0.69 to 0.92)","0.32 (0.2 to 0.52)"
"nmdfs_mean.cat=med",34,21,4.7,"3.6 to 7.2","1.00 (1 to 1)","1.00 (1 to 1)","0.94 (0.86 to 1)","0.36 (0.21 to 0.6)"
"nmdfs_mean.wt.cat=high",151,94,3.4,"3 to 4","0.93 (0.89 to 0.97)","0.88 (0.83 to 0.94)","0.75 (0.68 to 0.83)","0.29 (0.22 to 0.39)"
"nmdfs_mean.wt.cat=low",63,34,3.7,"3 to 5","0.95 (0.9 to 1)","0.95 (0.9 to 1)","0.80 (0.7 to 0.92)","0.30 (0.18 to 0.49)"
"nmdfs_mean.wt.cat=med",34,19,4.8,"4 to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.93 (0.85 to 1)","0.39 (0.24 to 0.63)"
"nmdns_max.cat=high",109,64,3.5,"2.9 to 4.3","0.94 (0.9 to 0.99)","0.90 (0.85 to 0.96)","0.71 (0.63 to 0.81)","0.28 (0.19 to 0.4)"
"nmdns_max.cat=low",63,39,3.5,"3 to 5","0.94 (0.88 to 1)","0.90 (0.82 to 0.98)","0.84 (0.74 to 0.94)","0.31 (0.2 to 0.49)"
"nmdns_max.cat=med",76,44,4,"3.4 to 5.5","0.95 (0.9 to 1)","0.95 (0.9 to 1)","0.86 (0.78 to 0.95)","0.35 (0.24 to 0.51)"
"nmdns_n_decayed.cat=high",109,64,3.5,"2.9 to 4.3","0.94 (0.9 to 0.99)","0.90 (0.85 to 0.96)","0.71 (0.63 to 0.81)","0.28 (0.19 to 0.4)"
"nmdns_n_decayed.cat=low",103,63,4,"3.5 to 5","0.94 (0.9 to 0.99)","0.92 (0.87 to 0.97)","0.86 (0.79 to 0.93)","0.37 (0.27 to 0.5)"
"nmdns_n_decayed.cat=med",36,20,3.4,"2.9 to 4.8","0.94 (0.87 to 1)","0.94 (0.87 to 1)","0.82 (0.69 to 0.98)","0.23 (0.11 to 0.49)"
"nmdns_frac_decayed.cat=high",158,97,3.5,"3 to 4.1","0.95 (0.92 to 0.98)","0.91 (0.86 to 0.95)","0.76 (0.69 to 0.84)","0.27 (0.2 to 0.37)"
"nmdns_frac_decayed.cat=low",80,43,4.1,"3.4 to 5.5","0.94 (0.88 to 0.99)","0.94 (0.88 to 0.99)","0.85 (0.77 to 0.94)","0.39 (0.28 to 0.55)"
"nmdns_frac_decayed.cat=med",10,7,3.7,"1.8 to NA","0.90 (0.73 to 1)","0.90 (0.73 to 1)","0.75 (0.5 to 1)","0.30 (0.09 to 0.95)"
"nmdns_med.cat=high",109,64,3.4,"2.9 to 4.3","0.94 (0.9 to 0.99)","0.90 (0.85 to 0.96)","0.71 (0.63 to 0.81)","0.28 (0.19 to 0.4)"
"nmdns_med.cat=low",64,36,4.1,"3.2 to 6","0.92 (0.86 to 0.99)","0.92 (0.86 to 0.99)","0.82 (0.72 to 0.93)","0.40 (0.28 to 0.59)"
"nmdns_med.cat=med",75,47,3.8,"3.2 to 4.8","0.96 (0.92 to 1)","0.93 (0.87 to 0.99)","0.88 (0.8 to 0.96)","0.28 (0.18 to 0.44)"
"nmdns_med.wt.cat=high",109,64,3.4,"2.9 to 4.3","0.94 (0.9 to 0.99)","0.90 (0.85 to 0.96)","0.71 (0.63 to 0.81)","0.28 (0.19 to 0.4)"
"nmdns_med.wt.cat=low",63,37,4.1,"3.3 to 5.5","0.92 (0.85 to 0.99)","0.92 (0.85 to 0.99)","0.82 (0.72 to 0.93)","0.38 (0.25 to 0.56)"
"nmdns_med.wt.cat=med",76,46,3.8,"3.2 to 4.8","0.96 (0.92 to 1)","0.93 (0.87 to 0.99)","0.88 (0.8 to 0.96)","0.30 (0.2 to 0.46)"
"nmdns_mean.cat=high",109,64,3.4,"2.9 to 4.3","0.94 (0.9 to 0.99)","0.90 (0.85 to 0.96)","0.71 (0.63 to 0.81)","0.28 (0.19 to 0.4)"
"nmdns_mean.cat=low",63,35,3.7,"3.2 to 5.5","0.92 (0.86 to 0.99)","0.92 (0.86 to 0.99)","0.81 (0.72 to 0.93)","0.36 (0.24 to 0.55)"
"nmdns_mean.cat=med",76,48,4,"3.4 to 4.8","0.96 (0.92 to 1)","0.93 (0.87 to 0.99)","0.88 (0.8 to 0.96)","0.31 (0.21 to 0.47)"
"nmdns_mean.wt.cat=high",109,64,3.4,"2.9 to 4.3","0.94 (0.9 to 0.99)","0.90 (0.85 to 0.96)","0.71 (0.63 to 0.81)","0.28 (0.19 to 0.4)"
"nmdns_mean.wt.cat=low",63,36,3.7,"3.3 to 5.4","0.92 (0.85 to 0.99)","0.92 (0.85 to 0.99)","0.79 (0.69 to 0.91)","0.33 (0.21 to 0.52)"
"nmdns_mean.wt.cat=med",76,47,4,"3.2 to 4.8","0.96 (0.92 to 1)","0.93 (0.87 to 0.99)","0.90 (0.83 to 0.97)","0.33 (0.23 to 0.49)"
"cyt.cat=high",62,34,4.1,"2.9 to 5.2","0.89 (0.81 to 0.97)","0.87 (0.78 to 0.96)","0.76 (0.65 to 0.89)","0.36 (0.24 to 0.55)"
"cyt.cat=low",63,41,3.5,"3 to 4.6","0.98 (0.95 to 1)","0.94 (0.89 to 1)","0.80 (0.7 to 0.92)","0.25 (0.15 to 0.42)"
"cyt.cat=med",123,72,3.8,"3.2 to 4.3","0.95 (0.91 to 0.99)","0.92 (0.88 to 0.97)","0.79 (0.72 to 0.88)","0.32 (0.23 to 0.43)"
"cyt.bool=0",63,41,3.5,"3 to 4.6","0.98 (0.95 to 1)","0.94 (0.89 to 1)","0.80 (0.7 to 0.92)","0.25 (0.15 to 0.42)"
"cyt.bool=1",62,34,4.1,"2.9 to 5.2","0.89 (0.81 to 0.97)","0.87 (0.78 to 0.96)","0.76 (0.65 to 0.89)","0.36 (0.24 to 0.55)"
"TMB.cat=high",123,61,4.3,"3.6 to 5.7","0.95 (0.91 to 0.99)","0.93 (0.88 to 0.98)","0.88 (0.81 to 0.94)","0.42 (0.32 to 0.55)"
"TMB.cat=low",125,86,3.2,"2.7 to 3.8","0.94 (0.89 to 0.98)","0.90 (0.85 to 0.96)","0.71 (0.63 to 0.8)","0.21 (0.14 to 0.32)"
"PDL1.cat0=negative",1,1,3,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.00 (NA to NA)"
"PDL1.cat0=positive",247,146,3.7,"3.3 to 4.3","0.94 (0.91 to 0.97)","0.91 (0.88 to 0.95)","0.79 (0.73 to 0.84)","0.31 (0.25 to 0.39)"
"PDL1.cat=high",62,38,2.8,"2.2 to 4.3","0.89 (0.81 to 0.97)","0.85 (0.76 to 0.94)","0.63 (0.51 to 0.78)","0.25 (0.14 to 0.43)"
"PDL1.cat=low",63,42,3.3,"3 to 4.3","0.98 (0.95 to 1)","0.95 (0.89 to 1)","0.82 (0.72 to 0.93)","0.19 (0.1 to 0.35)"
"PDL1.cat=med",123,67,4.1,"3.7 to 5.5","0.95 (0.91 to 0.99)","0.93 (0.89 to 0.98)","0.85 (0.78 to 0.92)","0.40 (0.31 to 0.52)"
"age.cat=<65",168,91,4,"3.4 to 4.6","0.96 (0.93 to 0.99)","0.93 (0.89 to 0.97)","0.83 (0.77 to 0.89)","0.34 (0.26 to 0.44)"
"age.cat=>=65",80,56,3.2,"2.4 to 4","0.91 (0.85 to 0.98)","0.89 (0.82 to 0.96)","0.71 (0.61 to 0.82)","0.24 (0.15 to 0.38)"
"nmdptc_mut.bool=0",77,46,3.5,"2.8 to 4.4","0.93 (0.88 to 0.99)","0.87 (0.8 to 0.95)","0.70 (0.6 to 0.82)","0.28 (0.18 to 0.43)"
"nmdptc_mut.bool=1",171,101,3.7,"3.4 to 4.3","0.95 (0.91 to 0.98)","0.93 (0.9 to 0.97)","0.83 (0.77 to 0.89)","0.32 (0.24 to 0.42)"
"nmdfs_mut.bool=0",150,93,3.4,"3 to 4","0.93 (0.88 to 0.97)","0.88 (0.83 to 0.93)","0.74 (0.67 to 0.82)","0.28 (0.21 to 0.39)"
"nmdfs_mut.bool=1",98,54,4.1,"3.5 to 5","0.97 (0.94 to 1)","0.97 (0.94 to 1)","0.85 (0.78 to 0.93)","0.34 (0.24 to 0.48)"
"nmdns_mut.bool=0",108,63,3.3,"2.8 to 4.3","0.94 (0.9 to 0.99)","0.90 (0.85 to 0.96)","0.71 (0.63 to 0.81)","0.28 (0.19 to 0.41)"
"nmdns_mut.bool=1",140,84,3.8,"3.4 to 4.6","0.94 (0.9 to 0.98)","0.93 (0.88 to 0.97)","0.85 (0.79 to 0.92)","0.33 (0.25 to 0.44)"
