cytoband	Xq22.3	22q11.21	1q31.2	2q32.2	4q31.21	13q14.2	Xp11.22	5q33.1	5q21.1	
		PI4KA	RNA5SP70					UQCRQ		
		SEPT5	KIAA1614					RNA5SP192		
		PRODH	U6|ENSG00000272292.1					snoZ6|ENSG00000253067.1		
		RANBP1	MIR3121					HINT1		
		SLC7A4	LHX4					RNA5SP191		
		SLC25A1	RN7SL230P					RNU6ATAC10P		
		TBX1	IFRG15					KIAA1024L		
		CLDN5	RN7SL374P					MIR4633		
		HIRA	SNORA67|ENSG00000201619.1					ADRB2		
		UBE2L3	SNORA67|ENSG00000212338.1					ANXA6		
		UFD1L	TOR3A					ATOX1		
		ZNF74	SNORA63|ENSG00000201791.1					CAMK2A		
		DGCR6	RNA5SP69					CAMLG		
		LZTR1	C1orf220					CD14		
		CLTCL1	LINC00083					CD74		
		DGCR14	MIR488					CDC25C		
		CDC45	SCARNA3					CDX1		
		SNAP29	snoU13|ENSG00000238872.1					CSF1R		
		DGCR2	RNA5SP68					CSF2		
		TXNRD2	RNA5SP67					CSNK1A1		
		USP18	SNORD78|ENSG00000208317.1					CTNNA1		
		HIC2	GAS5					DIAPH1		
		TSSK2	RN7SKP160					DPYSL3		
		SDF2L1	snoU13|ENSG00000238430.1					SLC26A2		
		PPIL2	ANKRD45					HBEGF		
		IL17RA	snoU13|ENSG00000251817.1					EGR1		
		BCL2L13	TNFSF18					ETF1		
		TRMT2A	SNORD112|ENSG00000252354.1					FAT2		
		CECR6	DNM3OS					FBN2		
		CECR5	SCARNA20|ENSG00000253060.1					FGF1		
		CECR2	RN7SL425P					GDF9		
		YPEL1	snoU13|ENSG00000238859.1					GFRA3		
		ZDHHC8	RN7SL269P					GLRA1		
		MED15	RN7SL333P					GM2A		
		TUBA8	C1orf112					GPX3		
		CECR1	F5					NR3C1		
		DGCR8	RNA5SP66					HARS		
		GNB1L	LINC00970					HSPA9		
		MICAL3	LINC00626					NDST1		
		RTN4R	ANKRD36BP1					HTR4		
		C22orf29	SFT2D2					IK		
		THAP7	MIR1255B2					IL3		
		SLC25A18	snoU13|ENSG00000238325.1					IL4		
		TMEM191A	RNA5SP65					IL5		
		KLHL22	POGK					IL9		
		DGCR6L	MIR921					IL13		
		RIMBP3	RNA5SP64					IRF1		
		SCARF2	UCK2					LECT2		
		TUBA3FP	TMCO1					SMAD5		
		GAB4	SNORD112|ENSG00000252359.1					NDUFA2		
		C22orf39	U3|ENSG00000212538.1					NEUROG1		
		TANGO2	RNA5SP63					PCDH1		
		CCT8L2	RNA5SP62					PCDHGC3		
		XKR3	SNORD112|ENSG00000252740.1					PDE6A		
		AIFM3	RN7SL861P					PDGFRB		
		RIMBP3C	C1orf111					PFDN1		
		YDJC	MIR556					PITX1		
		CCDC116	RNA5SP61					POU4F3		
		PI4KAP2	MIR4654					PPP2R2B		
		MIR130B	RN7SL466P					RPS14		
		MIR185	RPL31P11					SLC6A7		
		RIMBP3B	FCGR2C					SLC12A2		
		MIR648	SDHC					SLC22A4		
		MIR649	MIR5187					SLC22A5		
		MIR301B	ADAMTS4					SPARC		
		MIR3618	ACA64|ENSG00000238934.1					SPINK1		
			F11R					SPOCK1		
			DCAF8					TAF7		
			KCNJ9					TCF7		
			SNORD64|ENSG00000212161.1					TCOF1		
			OR10J4					TGFBI		
			RNA5SP60					UBE2B		
			ABL2					UBE2D2		
			ADORA1					VDAC1		
			ALDH9A1					WNT8A		
			APCS					NME5		
			APOA2					PDLIM4		
			FASLG					EIF4EBP3		
			ASTN1					PCDHGB4		
			SERPINC1					CDC23		
			ATF3					HDAC3		
			ATP1A2					P4HA2		
			ATP1A4					MYOT		
			ATP1B1					NRG2		
			ATP2B4					CXCL14		
			C4BPA					H2AFY		
			C4BPB					RNF14		
			CACNA1E					PCDHGA8		
			CACNA1S					PCDHA9		
			CASQ1					MATR3		
			CD247					KIAA0141		
			CD34					JAKMIP2		
			CD48					DDX46		
			CENPF					SLC23A1		
			CHI3L1					GNPDA1		
			CHIT1					SRA1		
			COPA					RAD50		
			CR1					KIF20A		
			CR1L					G3BP1		
			CR2					APBB3		
			CRP					TNIP1		
			CSRP1					SEC24A		
			CTSE					BRD8		
			CD55					TCERG1		
			DHX9					HNRNPA0		
			DPT					SPINK5		
			EIF2D					KIF3A		
			ELF3					SYNPO		
			ELK4					ABLIM3		
			F13B					HMGXB3		
			FCER1A					ARHGAP26		
			FCER1G					FSTL4		
			FCGR2A					SEPT8		
			FCGR2B					ACSL6		
			FCGR3A					PHF15		
			FCGR3B					HARS2		
			FMO1					PCDHGA12		
			FMO2					LRRTM2		
			FMO3					CCDC69		
			FMO4					PCDHB5		
			FMOD					KLHL3		
			NR5A2					PKD2L2		
			DARC					AFF4		
			GLUL					IL17B		
			GPR25					SLC27A6		
			CFH					PCDHB1		
			CFHR1					ISOC1		
			CFHR2					SAR1B		
			MR1					DCTN4		
			HSD11B1					MZB1		
			HSPA6					PAIP2		
			IFI16					CDKL3		
			IL10					PCDH12		
			IRF6					FAM13B		
			KCNJ10					FAM53C		
			KCNK2					REEP2		
			KISS1					LARS		
			LAD1					CXXC5		
			LAMB3					RAPGEF6		
			LAMC1					KDM3B		
			LAMC2					RBM27		
			LMX1A					ZCCHC10		
			LY9					TMCO6		
			CD46					RBM22		
			MDM4					PCDHGC5		
			MGST3					PCDHGC4		
			MNDA					PCDHGB7		
			MPZ					PCDHGB6		
			MYBPH					PCDHGB3		
			MYOC					PCDHGB2		
			MYOG					PCDHGB1		
			PPP1R12B					PCDHGA11		
			NCF2					PCDHGA10		
			NDUFS2					PCDHGA9		
			NEK2					PCDHGA7		
			NHLH1					PCDHGA6		
			NIT1					PCDHGA5		
			DDR2					PCDHGA4		
			PBX1					PCDHGA3		
			CDK18					PCDHGA2		
			PDC					PCDHGA1		
			PFDN2					PCDHB15		
			PFKFB2					PCDHB14		
			PIGC					PCDHB13		
			PIGR					PCDHB12		
			PIK3C2B					PCDHB11		
			PKP1					PCDHB10		
			PLA2G4A					PCDHB8		
			PLXNA2					PCDHB7		
			PRRX1					PCDHB6		
			POU2F1					PCDHB4		
			PPOX					PCDHB3		
			PPP2R5A					PCDHB2		
			PRELP					PCDHAC2		
			PROX1					PCDHAC1		
			PTGS2					PCDHA13		
			QSOX1					PCDHA12		
			PTPN7					PCDHA11		
			PTPN14					PCDHA10		
			PTPRC					PCDHA8		
			PEX19					PCDHA7		
			RBBP5					PCDHA6		
			REN					PCDHA5		
			RGS1					PCDHA4		
			RGS2					PCDHA3		
			RGS4					PCDHA2		
			RGS13					PCDHA1		
			RGS16					NMUR2		
			RNASEL					C5orf15		
			RNF2					CDC42SE2		
			RNPEP					TRPC7		
			RXRG					PCDHB16		
			XCL1					HMHB1		
			SELE					SIL1		
			SELL					ARAP3		
			SELP					PCYOX1L		
			SLAMF1					TXNDC15		
			SOAT1					NDFIP1		
			UAP1					FBXO38		
			TROVE2					YIPF5		
			XCL2					TIGD6		
			CNTN2					SPRY4		
			TNNI1					SLC4A9		
			TNNT2					SLC25A2		
			TNR					PSD2		
			TPR					SPINK7		
			TRAF5					SMIM3		
			TNFSF4					FCHSD1		
			USF1					LYRM7		
			NPHS2					CDKN2AIPNL		
			BTG2					ZNF300		
			TAGLN2					MYOZ3		
			DYRK3					FNIP1		
			RGS5					SLC35A4		
			PPFIA4					SCGB3A2		
			BLZF1					PPARGC1B		
			VAMP4					AFAP1L1		
			PEA15					GRPEL2		
			B4GALT3					SOWAHA		
			B3GALT2					SHROOM1		
			CREG1					C5orf24		
			CD84					C5orf20		
			RAB7L1					SLC36A2		
			MPZL1					SLC25A48		
			ANGPTL1					ZMAT2		
			TBX19					PRELID2		
			DEDD					SH3RF2		
			XPR1					PLAC8L1		
			MAPKAPK2					ADAMTS19		
			GPR52					SPATA24		
			AIM2					DNAJC18		
			RASAL2					STK32A		
			SOX13					SLC36A1		
			PRDX6					RELL2		
			IKBKE					SLC36A3		
			KIAA0040					CHSY3		
			NOS1AP					ARSI		
			CEP350					IRGM		
			ZC3H11A					CATSPER3		
			SMG7					DND1		
			RABGAP1L					PROB1		
			TMCC2					C5orf46		
			FAM20B					ARHGEF37		
			LPGAT1					SPINK6		
			KIF14					ANKHD1		
			NR1I3					MIR143		
			ARPC5					MIR145		
			PRG4					SPINK14		
			GPA33					C5orf56		
			STX6					IGIP		
			TIMM17A					CTXN3		
			LRRN2					GRXCR2		
			SLC19A2					SPINK9		
			IVNS1ABP					CCNI2		
			KDM5B					MIR3936		
			CFHR4					MIR3661		
			CFHR3					MIR4460		
			OCLM					MIR5197		
			IL24					MIR5692C1		
			DUSP12							
			PLEKHA6							
			KIFAP3							
			ATF6							
			KIF21B							
			NMNAT2							
			NFASC							
			COLGALT2							
			RGL1							
			PRRC2C							
			CAMSAP2							
			NCSTN							
			CRB1							
			GPR161							
			ZNF281							
			PHLDA3							
			DSTYK							
			CCDC19							
			LMOD1							
			MPC2							
			INTS7							
			OLFML2B							
			NSL1							
			DNM3							
			TOR1AIP1							
			OPTC							
			OR10J1							
			RPS6KC1							
			USP21							
			DIEXF							
			CACYBP							
			KLHL20							
			FLVCR1							
			UBE2T							
			NME7							
			NENF							
			IL19							
			G0S2							
			DCAF8							
			F11R							
			GLRX2							
			ADIPOR1							
			IER5							
			UCHL5							
			SUCO							
			HSD17B7							
			UFC1							
			DTL							
			METTL13							
			CYB5R1							
			CD244							
			SWT1							
			LAX1							
			DUSP23							
			C1orf27							
			RALGPS2							
			DARS2							
			KLHDC8A							
			ETNK2							
			TMEM206							
			YOD1							
			BATF3							
			ITLN1							
			IPO9							
			HHAT							
			RCOR3							
			C1orf106							
			ADCY10							
			DCAF6							
			SLAMF8							
			SMYD2							
			LHX9							
			SCYL3							
			CAMK1G							
			VANGL2							
			IGSF9							
			FAM5B							
			CCDC181							
			SLAMF7							
			CADM3							
			KLHL12							
			LGR6							
			PAPPA2							
			TNN							
			MRPS14							
			RFWD2							
			RGS18							
			NUCKS1							
			C1orf116							
			CDC73							
			VASH2							
			MROH9							
			EDEM3							
			TRAF3IP3							
			NPL							
			OR6N2							
			CFHR5							
			C1orf21							
			PVRL4							
			SHCBP1L							
			TRMT1L							
			NUAK2							
			DDX59							
			NUF2							
			RASSF5							
			HMCN1							
			FCAMR							
			TEX35							
			TOMM40L							
			ACBD6							
			ZBTB37							
			LINC00467							
			FCRLA							
			PPP1R15B							
			MAEL							
			RGS8							
			SLC45A3							
			NAV1							
			SEC16B							
			SLAMF9							
			ANGEL2							
			IGFN1							
			CENPL							
			DUSP27							
			RCSD1							
			METTL18							
			GORAB							
			C1orf105							
			TMEM183A							
			PIGM							
			IGSF8							
			LEMD1							
			SLAMF6							
			SLC26A9							
			FMO9P							
			TSEN15							
			FAM129A							
			TADA1							
			SH2D1B							
			KLHDC9							
			AXDND1							
			ATP6V1G3							
			OR10J5							
			ZNF648							
			TEDDM1							
			ARL8A							
			SYT2							
			GOLT1A							
			UHMK1							
			FCRLB							
			OR6K6							
			OR6N1							
			TATDN3							
			NEK7							
			ITLN2							
			C1orf74							
			FAM163A							
			MFSD4							
			PM20D1							
			RC3H1							
			METTL11B							
			FAM78B							
			SHISA4							
			PYHIN1							
			C1orf227							
			FAM71A							
			DENND1B							
			TDRD5							
			TOR1AIP2							
			TMEM9							
			SLC41A1							
			SYT14							
			ARHGAP30							
			C1orf192							
			ASPM							
			TIPRL							
			SLC9C2							
			LINC00303							
			C1orf204							
			FAM5C							
			C1orf110							
			RD3							
			FCRL6							
			KCNT2							
			RGSL1							
			ZBTB41							
			ILDR2							
			FMO6P							
			LINC00272							
			C1orf53							
			TMEM81							
			OR6K3							
			VSIG8							
			C1orf226							
			C1ORF220							
			APOBEC4							
			MIR181B1							
			MIR199A2							
			MIR181A1							
			MIR214							
			C1orf132							
			RGS21							
			LRRC52							
			OR10J3							
			MIR135B							
			PCP4L1							
			MIR557							
			TSTD1							
			MIR1295A							
			MIR4424							
