cytoband	13q14.3	14q21.2	22q13.32	10q21.2	8p23.2	16q23.3	8q24.22	10q23.31	22q13.1	8p12	4q34.3	10p12.31	8p22	7q34	21q21.1	18q21.33	2q22.1	15q25.3	13q12.3	5p15.2	20p12.1	19p13.12	1q42.13	2q37.3	19p13.2	2p23.1	7q22.3	5p13.1	9p21.3	17p13.1	Xq28	7p22.1	9q22.33	
	LINC00378		CHKB			MIR5189	SNORA12|ENSG00000212342.1	LBX1	SHISA8		snoU13|ENSG00000238319.1					TNFRSF11A			LINC00544	CTNND2		PIK3R2		MIR4440	WDR83OS	DPY30	TMEM168	HMGB3P22	snoU13|ENSG00000238824.1	LINC00482	RN7SL742P	RN7SL811P	snoU13|ENSG00000238824.1	
	RNA5SP31		CPT1B			ZFPM1	SNORA25|ENSG00000200075.1	HUG1	MIR33A		U3|ENSG00000252048.1					PHLPP1			LINC00572	DAP		RNA5SP468		FAM132B	ZNF490	SRD5A2	IFRD1	RN7SL71P	SNORD62	MIR1250	RN7SL697P	SNORA26|ENSG00000212590.1	SNORD62	
	LINC00434		TYMP			ZNF469	CCDC26	KAZALD1	RNU6ATAC22P		FAM92A1P2					PIGN			LINC00297	DNAH5		SNORA68|ENSG00000207166.1		SNORD39|ENSG00000263723.1	ZNF709	EHD3	RN7SKP187	ZNF879	CLIC3	MIR657	LAGE3	snoU13|ENSG00000238557.1	CLIC3	
	RNY4P28		MAPK11			FLJ00104	RN7SKP206	MIR608	RBX1		RN7SKP67					CDH20			MTUS2	SEMA5A		RN7SL823P		RBM44	ZNF625	RNA5SP90	RNA5SP237	ZNF354B	C9orf141	MIR4730	SNORA70|ENSG00000207165.1	RNA5SP250	C9orf141	
	RN7SL375P		MAPK12			FBXO31	LINC00977	HIF1AN	snoU13|ENSG00000238887.1		RN7SKP13					ZCCHC2			RN7SL272P	MARCH6		RN7SL835P		COPS8	RNA5SP467	SNORA64|ENSG00000207187.1	snoU13|ENSG00000238922.1	AACSP1	MIR4479	CBX8	TEX28P1	FABP5P3	MIR4479	
	RNY4P29		SBF1			snoU13|ENSG00000239186.1	RN7SKP226	NDUFB8	MIR4766		LINC00290					KIAA1468			URAD	CCT5		F2RL3		RN7SL204P	ZNF788	RN7SL516P	FLJ00325	RN7SKP70	C9orf172	snoU13|ENSG00000239173.1	OPN1MW	snoU13|ENSG00000239045.1	C9orf172	
	RNA5SP30		PPP6R2			FENDRR	TMEM75	LINC00263	FAM83F		SNORD65|ENSG00000212191.1					CCBE1			CDX2	TAS2R1		TMEM38A		MSL3P1	RNA5SP466	ALK	U3|ENSG00000238297.1	RN7SL646P	MIR4292	ENGASE	TEX28P2	RN7SL76P	MIR4292	
	RN7SKP6		ZBED4			LINC00917	POU5F1B	BLOC1S2	RN7SKP210		RNA5SP173								LINC00543	ROPN1L		RN7SL146P		DNAJB3	ZNF844	LTBP1	snoU109|ENSG00000238832.1	RN7SL562P	LCN10	DDC8	NAA10	MIR3907	LCN10	
	snoU13|ENSG00000238455.1		SCO2			GINS2	CASC8	SNORA12|ENSG00000212464.1	SNORD43|ENSG00000263764.1		snoU13|ENSG00000252388.1								GSX1			RN7SL844P		UGT1A3	RNA5SP465	SPAST	CAV1	EIF4E1B	LCN6	RN7SL454P	LCA10	MIR671	LCN6	
	LINC00458		RABL2B			RN7SL381P	CCAT1	ERLIN1	SNORD83A		RNA5SP172								RNY1P1			RAB8A		SCARNA6|ENSG00000251791.1	RNA5SP464	XDH	CAV2	MIR4281	SNHG7	SNORA30|ENSG00000200063.1	SNORD36|ENSG00000251846.1	IQCA1P1	SNHG7	
	LINC00558		MLC1			LINC00311	PCAT2	snoU13|ENSG00000238472.1	SNORD83B		RN7SKP136								SNORA27|ENSG00000207051.1			LINC00661		SCARNA5	ZNF763	MEMO1	CFTR	RN7SL684P	FAM69B	RN7SL236P	RN7SL687P	CDK5	FAM69B	
	RN7SL618P		MAPK8IP2			TLDC1	PCAT1	COX15	APOBEC3F		SNORA51|ENSG00000201516.1								SNORD102			UCA1		RN7SL32P	ZNF833P	YPEL5	DLD	MIR1271	MIR126	FLJ45079	RN7SL667P	SSPO	MIR126	
	SUGT1		PLXNB2			RNA5SP433	LINC00861	ENTPD7	APOBEC3C		SCRG1								LINC00415			CYP4F24P		snoU13|ENSG00000239170.1	RN7SL833P	TTC27	SLC26A3	ARL10	U3|ENSG00000252440.1	LINC00338	snoU13|ENSG00000239037.1	SNORD112|ENSG00000252557.1	U3|ENSG00000252440.1	
	LINC00345		BRD1			KCNG4	RN7SL590P	snoU13|ENSG00000238588.1	FAM227A		HMGB2								RNY1P3			CYP4F8		RN7SL359P	RN7SL669P	SLC30A6	GPR22	RN7SKP148	MIR4673	LINC00868	PNMA6B	RN7SL521P	MIR4673	
	RNY4P24		FAM19A5			RNA5SP432	RN7SL329P	HPSE2	RN7SL704P		MIR548T								RN7SL741P			CYP4F23P		CHRND	snoU13|ENSG00000238349.1	BIRC6	LAMB1	snoU13|ENSG00000239026.1	DNLZ	MIR636	PNMA6D	RNY1	DNLZ	
	RN7SL413P		NCAPH2			MIR3182	LINC00964	MIR4685	snoU13|ENSG00000238569.1		RN7SL253P								RN7SL289P			OR7A5		ECEL1P2	DKFZP761J1410	NLRC4	DNAJB9	NSG2	DKFZP434A062	SNORD1B	PNMA6A	RNY3	DKFZP434A062	
	RNY1P6		MOV10L1			RN7SL134P	RNF139	MIR1287	NOL12		RNU6ATAC13P								PABPC3			RN7SL842P		MIR562	CCDC159	GALNT14	MET	RNA5SP200	MIR4669	SNHG16	RN7SL190P	RNY4	MIR4669	
	RN7SL320P		MIOX			snoU13|ENSG00000238321.1	TMEM65	GOLGA7B	RN7SL385P		HSP90AA6P								LSP1|ENSG00000269099.1			RN7SL337P		NPPC	RN7SL298P	CLIP4	NRCAM	SNORA74B	RXRA	PRCD	CETN2	RNY5	RXRA	
	RPS4XP16		PANX2			RN7SKP190	RN7SKP155	LINC00866	RN7SKP214		RNY4P17								TPTE2P1			RN7SL231P		MGC4771	SPC24	LBH	SLC26A4	ATP6V0E1	RNU6ATAC	snoU13|ENSG00000238418.1	CSAG2	RN7SL569P	RNU6ATAC	
	LINC00371		CRELD2			7SK|ENSG00000260682.2	snoU13|ENSG00000238422.1	PI4K2A	snoU13|ENSG00000239056.1		AGA								RNY1P7			LPHN1		RN7SL499P	RN7SL192P	CAPN13	PPP1R3A	MIR5003	LINC00094	MYO15B	CSAG4	RN7SL72P	LINC00094	
	RNA5SP29		ADM2			MIR4720	U3|ENSG00000221461.1	EXOSC1	CACNG2		SLC25A4								TPTE2P6			SAMD1		SNORD82	TMED1	LCLAT1	PRKAR2B	SNORA57|ENSG00000212529.1	FAM163B	RN7SL573P	MAGEA2B	U3|ENSG00000199370.1	FAM163B	
	RNA5SP28		TRABD			GAN	RNY4P5	RNA5SP324	RN7SL349P		CASP3								LINC00566			RLN3		SNORD20	MIR4748	CAPN14	WNT2	C5orf50	SNORD36C	MIR3615	CSAG3	RN7SL456P	SNORD36C	
	DLEU7		HDAC10			PKD1L2	snoU13|ENSG00000238901.1	ZNF518A	APOL4		CLCN3								MIR2276			NANOS3		SNORA75|ENSG00000206885.1	MIR638		ST7	SNORA70|ENSG00000206909.1	SNORD36A	CD300LD	GABRQ	RNA5SP249	SNORD36A	
	RNY4P9		SHANK3			CMC2	HAS2	CYP2C19	MIR3909		DCTD								ANKRD20A19P			RN7SL619P		NCL	MIR1238		DOCK4	RN7SL339P	SNORD36B	GPRC5C	MIR452	RN7SL207P	SNORD36B	
	RNY4P30		TUBGCP6			RNA5SP431	RNA5SP277	RNY4P26	SNORA76|ENSG00000253007.2		ACSL1								LINC00352			C19orf53		MIR4777	MIR1181		COG5	snoU13|ENSG00000252387.1	SNORD24	RNA5SP448	MIR224	RN7SKP174	SNORD24	
	RNY3P2		LMF2			PIH1	RN7SL396P	PIPSL	MIR4764		GPM6A								LINC00327			SYCE2		RN7SL834P	S1PR2		DUS4L	RN7SL623P	ABO	LINC00469	U3|ENSG00000253009.1	RNU6ATAC40P	ABO	
	LINC00462		KLHDC7B			AFG3L1P	RN7SKP153	RNA5SP323	ACO2		HPGD								LINC00362			BST2		RNY4P19	SNORD105B		ZNF277	MIR4454	snoU13|ENSG00000238657.1	SSTR2	LINC00894	OR2A9P	snoU13|ENSG00000238657.1	
	LINC00441		C22orf34			APRT	SNORA32|ENSG00000206776.1	HHEX	ADSL		ING2								RNY3P4			CACNA1A		RN7SKP283	SNORD105		TFEC	KCNMB1	CELP	SCARNA24|ENSG00000252274.1	LINC00893	OR2A20P	CELP	
	LINC00562		IL17REL			C16orf3	COLEC10	RN7SL644P	ATF4		IRF2								LINC00621			CALR		SNORD112|ENSG00000251801.1	RN7SL94P		LAMB4	LCP2	GTF3C4	RN7SKP180	RN7SKP267	CTAGE15	GTF3C4	
	LINC00444		PIM3			CA5A	EXT1	SNORA25|ENSG00000252993.1	BIK		NEK1								SNORD36|ENSG00000253094.1			CD97		SNORA25|ENSG00000272237.1	SNORA70|ENSG00000200237.1		TES	C5orf58	SNORA67|ENSG00000212395.1	LINC00511	CXorf51A	RN7SL481P	SNORA67|ENSG00000212395.1	
	RN7SL700P		ODF3B			CBFA2T3	SNORA31|ENSG00000252852.1	LINC00502	TSPO		VEGFC								LINC00424			COMP		RNA5SP121	ZNF177		HBP1	MIR378E	RN7SL328P	MAP2K6	CXorf51B	RN7SL535P	RN7SL328P	
	ATP7B		SYCE3			CDH13	RN7SL826P	RN7SKP143	MPPED1		GLRA3								RN7SL766P			NCAN		SNORA48|ENSG00000212391.1	ZNF699		MDFIC	MIR585	SNORD62B	SNORA40|ENSG00000252352.1	RNA5SP517	OR6W1P	SNORD62B	
	RCBTB2		MIR3201			CDH15	RN7SL228P	LINC00865	CSF2RB		SORBS2								snoU13|ENSG00000238878.1			NR2F6		MIR4439	OR7E19P		PNPLA8	MIR103A1	SNORD62A	FAM20A	SPANXN1	TRBV30	SNORD62A	
	ESD		MIR3667			COX4I1	AARD	MIR107	CSNK1E		SAP30								ZDHHC20			FARSA		RN7SL807P	RPS28		GPR85	PANK3	PRRC2B	MIR635	RN7SKP189	TRBC2	PRRC2B	
	MLNR		MIR4535			CYBA	EIF3H	IFIT1	CYP2D7P1		HAND2								RNA5SP25			GDF1		ACSL3	NDUFA7		LRRN3	FBLL1	SNORA31|ENSG00000252582.1	ARSG	RN7SKP149	PRSS3P2	SNORA31|ENSG00000252582.1	
	GUCY1B2					DPEP1	RNA5SP276	snoU13|ENSG00000238991.1	CYP2D6		MFAP3L								MIPEPP3			DNAJB1		snoU13|ENSG00000238852.1	RN7SL115P		BCAP29	SNORA40|ENSG00000253065.1	snoU13|ENSG00000238298.1	LRRC37A16P	RN7SKP81	TRBV28	snoU13|ENSG00000238298.1	
	HTR2A					FANCA	LINC00536	ANKRD22	CYB5R3		ADAM29								ESRRAP2			IL12RB1		SGPP2	RNA5SP463		CBLL1	RN7SKP60	RN7SL665P	LINC00674	snoU13|ENSG00000239188.1	TRBV27	RN7SL665P	
	KPNA3					FOXF1	snoU13|ENSG00000238656.1	SNORD74|ENSG00000200891.1	EP300		PALLD								RN7SL80P			INSL3		RN7SKP213	C19orf59		IMMP2L	NUDCD2	HMCN2	RN7SL622P	RNA5SP516	TRBV19	HMCN2	
	NEK3					FOXL1	SNORD112|ENSG00000252559.1	PTEN	XRCC6		FBXO8								SNORD27|ENSG00000252128.1			JAK3		RN7SL764P	PET100		CTTNBP2	MIR3142	ASB6	SNORA38B	SPANXD	TRBV9	ASB6	
	PCDH8					FOXC2	TMEM74	RN7SL78P	MCHR1		AADAT								snoU13|ENSG00000238893.1			JUND		MIR3131	EMR4P		FOXP2	RN7SL295P	LINC00963	MIR548D2	SPANXA2	TRBV2	LINC00963	
	PCDH9					GALNS	RNA5SP275	CFL1P1	H1F0		GALNT7								HNRNPA1P30			CYP4F3		LINC00608	MIR3940		ASZ1	ADRA1B	RN7SL159P	RN7SL756P	SPANXA1	PRSS3P3	RN7SL159P	
	RB1					GAS8	snoU13|ENSG00000238687.1	LINC00864	HMOX1		CLDN22								MIR4499			LYL1		U3|ENSG00000252805.1	ACER1		C7orf60	RNU4ATAC2P	C9orf106	snoU13|ENSG00000238612.1	RN7SL727P	MOXD2P	C9orf106	
	SUCLA2					GCSH	RIMS2	LINC00863	IL2RB		C4orf27								PARP4			MYO9B		RN7SKP38	MLLT1		C7orf66	SNORA68|ENSG00000252458.1	snoU13|ENSG00000239055.1	PSMD12	MIR505	OR9A1P	snoU13|ENSG00000239055.1	
	ITM2B					HSBP1	MIR3151	RN7SL733P	KCNJ4		NEIL3								ALOX5AP			NDUFB7		VIL1	CAPS		THAP5	LSM11	RN7SL560P	SNORA8|ENSG00000207410.1	SNORA18|ENSG00000252719.1	OR9A3P	RN7SL560P	
	UTP14C					HSD17B2	RNU6ATAC8P	AGAP11	LGALS1		CDKN2AIP								ATP12A			NFIX		MIR26B	VMAC		LSMEM1	THG1L	HMGA1P4	RNA5SP447	RNU6ATAC23P	AGK	HMGA1P4	
	LPAR6					IRF8	snoU13|ENSG00000238533.1	BMPR1A	LGALS2		TENM3								BRCA2			NOTCH3		snoU13|ENSG00000238736.1	RN7SL626P			RNA5SP199	URM1	RNA5SP446	snoU13|ENSG00000238485.1	U6|ENSG00000271932.1	URM1	
	TRIM13					MAF	snoU13|ENSG00000238372.1	U3|ENSG00000252189.1	MB		LRP2BP								CDK8			PDE4C		snoU13|ENSG00000238428.1	MIR4747			RN7SL439P	MIR4672	MIR634	MIR504	RN7SL771P	MIR4672	
	DLEU1					MC1R	RN7SL563P	MIR346	MCM5		STOX2								FGF9			PIK3R2		CXCR2P1	UHRF1			RN7SL655P	RNA5SP296	RNA5SP445	RN7SKP31	RNA5SP248	RNA5SP296	
	OLFM4					MVD	NACAP1	RNA5SP322	MFNG		KIAA1430								FLT1			PRKACA		DIRC3	RN7SL121P			MIR1294	SNORA65	RN7SL735P	RN7SL325P	snoU13|ENSG00000238868.1	SNORA65	
	LECT1					CHMP1A	RN7SKP249	RN7SKP238	MGAT3		SH3RF1								FLT3			PKN1		RN7SKP43	LRG1			RN7SL177P	SNORD116|ENSG00000252985.1	RNA5SP444	SNORD61|ENSG00000206979.1	RNA5SP247	SNORD116|ENSG00000252985.1	
	FNDC3A					PLCG2	RN7SL685P	RN7SKP84	MPST		SPCS3								GPR12			PTGER1		RNA5SP120	HDGFRP2			RNA5SP198	NRON	SLC16A6P1	MIR934	KLRG2	NRON	
	LRCH1					RPL13	RNU6ATAC41P	LINC00858	MYH9		TRAPPC11								GTF3A			RAB3A		RPL37A	RN7SL528P			RN7SKP232	RN7SL30P	RN7SL404P	snoU13|ENSG00000239080.1	LUC7L2	RN7SL30P	
	INTS6					SPG7	MIR1273A	RGR	NAGA		MLF1IP								HMGB1			RAD23A		MREG	RN7SL84P			RNA5SP197	MIR181A2HG	RN7SL409P	RNA5SP515	SNORA40|ENSG00000252188.1	MIR181A2HG	
	CKAP2					SLC7A5	SNORD77|ENSG00000212414.1	LINC00857	NCF4		WWC2								PDX1			UPF1		LINC00607	PIAS4			ZNF300P1	RN7SL302P	PLEKHM1P	LINC00086	snoU13|ENSG00000239123.1	RN7SL302P	
	PCDH17					CDK10	RN7SL350P	PLAC9	NDUFA6		CEP44								MIPEP			RFX1		snoU13|ENSG00000238663.1	SNORD37|ENSG00000206775.1			snoU13|ENSG00000239191.1	MIR601	SMURF2	LINC00633	SNORA51|ENSG00000201465.1	MIR601	
	MED4					MBTPS1	RN7SKP85	MBL1P	NHP2L1		SNX25								UBL3			RPL18A		SNORA70|ENSG00000207274.1	MIR637			snoU13|ENSG00000238369.1	GPR21	MIR5047	LINC00087	snoU13|ENSG00000238984.1	GPR21	
	VPS36					TAF1C	KCNS2	NUTM2E	PDGFB		CBR4								RNF6			SLC1A6		VWC2L	RN7SL202P			MIR378A	SNORD90	MIR3064	SMIM10	snoU13|ENSG00000239145.1	SNORD90	
	PHF11					USP10	NIPAL2	NUTM2B	PMM1		WDR17								RPL21			SLC5A5		MIR4438	SNORD38|ENSG00000252408.1			RN7SL868P	RN7SL227P	SNORD104	LINC00629	RN7SKP223	RN7SL227P	
	RCBTB1					VPS9D1	SNORA72|ENSG00000207067.1	SFTPA1	POLR2F		SPATA4								SGCG			TPM4		MIR548F2	FZR1			U3|ENSG00000221043.1	RBM18	SNORA76|ENSG00000266402.2	GPC4	SNORD81|ENSG00000202023.1	RBM18	
	NUDT15					KIAA0513	LAPTM4B	SNORA71|ENSG00000201393.1	PVALB		ENPP6								SLC7A1			UBA52		RNA5SP119	RN7SL866P			MIR143HG	RN7SL187P	TCAM1P	SNORA8|ENSG00000207100.1	snoU13|ENSG00000238488.1	RN7SL187P	
	THSD1					PIEZO1	U3|ENSG00000207215.1	LINC00595	RAC2		ASB5								IFT88			ELL		AAMP	GNA11			RN7SKP145	GGTA1P	RN7SL805P	RNA5SP514	LUZP6	GGTA1P	
	CYSLTR2					ATP2C2	PTDSS1	LINC00856	RANGAP1		RWDD4								MTMR6			CYP4F2		AGXT	ZNF554			MIR584	RN7SL181P	ACE	RN7SL191P	C7orf73	RN7SL181P	
	SPRYD7					CLEC3A	snoU13|ENSG00000238791.1	RN7SL284P	RPL3		CCDC111								NUPL1			RFXANK		ALPI	SPPL2B			SH3TC2	RN7SKP125	TLK2	FAM45B	U6|ENSG00000272393.1	RN7SKP125	
	PCDH20					MPHOSPH6	FSBP	RNA5SP321	SOX10		CCDC110								FRY			STX10		ALPP	LINGO3			SPINK13	RN7SKP128	TBC1D3P2	RNA5SP513	SNORD46|ENSG00000201009.1	RN7SKP128	
	RNASEH2B					EMC8	RNA5SP274	SNORA31|ENSG00000252888.1	SREBF2		ANKRD37								USPL1			AP1M1		ALPPL2	MIR4321			RN7SL791P	SNORA70C	RN7SL800P	DCAF12L2	MIR29B1	SNORA70C	
	DHRS12					TUBB3	LINC00535	RN7SL518P	SSTR3		HELT								SAP18			CRLF1		ATIC	MIR1227			RNA5SP196	LINC00474	BRIP1	snoU13|ENSG00000238626.1	MIR29A	LINC00474	
	TDRD3					PRDM7	RN7SKP231	MIR606	ST13		C4orf47								GJB6			MED26		KIF1A	RN7SL226P			GPR151	TNFSF8	snoU13|ENSG00000238799.1	SNORA40|ENSG00000252693.1	RNA5SP246	TNFSF8	
	CDADC1					TCF25	snoU13|ENSG00000239134.1	AP3M1	TCF20		GALNTL6								HSPH1			HOMER3		BARD1	MIR1909			RN7SKP246	ATP6V1G1	RN7SL448P	snoU13|ENSG00000239058.1	COPG2	ATP6V1G1	
	CAB39L					ZCCHC14	MIR4661	RMRPP1	TEF		CLDN24								WASF3			IL27RA		BCS1L	ONECUT3			KCTD16	snoU13|ENSG00000238530.1	RN7SL606P	RN7SL29P	MIR335	snoU13|ENSG00000238530.1	
	DIAPH3					GSE1	RN7SL777P	GLUD1P3	TST		MIR1305								SACS			GDF15		BOK	UQCR11			RN7SL87P	MIR455	PPM1D	U3|ENSG00000212321.1	snoU13|ENSG00000239044.1	MIR455	
	CCDC70					ATMIN	RNA5SP273	BMS1P4	PLA2G6		MIR4276								LATS2			TECR		CHRNG	RN7SL477P			RN7SL68P	COL27A1	RPL12P38	CT47A12	snoU13|ENSG00000238336.1	COL27A1	
	SETDB2					COTL1	LINC00534	RNA5SP320	GALR3		MIR3945								POLR1D			IER2		COL4A3	NDUFS7			PCDHGB8P	FKBP15	SCARNA20|ENSG00000252577.1	MCTS1	RNA5SP245	FKBP15	
	EBPL					MLYCD	RNA5SP272	snoU13|ENSG00000238983.1	APOL1		MIR4455								CRYL1			SUGP2		COL4A4	C19orf24			PCDHB18	FAM225A	USP32	snoU13|ENSG00000272179.1	RNA5SP244	FAM225A	
	ARL11					CPNE7	MMP16	DNAJC9	EIF3D										POMP			DDX39A		COL6A3	POLR2E			PCDHB17	FAM225B	MIR4729	RHOXF2B	TSPAN33	FAM225B	
	WDFY2					IL17C	REXO1L10P|ENSG00000255940.1	FAM149B1	CACNA1I										ATP8A2			AKAP8		CRYBA2	ARID3A			PCDHA14	ZNF883	PRR11	NDUFA1	snoU13|ENSG00000238733.1	ZNF883	
	PRR20A					ANKRD11	REXO1L11P	SNORA11|ENSG00000221164.1	SYNGR1										IL17D			B3GNT3		CYP27A1	CFD			WDR55	INIP	MIR301A	SNORA69|ENSG00000206622.1	RN7SL306P	INIP	
	HNRNPA1L2					OSGIN1	REXO1L10P|ENSG00000270416.1	MIR4676	GRAP2										TNFRSF19			KLF2		DES	MIR4745			MIR3655	C9orf147	MIR454	MIR766	KCP	C9orf147	
	FAM124A					TRAPPC2L	snoU13|ENSG00000238566.1	SNORA36|ENSG00000200294.1	PICK1										CENPJ			IFI30		DTYMK	RNA5SP462			SNORA27|ENSG00000200235.1	RN7SL430P	RN7SL716P	RN7SL118P	RN7SL81P	RN7SL430P	
	KCNRG					WWOX	SLC10A5	ASCC1	GTPBP1										RNF17			CHERP		EPHA4	OR4F17			SNORD45|ENSG00000200051.1	RNA5SP295	PPM1E	SNORA35|ENSG00000239182.1	CALU	RNA5SP295	
	NEK5					BCMO1	IMPA1P	snoU13|ENSG00000238918.1	APOBEC3B										XPO4			CERS1		ERBB4	FAM138F			CYSTM1	RN7SL57P	U3|ENSG00000212195.1	MIR1277	RNA5SP243	RN7SL57P	
	DLEU2					NECAB2	RN7SL308P	NODAL	JOSD1										MRP63			GIPC1		FN1	WASH5P			PURA	MIR4668	DYNLL2	RN7SL712P	RNA5SP242	MIR4668	
	ALG11					KLHDC4	RN7SL107P	NPFFR1	HMGXB4										KATNAL1			ILVBL		GBX2	ACP5			TMEM173	UGCG	SRSF1	SNORA64|ENSG00000252441.1	MIR593	UGCG	
	SERPINE3					DEF8	SNORA20|ENSG00000206649.1	NEUROG3	TOM1										MEDAG			COPE		GPC1	AES			ECSCR	LRRC37A5P	VEZF1	SNORA35|ENSG00000271907.1	MIR592	LRRC37A5P	
	PRR20B					BANP	RN7SL41P	RN7SL373P	DNAL4										RXFP2			UNC13A		GPR35	AMH			RN7SKP64	RNA5SP294	MRPS23	MIR448	GPR37	RNA5SP294	
	PRR20C					ZDHHC7	snoU13|ENSG00000238595.1	SNORD98	TAB1										TEX26			MAST3		HDLBP	ASNA1			RNA5SP195	RNY4P18	RN7SKP94	MIR1911	AASS	RNY4P18	
	PRR20D					CENPN	CASC9	snoU13|ENSG00000251926.1	SLC25A17										B3GALTL			FCHO1		AGFG1	ATP5D			SNORA74A	FRRS1L	RN7SL449P	SNORA35|ENSG00000208839.1	RN7SKP277	FRRS1L	
	PRR20E					JPH3	RNA5SP271	SLC25A16	DDX17										AMER2			SIN3B		DNAJB2	AZU1			SNORA74|ENSG00000252213.1	MIR32	RN7SL437P	SNORD30	RNA5SP241	MIR32	
	MIR759					VAT1L	U8|ENSG00000200191.1	LINC00849	TOB2										USP12			CRTC1		HTR2B	HCN2			RNA5SP194	ACTL7B	RNF126P1	RN7SL93P	RNA5SP240	ACTL7B	
	MIR3169					WFDC1	RN7SL19P	RNA5SP319	KDELR3										MTIF3			MAU2		SP110	BSG			RN7SL867P	RNA5SP293	RN7SKP14	U3|ENSG00000201674.1	U1|ENSG00000271739.1	RNA5SP293	
