cytoband	14q13.3	1q21.3	8q24.21	5p15.33	20q13.33	12p12.1	12q15	19q12	12q14.1	Xq28	3q26.2	11q13.3	8p11.21	7p11.2	17q23.1	7q31.2	17q12	6p21.1	22q11.22	18q11.2	5p13.1	13q33.3	1p34.3	4q12	10p15.1	20p11.21	16p11.2	7p21.1	5q35.1	
					SAMD10														ZNF280A		OXCT1	METTL21EP	RIMS3	SRD5A3		THBD	PPP4C	ZNF815P	C5orf50	
					ABHD16B														ZNF280B		PRKAA1	RNY5P8	ZMPSTE24	FIP1L1		CST7	MAPK3	MIR589	SNORA70|ENSG00000206909.1	
					C20orf201														MIR650		PRLR	LINC00283	PPIE	HOPX		TM9SF4	PRSS8	snoU13|ENSG00000238394.1	RN7SL339P	
					LINC00176														IGLL5		PTGER4	CCDC168	PPIH	AASDH		GINS1	SPN	ZNF890P	snoU13|ENSG00000252387.1	
																					RAD1	snoU13|ENSG00000238869.1	CAP1	PDCL2		CST8	STX4	RNF216P1	RN7SL623P	
																					SEPP1	LINC00555	EBNA1BP2	THEGL		CD93	SULT1A3	AP5Z1	MIR4454	
																					SKP2	MIR4705	FOXJ3			TPX2	TBX6	snoU13|ENSG00000238781.1	KCNMB1	
																					SLC1A3	RNY1P2	SCMH1			NINL	DOC2A	RN7SKP130	LCP2	
																					ZNF131	MIR2681	SZT2			ABHD12	HIRIP3	snoU13|ENSG00000238857.1	C5orf58	
																					OSMR	FGF14	MACF1			ZNF337	TAOK2	MIR4648	MIR378E	
																					NUP155	LINC00411	HEYL			REM1	ZNF646	GRIFIN	MIR585	
																					PAIP1	GGACT	ZNF691			NXT1	SETD1A	MIR4655	MIR103A1	
																					MRPS30	LINC00554	HPCAL4			VSX1	RNF40	ELFN1	PANK3	
																					NNT	snoU13|ENSG00000238305.1	TRIT1			APMAP	MVP	UNCX	FBLL1	
																					TTC33	SNORA25|ENSG00000201245.1	RHBDL2			NAPB	BCKDK	MIR339	SNORA40|ENSG00000253065.1	
																					AMACR	MIR4306	HIVEP3			GZF1	CD2BP2	COX19	BNIP1	
																					NIPBL	RNY3P6	OXCT2			SYNDIG1	CDIPT	FAM20C	CANX	
																					RAI14	LINC00449	LEPRE1			HM13	SRCAP	ACTB	CLTB	
																					FBXO4	MIR623	SMAP2			PDRG1	CORO1A	AHR	DBN1	
																					SLC45A2	RN7SKP9	EXO5			ACSS1	SEPHS2	DGKB	DOCK2	
																					RXFP3	RN7SL60P	ELOVL1			COX4I2	ZNF629	DFNA5	DRD1	
																					C5orf28	RN7SKP8	ZFP69B			MYLK2	TBC1D10B	ETV1	DUSP1	
																					AGXT2	snoU13|ENSG00000238407.1	C1orf50			GGTLC1	SEZ6L2	GNA12	F12	
																					C5orf42	RAP2A	AKIRIN1			DEFB118	PYCARD	GPER	FGFR4	
																					PARP8	RNA5SP37	PPCS			CSTL1	MYLPF	HNRNPA2B1	FOXI1	
																					SPEF2	snoU13|ENSG00000238522.1	GJA9			CST9L	ZNF771	ICA1	FLT4	
																					ADAMTS12	SNORD112|ENSG00000252154.1	HYI			CST9	FBXL19	IL6	GABRP	
																					CARD6	RN7SKP7	ZMYND12			DUSP15	FBRS	ITGB8	GRK6	
																					EMB	LINC00359	NT5C1A			CCM2L	PRR14	LFNG	GRM6	
																					MROH2B	RN7SL164P	MFSD2A			NANP	VKORC1	MEOX2	HK3	
																					EGFLAM	HS6ST3	MED8			CST11	SLX1B	NUDT1	HNRNPAB	
																					NADK2	snR65|ENSG00000251901.1	ERMAP			TTLL9	DCTPP1	NDUFA4	HNRNPH1	
																					UGT3A1	RNY4P27	TMCO2			LINC00656	ZNF768	NPY	HRH2	
																					CAPSL	RNY3P8	ZNF684			DEFB115	ZNF668	PDGFA	LTC4S	
																					DNAJC21	snoU13|ENSG00000238463.1	TMEM125			DEFB116	HSD3B7	PMS2	MGAT1	
																					TTC23L	LINC00557	CLDN19			DEFB119	YPEL3	PRKAR1B	MSX2	
																					UGT3A2	LINC00391	WDR65			DEFB121	FAM57B	RAC1	NPM1	
																					NIM1	RN7SL585P	C1orf210			DEFB123	KAT8	FSCN1	MAPK9	
																					RANBP3L	RNA5SP36	CITED4			DEFB124	C16orf93	SP4	PROP1	
																					RICTOR	RNA5SP35	SLFNL1			FAM182A	ZNF764	TWIST1	RARS	
																					C5orf51	SNORD22	RIMKLA			FRG1B	ORAI3	ZNF12	SLC34A1	
																					PLCXD3	MIR548AS	ZFP69			MIR663A	PRRT2	AIMP2	SLIT3	
																					C5orf34	RNU4ATAC3P	CCDC23			MIR3193	STX1B	MAFK	SNCB	
																					MIR580	LINC00379	FAM183A				ZNF689	MAD1L1	STK10	
																					CCDC152	LINC00410	KIAA0754				TMEM219	EIF3B	ZNF354A	
																					MIR3650	RNA5SP34	CCDC30				C16orf92	DNAH11	STC2	
																						LINC00559	FOXO6				ZNF785	CYTH3	FGF18	
																						SNORD38|ENSG00000200733.1					ZNF688	NFE2L3	SQSTM1	
																						LINC00353					PRSS36	PHF14	PDLIM7	
																						LINC00440					ZNF48	HDAC9	ADAMTS2	
																						LINC00560					KCTD13	RAPGEF5	MAML1	
																						LINC00433					ASPHD1	ARL4A	GFPT2	
																						ATP4B					C16orf54	GPNMB	GNB2L1	
																						COL4A1					INO80E	AGR2	RGS14	
																						COL4A2					PRSS53	IGF2BP3	CPLX2	
																						DCT					SULT1A4	KDELR2	BTNL3	
																						GPR183					TRIM72	ADAP1	LMAN2	
																						EFNB2					SLX1A	NUPL2	MGAT4B	
																						ERCC5					BOLA2	CBX3	B4GALT7	
																						F7					ZG16	SNX13	RNF44	
																						F10					BOLA2B	IQCE	TBC1D9B	
																						GPC5					MIR762	SUN1	N4BP3	
																						GAS6					C16orf98	SOSTDC1	FAF2	
																						GPR18						OSBPL3	WWC1	
																						ING1						WIPI2	FBXW11	
																						IPO5						INTS1	ZNF346	
																						LAMP1						TSPAN13	TSPAN17	
																						LIG4						EIF2AK1	OR4F3	
																						PCCA						BZW2	OR2V1	
																						DNAJC3						SNX8	PRELID1	
																						SLC10A2						SNX10	TLX3	
																						SLC15A1						TRA2A	KCNIP1	
																						SOX1						FTSJ2	ZNF354C	
																						TFDP1						NXPH1	RPL26L1	
																						TPP2						GET4	C5orf45	
																						ZIC2						CCZ1	DDX41	
																						STK24						MPP6	NOP16	
																						CUL4A						MIOS	UIMC1	
																						IRS2						RNF216	RAB24	
																						PROZ						TOMM7	NEURL1B	
																						ARHGEF7						ZNF853	FAM193B	
																						CDC16						CYP2W1	TMED9	
																						CLDN10						HEATR2	CDHR2	
																						ITGBL1						ZDHHC4	SPDL1	
																						TM9SF2						CHST12	NHP2	
																						GPC6						CDCA7L	RNF130	
																						MBNL2						RADIL	KIAA1191	
																						FARP1						KLHL7	ERGIC1	
																						ABCC4						STK31	CLK4	
																						TUBGCP3						PAPOLB	TENM2	
																						TNFSF13B						C1GALT1	CNOT6	
																						SOX21						ANKMY2	NSD1	
																						RASA3						RBAK	RMND5B	
																						DZIP1						NPVF	RANBP17	
																						MYO16						C7orf26	BTNL8	
																						ATP11A						MICALL2	DOK3	
																						MCF2L						FBXL18	ZFP2	
																						DOCK9						TTYH3	RUFY1	
																						TGDS						USP42	CPEB4	
																						OXGR1						PSMG3	PRR7	
																						BIVM						C7orf50	TRIM7	
																						TMCO3						CARD11	MXD3	
																						ANKRD10						TNRC18	THOC3	
																						RAB20						FAM126A	PHYKPL	
																						CARKD						FAM220A	UNC5A	
																						UGGT2						SCIN	TRIM41	
																						PCID2						ZFAND2A	BOD1	
																						UPF3A						CCDC126	COL23A1	
																						KDELC1						GLCCI1	UBTD2	
																						CARS2						GPR146	SCGB3A1	
																						GRTP1						C7orf31	SFXN1	
																						TMTC4						AMZ1	GPRIN1	
																						ABHD13						AGR3	C5orf47	
																						ZIC5						TMEM184A	OR2Y1	
																						TEX30						VWDE	CREBRF	
																						ADPRHL1						PRPS1L1	BTNL9	
																						TEX29						TWISTNB	HIGD2A	
																						SPACA7						BRAT1	FAM153B	
																						RNF113B						SDK1	RASGEF1C	
																						GPR180						FOXK1	EFCAB9	
																						CLYBL						MMD2	SH3PXD2B	
																						METTL21C						DAGLB	FAM153A	
																						NALCN						CCZ1B	OR2V2	
																						DAOA						THSD7A	ZNF454	
																						CHAMP1						FERD3L	C5orf60	
																						UBAC2						SLC29A4	PFN3	
																						TMEM255B						RSPH10B	SIMC1	
																						C13orf35						TMEM196	ZFP62	
																						MIR17HG						STEAP1B	CBY3	
																						MIR622						COL28A1	FAM153C	
																						FAM155A						ABCB5	FAM196B	
																						MIR3170						FAM221A	MIR3912	
																						MIR4502						MACC1	MIR4634	
																												AGMO	MIR4638	
																												MIR148A		
																												OCM		
																												RSPH10B2		
																												ANKRD61		
																												MIR3683		
																												LRRC72		
																												MIR4656		
