cytoband	2q37.1	2q22.1	19p13.3	11q25	13q14.2	4q35.2	10q23.31	3p14.2	20p12.1	6q26	11q23.3	5q12.1	15q21.1	16q23.1	17q25.3	1p36.23	14q32.31	22q13.32	7q34	18q21.2	4q22.1	Xq21.33	13q12.11	1p13.2	8p23.1	16q11.2	Xp11.3	11p15.1	17p12	19q13.33	4q21.3	6p24.2	4p16.3	8p23.3	21q11.2	5q35.2	3p22.1	
	MIR4440			NTM	RN7SL413P	DUX4				SNORD45|ENSG00000231297.2	RN7SL351P		ONECUT1		ARHGDIA	RN7SL501P	IGHJ3	CHKB	RN7SL811P				ANKRD20A19P	RNA5SP58		MT1DP		SNORA1|ENSG00000207407.1		ZNF548		SNORD46|ENSG00000251830.1	USP17L23	ARHGEF10	SNORA33|ENSG00000252045.1			
	FAM132B			ADAMTS15	RNY1P6	ZFP42				LINC00473	KRT18P59		MIR1266		CD7	snoU13|ENSG00000238316.1	IGHJ4	CPT1B	SNORA26|ENSG00000212590.1				LINC00352	NBPF24		MT1M		MIR4486		ZNF805		RN7SKP240	USP17L15	KBTBD11	SNORA80			
	SNORD39|ENSG00000263723.1			C11orf44	RN7SL320P	TRIML2				SDIM1	SLC37A2		U6|ENSG00000272337.1		CSNK1D	RN7SL679P	IGHJ5	TYMP	snoU13|ENSG00000238557.1				LINC00327	RN7SL261P		MT1E		RNA5SP335		ZNF264		LINC00340	FAM90A26	FBXO25	RN7SL109P			
	RBM44			SNX19	RPS4XP16	TRIML1				RNA5SP226	RNA5SP352		RN7SL354P		SLC25A10	MIR1976	IGHJ6	MAPK11	RNA5SP250				LINC00362	ACP6		MT1L		RNA5SP334		DUXA		RN7SL128P	GPR78	TDRP	LINC00159			
	COPS8				LINC00371	DUX4L4				RN7SL366P	TBRG1		RNA5SP395		FASN	HMGN2	IGHM	MAPK12	FABP5P3				RNY3P4	LINC00624		MT2A		RNA5SP333		U3|ENSG00000252683.1		MBOAT1	RNA5SP152	ERICH1	SNORA81|ENSG00000238390.1			
	RN7SL204P				RNA5SP29	FRG2				CAHM	OR10D3		U6|ENSG00000271819.1		GCGR	RN7SL490P	IGHD	SBF1	snoU13|ENSG00000239045.1				LINC00621	HYDIN2		OGFOD1		SAA3P		MIMT1		ID4	MIR95	ZNF596	LINC00307			
	MSL3P1				RNA5SP28	DUX4L7				snoU13|ENSG00000239136.1	U8|ENSG00000200496.1		RN7SL494P		UTS2R	AIM1L	IGHG3	PPP6R2	RN7SL76P				SNORD36|ENSG00000253094.1	RNA5SP57		MIR3935		TPH1		SMIM17		RNA5SP205	MIR4274	MIR596	snoU13|ENSG00000239171.1			
	DNAJB3				DLEU7	DUX4L6				AIRN	SNORD14C		RNA5SP394		GPS1	SH3BGRL3	IGHG1	ZBED4	MIR3907				LINC00424	PDZK1P1		IRX6		SNORD14B		ZNF71		snoU13|ENSG00000238458.1	MIR4798		LINC00189			
	UGT1A3				RNY4P9	DUX4L5				SNORA29	SNORD14D		FGF7		FOXK2	ZNF593	IGHA1	SCO2	MIR671				RN7SL766P	RNF115		RN7SL841P		SNORD14A		ZSCAN5D		RNA5SP204	RN7SKP36		U3|ENSG00000212479.1			
	SCARNA6|ENSG00000251791.1				RNY4P30	DUX4L3				SNORA20|ENSG00000207392.1	SNORD14E		RN7SL307P		MAFG	SCARNA18|ENSG00000252691.1	IGHG2	RABL2B	IQCA1P1				snoU13|ENSG00000238878.1	NUDT17		CRNDE		OR7E14P		ZSCAN5C		STMND1	GRPEL1		RWDD2B			
	SCARNA5				RNY3P2	DUX4L2				RNU4ATAC18P	snoU13|ENSG00000239079.1		RN7SL577P		P4HB	SCARNA17|ENSG00000252190.1	IGHG4	MLC1	CDK5				ZDHHC20	GNRHR2		FTO		RN7SKP90		RFPL4AL1		U3|ENSG00000251793.1	RN7SKP292		N6AMT1			
	RN7SL32P				LINC00462					C6orf99	RNU4ATAC5P		RN7SKP139		PDE6G	MAN1C1	IGHE	MAPK8IP2	SSPO				RNA5SP25	NBPF10		RNA5SP427		C11orf58		RN7SKP109		MIR4639	S100P		LINC00113			
	snoU13|ENSG00000239170.1				LINC00441					RN7SL173P	RNU4ATAC10P		FKSG62		PYCR1	snoU13|ENSG00000238889.1	IGHA2	PLXNB2	SNORD112|ENSG00000252557.1				MIPEPP3	SEC22B		snoU13|ENSG00000238645.1		RN7SL188P		CCDC106		RN7SL332P	C4orf50		LINC00515			
	RN7SL359P				LINC00562					MIR3692	SC5D		RN7SKP101		RAC3	SYF2	CRIP1	BRD1	RN7SL521P				ESRRAP2	RN7SKP88		CASC16		PSMA1		TMEM238		NOL7	RN7SKP275		snoU13|ENSG00000238314.1			
	CHRND				LINC00444					snoU13|ENSG00000252609.1	TBCEL		SNORD11|ENSG00000238819.1		RFNG	snoU13|ENSG00000238986.1	C14orf79	FAM19A5	RNY1				RN7SL80P	LINC00623		LINC00919		RNA5SP332		SYT5		RN7SKP204	RN7SKP113		RNA5SP489			
	ECEL1P2				RN7SL700P					SNORD28|ENSG00000212295.1	OAF		SNORA41|ENSG00000207516.1		MRPL12	RN7SL857P	LINC00638	NCAPH2	RNY3				SNORD27|ENSG00000252128.1	NBPF8		RN7SKP142		SPON1		snoU13|ENSG00000239137.1		PHACTR1	FAM86EP		7SK|ENSG00000232512.2			
	MIR562				LINC00563					TFB1M	THY1		HMGN2P46		SECTM1	snoU13|ENSG00000238538.1	ZBTB42	MOV10L1	RNY4				snoU13|ENSG00000238893.1	SRGAP2B		HNRNPA1P48		RNA5SP331		KIR3DX1		RN7SKP293	LINC00955		RN7SL609P			
	NPPC				RN7SKP5					ACAT2	MFRP		snoU13|ENSG00000238583.1		TBCD	RN7SL24P	C14orf144	MIOX	RNY5				HNRNPA1P30	ANKRD20A12P		RNA5SP426		RN7SKP151		LILRA6		SNORA67|ENSG00000207419.1	LRPAP1		LINC00308			
	MGC4771				snoU13|ENSG00000238483.1					CCR6	ACA64|ENSG00000252119.1		SLC30A4		SLC16A3	RN7SL532P	RN7SL634P	PANX2	RN7SL569P				MIR4499	FCGR1B		NKD1		LINC00958		LENG1		snoU13|ENSG00000238896.1	MSANTD1		LINC00317			
	RN7SL499P				RN7SL288P					IGF2R	HINFP		SNORA11|ENSG00000261709.2		HGS	MIR3115	LINC00637	CRELD2	RN7SL72P				LINC00556	HIST2H2BA		SNORD112|ENSG00000252077.1		SCARNA16|ENSG00000252329.1		NDUFA3		RNA5SP203	RN7SL589P		LINC00320			
	SNORD82				RNA5SP27					KIF25	C2CD2L		SORD		ALYREF	MIR4684	SNORD51|ENSG00000202275.1	ADM2	U3|ENSG00000199370.1				snoU13|ENSG00000238665.1	LINC00622		snoU13|ENSG00000238544.1		PARVA		MIR935		C6orf52	MIR943		RN7SKP147			
	SNORD20				SNORA31|ENSG00000199477.1					LPA	MIR3656		B2M		NARF	LINC00339	APOPT1	TRABD	RN7SL456P				RN7SL166P	snoU13|ENSG00000238679.1		SNORA70|ENSG00000252526.1		SNORD97		MIR371B		GCNT6	SCARNA22		RN7SL163P			
	SNORA75|ENSG00000206885.1				SNORA31|ENSG00000253051.1					MAS1	RPS25		RN7SL347P		DCXR	RN7SL186P	SNORA28	HDAC10	RNA5SP249				PSPC1	RNA5SP56		RNY4P3		LYVE1		RN7SL317P		LINC00518	RN7SL671P		SNORD74|ENSG00000201025.1			
	NCL				7SK|ENSG00000271818.1					MAP3K4	RN7SL529P		HYPK		ANAPC11	RN7SL768P	LINC00605	SHANK3	RN7SL207P				LINC00350	WDR3		snoU13|ENSG00000239038.1		RNU6ATAC33P		ZNF813		RNU6ATAC21P	SNORA48|ENSG00000212458.1		snoU13|ENSG00000238591.1			
	MIR4777				RN7SKP3					MLLT4	RN7SL688P		CATSPER2P1		SIRT7	RN7SL386P	LINC00677	TUBGCP6	RN7SKP174				LINC00421	SNORA40|ENSG00000212266.1		snoU13|ENSG00000239013.1		ADM		ZNF761		OFCC1	TMED11P		RNA5SP488			
	RN7SL834P				RN7SL49P					PARK2	BCL9L		snoU13|ENSG00000238494.1		WDR45B	RN7SL421P	snoU13|ENSG00000238853.1	LMF2	RNU6ATAC40P				TUBA3C	MAN1A2		RN7SL54P		RN7SKP50		FAM90A28P		HULC	RN7SL358P		ANKRD20A11P			
	RNY4P19				LINC00330					PDCD2	CXCR5		snoU13|ENSG00000238535.1		FN3K	MIR1256	RN7SL546P	KLHDC7B	OR2A9P				RNA5SP24	MIR942		LONP2		RN7SL56P		FAM90A27P		snoU13|ENSG00000251762.1	ZNF721		CYP4F29P			
	AGXT				snoU13|ENSG00000238932.1					PLG	DDX6		RN7SL487P		ASPSCR1	UBXN10	snoU13|ENSG00000239061.1	C22orf34	OR2A20P				LINC00442	TTF2		RNA5SP425		snoU13|ENSG00000238387.1		ZNF321P		RN7SL554P	ABCA11P		ANKRD30BP2			
	ALPI				TSC22D1					PSMB1	TTC36		CCNDBP1		C17orf62	PLA2G2C	RN7SL472P	IL17REL	CTAGE15				PHF2P2	RNA5SP55		RNA5SP424		SNORA23		ZNF888		LY86	MIR571		BAGE2			
	ALPP				LINC00284					RPS6KA2	RN7SL86P		snoU13|ENSG00000239025.1		FN3KRP	PLA2G2D	LINC00524	PIM3	RN7SL481P				LINC00387	MIR548AC		ITFG1		MIR5691		ZNF600		RN7SL221P	ZNF141		SNORA70|ENSG00000252199.1			
	ALPPL2				LINC00400					SLC22A1	CD3G		MIR627		OGFOD3	PLA2G5	U3|ENSG00000206761.1	ODF3B	RN7SL535P				LINC00388	ATP1A1OS		snoU13|ENSG00000238834.1		RNA5SP330		ZNF137P		MIR3691	ZNF732		RN7SL52P			
	KIF1A				RN7SL515P					SLC22A3	MPZL3		MIR4310		ZNF750	RN7SL304P	MEG9	SYCE3	OR6W1P				LINC00349	U3|ENSG00000221040.1		MYLK3		SNORA45		MIR643		RMRPP2	ZNF876P		TEKT4P2			
	BOK				MIR5006					SLC22A2	TMPRSS4		RNA5SP393		TSPAN10	PLA2G2E	MIR369	MIR3201	TRBV30				PARP4	SNORA42|ENSG00000207502.1		VPS35		SNORA3|ENSG00000200983.1		PPP2R1A		snoU13|ENSG00000238801.1	ZNF718		MIR3648			
	CHRNG				KBTBD7					SOD2	SCARNA11|ENSG00000252992.1		MIR626		PPP1R27	snoU13|ENSG00000239027.1	MIR377	MIR3667	TRBC2				ATP12A	RN7SL420P		ANKRD26P1		SCARNA20|ENSG00000252778.1		snoU13|ENSG00000238630.1		RNA5SP202	ZNF595		APP			
	COL6A3				snoU13|ENSG00000238651.1					T	PCSK7		RN7SL497P		B3GNTL1	RN7SL277P	MIR485	MIR4535	PRSS3P2				FGF9	RN7SL432P		RNA5SP423		OR10AB1P		HCCAT3		snoU13|ENSG00000252668.1	ADD1		ATP5J			
	DTYMK				RN7SL597P					TBP	RNY4P6		RN7SL376P		NOTUM	RN7SL85P	MIR134		TRBV28				GJA3	DENND2C		RNA5SP422		GVINP1		FPR1		C6ORF50	ADRA2C		CXADR			
	GBX2				SUGT1P3					TCP1	ZNF259		snoU13|ENSG00000238559.1		STRA13	AKR7A2	MIR382		TRBV27				GJB2	BCL2L15		RNA5SP421		TAF10		snoU13|ENSG00000238486.1		RNA5SP201	ATP5I		GABPA			
	GPC1				TPTE2P5					TCTE3	snoU13|ENSG00000238625.1		LINC00594		LRRC45	AKR7A3	MIR381HG		TRBV19				MIPEP	LRIG2		RNA5SP420		RRP8		SIGLEC5		C6orf195	CRMP1		GRIK1			
	GPR35				SLC25A15					DYNLT1	LINC00900		RNA5SP392		MYADML2	MIR1290	MIR376A1		TRBV9				SGCG	snoU13|ENSG00000238975.1		RNA5SP419		TIMM10B		CEACAM18		RN7SL352P	CTBP1		NCAM2			
	HDLBP				LINC00598					THBS2	snoU13|ENSG00000239153.1		LINC00984		NPB	MIR4695	MIR376C		TRBV2				ZMYM2	WNT2B		RNA5SP418		RNA5SP329		SIGLEC22P		snoU13|ENSG00000238438.1	DGKQ		TMPRSS15			
	HTR2B				RN7SKP2					EZR	ACA59|ENSG00000252870.1		snoU13|ENSG00000238564.1		CCDC57	snoU13|ENSG00000239020.1	MIR380		PRSS3P3				IFT88	snoU13|ENSG00000238761.1		RNA5SP417		TRIM34		SIGLEC17P		BMP6	DRD5		SOD1			
	SP110				RNY3P9					RNASET2	snoU13|ENSG00000238724.1		THBS1		HEXDC	PADI6	MIR299		MOXD2P				MTMR6	snoU13|ENSG00000239111.1		RNA5SP416		OR51J1		KLK13		BPHL	EVC		HSPA13			
	INPP5D				LINC00332					SYNJ2	ATF4P4		FAM98B		METRNL	MIR3972	MIR379		OR9A1P				ZMYM5	ATP5F1		RNA5SP415		OR51B5		KLK9		DSP	FGFR3		TIAM1			
	KCNJ13				SNORD116|ENSG00000212553.1					QKI	snosnR66		BUB1B		OXLD1	U1|ENSG00000228549.2	SNORD113|ENSG00000222185.1		OR9A3P				NUPL1	PGCP1		RNA5SP413		HBG1		KLKP1		E2F3	GAK		TPTE			
	NDUFA10				RNY4P14					WTAP	C11orf34		CAPN3		CCDC137	MST1L	SNORD112|ENSG00000252009.1		AGK				SAP18	DENND2D		RNA5SP410		HBBP1		SNORD88C		EDN1	GRK4		NRIP1			
	SEPT2				ATP7B					PDE10A	SDHD		CKMT1B		ARL16	ESPNP	SNORD113|ENSG00000222095.1		U6|ENSG00000271932.1				GJB6	RNA5SP54		RNA5SP409		OR52A4		SNORD88A		SERPINB1	HTT		SYNJ1			
	NEU2				RCBTB2					C6orf123	RNA5SP351		CYP19A1		FAM195B	CROCCP2	SNORD113|ENSG00000201710.1		RN7SL771P				SACS	CYMP		RNA5SP408		OR51H1P		SNORD88B		F13A1	HGFAC		CLDN8			
	PDCD1				CPB2					DLL1	HSPB2		DUT		TEX19	U1|ENSG00000233421.3	SNORD113|ENSG00000201036.1		RNA5SP248				LATS2	SNORA25|ENSG00000200536.1		RNA5SP407		SNORA62|ENSG00000201980.1		LRRC4B		FOXF2	HMX1		ADAMTS1			
	PDE6D				ELF1					MRPL18	ALG9		EPB42			CROCCP3	SNORD113|ENSG00000201500.1		snoU13|ENSG00000238868.1				CRYL1	ALX3		RNA5SP406		OR51C1P		SPIB		FOXC1	IDUA		URB1			
	PPP1R7				ESD					CLDN20	ALG9		FBN1			C1orf134	SNORD113|ENSG00000200150.1		RNA5SP247				IL17D	RNU6V		LINC00273		SNORA7|ENSG00000206976.1		RN7SL324P		GCNT2	LETM1		USP16			
	PSMD1				FOXO1					NOX3	RN7SKP273		GABPB1			ANO7P1	SNORD112|ENSG00000251918.1		KLRG2				MPHOSPH8	GNAI3		ARHGAP23P1		snoU13|ENSG00000238686.1		NAPSB		GMDS	MSX1		CCT8			
	PTMA				MLNR					SNX9	SIK2		GALK2			C1orf64	SNORD112|ENSG00000252144.1		LUC7L2				TNFRSF19	KIAA1324		HERC2P8		TRPC2		SIGLEC16		GMPR	MYL5		BTG3			
	SAG				GTF2F2					MPC1	RNA5SP350		GANC			snoU13|ENSG00000238818.1	SNORD112|ENSG00000251949.1		SNORA40|ENSG00000252188.1				CENPJ	SCARNA2		HERC2P5		TSSC2		U3|ENSG00000221125.1		GPLD1	PDE6B		ADAMTS5			
	SP100				GUCY1B2					UNC93A	SNORD39|ENSG00000264997.1		GATM			DDI2	SNORD112|ENSG00000252873.1		snoU13|ENSG00000239123.1				RNF17	TMEM167B		TP53TG3		SNORA54		MIR4751		HIST1H1C	PPP2R2C		LTN1			
	SPP2				HTR2A					PHF10	RNA5SP349		GCHFR			AGMAT	SNORD112|ENSG00000251769.1		SNORA51|ENSG00000201465.1				XPO4	TAF13		TP53TG3D		SLC22A18AS		MIR4750		HIST1H1E	RGS12		CLDN17			
	DGKD				KPNA3					C6orf70	RNA5SP348		PDIA3			SCARNA21|ENSG00000251866.1	MEG8		snoU13|ENSG00000238984.1				MRP63	SPATA42		HERC2P4		KCNQ1OT1		MIR4749		HIST1H1T	RNF4		USP25			
	PER2				LCP1					AGPAT4	ACAT1		HDC			C1orf195	MIR433		snoU13|ENSG00000239145.1				TPTE2	NBPF5P		ADCY7		RPL26P30		ADM5		HIST1H2BD	SH3BP2		HUNK			
	LRRFIP1				NEK3					TULP4	ACRV1		ITPKA			SCARNA11|ENSG00000253085.1	MEG3		RN7SKP223				AMER2	SLC25A24P1		AMFR		C11orf21		MIR5088		HIST1H2BB	WFS1		RBM11			
	GPR55				PCDH8					ARID1B	APLP2		IVD			RNA5SP41	RN7SKP92		SNORD81|ENSG00000202023.1				N6AMT2	RN7SKP285		BBS2		MIR483		BCL2L12		HIST1H1A	WHSC1		MIS18A			
	TRIP12				RB1					TMEM181	APOA1		LTK			PRAMEF14	RN7SL523P		snoU13|ENSG00000238488.1				SKA3	snoU13|ENSG00000238296.1		CBLN1		H19		SNORD35B		HFE	NELFA		LINC00158			
	ECEL1				TPT1					SMOC2	APOA4		MAP1A			PRAMEF18	YY1		LUZP6				MICU2	SCARNA16|ENSG00000252765.1		CES1		C11orf89		SNORD35A		HIVEP1	SLBP		MRPL39			
	EIF4E2				TNFSF11					ZDHHC14	APOC3		MFAP1			C1orf158	DEGS2		C7orf73				SPATA13	DPH5		CETP		FAM99B		SNORD34		IRF4	ACOX3		C21orf91			
	HDAC4				SUCLA2					FRMD1	ARCN1		MYO5A			snoU13|ENSG00000238771.1	MIR342		U6|ENSG00000272393.1				C1QTNF9	MIR553		CNGB1		MOB2		SNORD33|ENSG00000199631.1		JARID2	CPZ		MRAP			
	FARP2				ITM2B					LINC00574	ATM		NEDD4			RNU6ATAC18P	CCNK		SNORD46|ENSG00000201009.1				C1QTNF9B	LPPR5		CSNK2A2		MUC5AC		SNORD32A		MAK	NOP14		C21orf59			
	ARL4C				MTRF1					LPAL2	FXYD2		PLCB2			SNORA59A	U6|ENSG00000272439.1		MIR29B1					RN7SKP270		CYLD		SNORA52		MIR4324		NEDD9	FAM193A		MAP3K7CL			
	RAMP1				UTP14C					RSPH3	CASP1		MAPK6			SNORA70|ENSG00000252969.1	RN7SL714P		MIR29A					RN7SL831P		GNAO1		RPLP2		RN7SL708P		NQO2	KIAA0232		SCAF4			
	NMUR1				LPAR6					FAM120B	CASP4		RAB27A			MIR4632	RN7SL710P		RNA5SP246					ALG14		GOT2		TMEM80		RN7SL345P		SERPINB6	WDR1		JAM2			
	STK25				TRIM13					FNDC1	CASP5		RAD51			RN7SL649P	LINC00618		COPG2					snoU13|ENSG00000238389.1		KIFC3		SCT		SEC1P		SERPINB9	C4orf6		EVA1C			
	CAPN10				MRPS31					SERAC1	CBL		SLC12A1			C1orf167	RN7SKP108		MIR335					RN7SL440P		MMP2		MIR210HG		DBP		PRL	MFSD10		SAMSN1			
	SP140				DLEU1					SYTL3	CD3D		SPINT1			DRAXIN	snoU13|ENSG00000238776.1		snoU13|ENSG00000239044.1					ARHGAP29		MMP15		RN7SL838P		GRWD1		RREB1	MAEA		C21orf119			
	PASK				OLFM4					TAGAP	CD3E		SRP14			snoU13|ENSG00000271794.1	DKFZP434O1614		snoU13|ENSG00000238336.1					GCLM		MT1A		ODF3		C19orf68		ATXN1	PCGF3		PAXBP1			
	ATG4B				LECT1					PACRG	CHEK1		TCF12			TARDBP	C14orf132		RNA5SP245					DNTTIP2		MT1B		AP2A2		CABP5		SLC17A1	SPON2		CYYR1			
	SH3BP4				WBP4					PNLDC1	CRYAB		TP53BP1			RN7SL614P	LINC00617		RNA5SP244					RNA5SP53		MT1F		AMPD3		TPRX2P		SOX4	TACC3		LINC00161			
	NGEF				AKAP11					DACT2	DDX10		TYRO3			DFFA	GLRX5		TSPAN33					DR1		MT1G		APBB1		SNORD23|ENSG00000221803.1		SSR1	MXD4		CHODL			
	SNED1				FNDC3A					C6orf118	DLAT		EIF3J			RN7SL721P	SCARNA13		snoU13|ENSG00000238733.1					RN7SKP123		MT1H		RHOG		RN7SL322P		TFAP2A	CPLX1		LIPI			
	GIGYF2				VWA8					OSTCP1	DPAGT1		SNAP23			RN7SL731P	SNHG10		RN7SL306P					RN7SL692P		MT1JP		ARNTL		RN7SL533P		TPMT	SLC26A1		ABCC13			
	TRAF3IP1				ZC3H13					WDR27	DRD2		USP8			RN7SKP269	MIR4506		KCP					SNORA51|ENSG00000207022.1		MT1X		ART1		snoU13|ENSG00000252071.1		TUBB2A	MAN2B2		LINC00314			
	ANO7				LRCH1					PRR18	ETS1		SLC28A2			SLC25A33	SLC24A4		RN7SL81P					SNORA66|ENSG00000207523.1		MT3		ASCL2		MIR320E		DEK	NSG1		POTED			
	PRLH				INTS6					C6orf120	FDX1		CCPG1			RNA5SP40	NDUFB1		CALU					SNORA66|ENSG00000251795.1		PHKB		BDNF		RN7SL364P		ALDH5A1	STX18		LINC00478			
	THAP4				CKAP2					TCP10L2	FLI1		COPS2			GPR157	U3|ENSG00000200042.1		RNA5SP243					SNORD21		POLR2C		CALCA		PGLYRP1		HIST1H2AC	FGFRL1		MIRLET7C			
	ANKMY1				NUFIP1					LINC00242	SLC37A4		TGM5			SCARNA16|ENSG00000252404.1	RN7SL506P		RNA5SP242					RN7SL824P		RBL2		CALCB		NOVA2		HIST1H2AB	CYTL1		MIR125B2			
	SCLY				RGCC					GTF2H5	GRIA4		PIGB			RN7SL451P	SNORA11B		MIR593					RPAP2		SALL1		CARS		MIR642A		HIST1H3A	SH3TC1		MIR155HG			
	ASB1				MED4					TMEM242	GRIK4		PPIP5K1			SNORA77|ENSG00000221083.1	LINC00642		MIR592					ACTBP12		CCL17		CCKBR		RN7SL836P		HIST1H3C	PIGG		MIR99A			
	CAB39				DNAJC15					MIR1202	GUCY1A2		SECISBP2L			RN7SL729P	RN7SKP255		GPR37					RN7SL235P		CCL22		CD81		MIR330		HIST1H3B	BLOC1S4		BACH1			
	UGT1A10				VPS36					MIR3918	H2AFX		LCMT2			TNFRSF9	RN7SKP107		AASS					RN7SL653P		CX3CL1		CD151		PPM1N		HIST1H4A	STK32B		MIR4327			
	UGT1A7				PHF11					MIR3939	HMBS		BCL2L10			snoU13|ENSG00000239166.1	SERPINA3		RN7SKP277					BARHL2		SIAH1		CDKN1C		A1BG		HIST1H4B	LYAR		MIR548X			
	UGT1A6				ENOX1					MIR4466	HSPA8		RASGRP1			LINC00337	AKT1		RNA5SP241					U3|ENSG00000199666.1		SLC6A2		TPP1		AP2A1		RIPK1	SLC2A9		MIR3687			
	UGT1A5				RCBTB1						HTR3A		GNB5			RN7SL574P	BDKRB1		RNA5SP240					ABCA4		SLC12A3		CNGA4		KLK3		PRPF4B	TBC1D14		C21orf37			
	UGT1A9				NUDT15						IL10RA		ARPP19			MIR551A	BDKRB2		AOC1					ADORA3		GPR56		COPB1		BAX		GCM2	SORCS2		MIR4759			
