"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"GZMA.cat=high",161,62,6.5,"5.8 to NA","0.93 (0.89 to 0.97)","0.89 (0.84 to 0.94)","0.80 (0.74 to 0.87)","0.62 (0.54 to 0.71)"
"GZMA.cat=low",161,24,NA,"NA to NA","0.99 (0.98 to 1)","0.95 (0.91 to 0.98)","0.89 (0.84 to 0.94)","0.81 (0.74 to 0.89)"
"GZMA.cat=med",318,90,NA,"7.1 to NA","0.96 (0.94 to 0.99)","0.91 (0.88 to 0.95)","0.86 (0.82 to 0.9)","0.66 (0.6 to 0.73)"
"PRF1.cat=high",160,56,9.7,"6.1 to NA","0.94 (0.9 to 0.98)","0.90 (0.85 to 0.95)","0.81 (0.75 to 0.87)","0.65 (0.57 to 0.74)"
"PRF1.cat=low",161,24,NA,"NA to NA","0.98 (0.96 to 1)","0.94 (0.9 to 0.98)","0.89 (0.84 to 0.94)","0.79 (0.71 to 0.88)"
"PRF1.cat=med",319,96,NA,"6.6 to NA","0.97 (0.95 to 0.99)","0.91 (0.88 to 0.94)","0.85 (0.81 to 0.9)","0.65 (0.59 to 0.72)"
"cyt.cat=high",161,58,6.5,"6 to NA","0.93 (0.89 to 0.97)","0.89 (0.84 to 0.94)","0.80 (0.74 to 0.87)","0.63 (0.55 to 0.73)"
"cyt.cat=low",161,22,NA,"NA to NA","0.98 (0.96 to 1)","0.94 (0.9 to 0.98)","0.88 (0.83 to 0.94)","0.82 (0.74 to 0.9)"
"cyt.cat=med",318,96,NA,"6.7 to NA","0.97 (0.95 to 0.99)","0.91 (0.88 to 0.95)","0.86 (0.82 to 0.9)","0.65 (0.59 to 0.72)"
"nmdptc_max.cat=high",161,53,NA,"5.4 to NA","0.95 (0.91 to 0.98)","0.88 (0.83 to 0.93)","0.84 (0.79 to 0.91)","0.62 (0.54 to 0.72)"
"nmdptc_max.cat=low",160,43,NA,"7.5 to NA","0.97 (0.95 to 1)","0.94 (0.91 to 0.98)","0.86 (0.81 to 0.92)","0.69 (0.61 to 0.78)"
"nmdptc_max.cat=med",319,80,NA,"9.7 to NA","0.96 (0.94 to 0.99)","0.92 (0.89 to 0.95)","0.85 (0.81 to 0.89)","0.71 (0.65 to 0.77)"
"nmdptc_n_decayed.cat=high",185,58,9.7,"6.3 to NA","0.96 (0.93 to 0.99)","0.91 (0.86 to 0.95)","0.84 (0.79 to 0.9)","0.64 (0.57 to 0.74)"
"nmdptc_n_decayed.cat=low",250,69,NA,"NA to NA","0.97 (0.95 to 0.99)","0.91 (0.88 to 0.95)","0.85 (0.81 to 0.9)","0.68 (0.61 to 0.75)"
"nmdptc_n_decayed.cat=med",205,49,NA,"NA to NA","0.96 (0.93 to 0.99)","0.92 (0.89 to 0.96)","0.86 (0.8 to 0.91)","0.72 (0.65 to 0.8)"
"nmdptc_frac_decayed.cat=high",163,54,9.7,"5.4 to NA","0.96 (0.92 to 0.99)","0.89 (0.84 to 0.94)","0.82 (0.76 to 0.89)","0.61 (0.53 to 0.71)"
"nmdptc_frac_decayed.cat=low",170,50,NA,"6.1 to NA","0.98 (0.95 to 1)","0.93 (0.89 to 0.97)","0.85 (0.8 to 0.91)","0.66 (0.58 to 0.75)"
"nmdptc_frac_decayed.cat=med",307,72,NA,"9.9 to NA","0.96 (0.94 to 0.98)","0.92 (0.89 to 0.95)","0.87 (0.83 to 0.91)","0.73 (0.67 to 0.79)"
"nmdptc_med.cat=high",161,49,9.7,"6.5 to NA","0.96 (0.93 to 0.99)","0.90 (0.85 to 0.95)","0.85 (0.8 to 0.91)","0.66 (0.58 to 0.75)"
"nmdptc_med.cat=low",161,48,6.1,"5.4 to NA","0.97 (0.95 to 1)","0.92 (0.88 to 0.97)","0.85 (0.8 to 0.91)","0.62 (0.53 to 0.73)"
"nmdptc_med.cat=med",318,79,NA,"9.9 to NA","0.96 (0.94 to 0.98)","0.92 (0.89 to 0.95)","0.85 (0.81 to 0.89)","0.72 (0.66 to 0.78)"
"nmdptc_med.wt.cat=high",160,49,NA,"7.1 to NA","0.94 (0.91 to 0.98)","0.88 (0.83 to 0.94)","0.84 (0.78 to 0.9)","0.67 (0.59 to 0.76)"
"nmdptc_med.wt.cat=low",161,46,NA,"5.4 to NA","0.99 (0.97 to 1)","0.94 (0.91 to 0.98)","0.87 (0.82 to 0.93)","0.64 (0.55 to 0.74)"
"nmdptc_med.wt.cat=med",319,81,NA,"9.7 to NA","0.96 (0.94 to 0.98)","0.92 (0.89 to 0.95)","0.85 (0.8 to 0.89)","0.71 (0.65 to 0.77)"
"nmdptc_mean.cat=high",161,50,NA,"6.4 to NA","0.96 (0.92 to 0.99)","0.88 (0.83 to 0.93)","0.85 (0.79 to 0.91)","0.64 (0.56 to 0.74)"
"nmdptc_mean.cat=low",161,46,NA,"6.1 to NA","0.96 (0.93 to 0.99)","0.93 (0.89 to 0.97)","0.84 (0.78 to 0.9)","0.66 (0.58 to 0.76)"
"nmdptc_mean.cat=med",318,80,9.9,"9.7 to NA","0.97 (0.95 to 0.99)","0.92 (0.89 to 0.95)","0.86 (0.82 to 0.9)","0.71 (0.65 to 0.77)"
"nmdptc_mean.wt.cat=high",160,50,NA,"7.1 to NA","0.94 (0.91 to 0.98)","0.88 (0.83 to 0.93)","0.83 (0.78 to 0.9)","0.66 (0.59 to 0.75)"
"nmdptc_mean.wt.cat=low",161,44,NA,"6.1 to NA","0.99 (0.98 to 1)","0.95 (0.91 to 0.98)","0.87 (0.82 to 0.93)","0.65 (0.57 to 0.75)"
"nmdptc_mean.wt.cat=med",319,82,9.9,"7.6 to NA","0.96 (0.94 to 0.98)","0.92 (0.89 to 0.95)","0.85 (0.81 to 0.89)","0.70 (0.64 to 0.77)"
"nmdfs_max.cat=high",161,61,6.1,"5.2 to NA","0.94 (0.91 to 0.98)","0.86 (0.81 to 0.92)","0.82 (0.76 to 0.89)","0.60 (0.51 to 0.69)"
"nmdfs_max.cat=low",160,36,NA,"NA to NA","0.98 (0.96 to 1)","0.95 (0.92 to 0.99)","0.90 (0.85 to 0.95)","0.73 (0.64 to 0.82)"
"nmdfs_max.cat=med",319,79,NA,"9.7 to NA","0.96 (0.94 to 0.99)","0.92 (0.89 to 0.95)","0.84 (0.8 to 0.89)","0.70 (0.65 to 0.77)"
"nmdfs_n_decayed.cat=high",163,65,6.1,"4.5 to NA","0.94 (0.9 to 0.98)","0.87 (0.82 to 0.92)","0.81 (0.75 to 0.88)","0.57 (0.48 to 0.66)"
"nmdfs_n_decayed.cat=low",194,51,NA,"NA to NA","0.97 (0.94 to 0.99)","0.91 (0.88 to 0.96)","0.87 (0.83 to 0.92)","0.67 (0.59 to 0.75)"
"nmdfs_n_decayed.cat=med",283,60,NA,"9.9 to NA","0.97 (0.96 to 0.99)","0.94 (0.91 to 0.97)","0.86 (0.81 to 0.9)","0.77 (0.71 to 0.83)"
"nmdfs_frac_decayed.cat=high",172,62,9.7,"6.1 to NA","0.95 (0.91 to 0.98)","0.86 (0.8 to 0.91)","0.81 (0.75 to 0.87)","0.62 (0.54 to 0.71)"
"nmdfs_frac_decayed.cat=low",169,46,NA,"6.1 to NA","0.98 (0.95 to 1)","0.93 (0.89 to 0.97)","0.86 (0.81 to 0.92)","0.65 (0.56 to 0.75)"
"nmdfs_frac_decayed.cat=med",299,68,NA,"9.9 to NA","0.97 (0.94 to 0.99)","0.94 (0.91 to 0.97)","0.87 (0.83 to 0.91)","0.73 (0.67 to 0.8)"
"nmdfs_med.cat=high",161,56,9.7,"6.1 to NA","0.95 (0.91 to 0.98)","0.86 (0.81 to 0.92)","0.81 (0.75 to 0.88)","0.63 (0.55 to 0.72)"
"nmdfs_med.cat=low",161,42,NA,"5.9 to NA","0.98 (0.96 to 1)","0.95 (0.91 to 0.98)","0.89 (0.84 to 0.94)","0.66 (0.57 to 0.77)"
"nmdfs_med.cat=med",318,78,NA,"9.9 to NA","0.96 (0.94 to 0.98)","0.92 (0.89 to 0.95)","0.85 (0.81 to 0.89)","0.71 (0.65 to 0.78)"
"nmdfs_med.wt.cat=high",160,58,9.7,"6.1 to NA","0.94 (0.91 to 0.98)","0.86 (0.81 to 0.92)","0.82 (0.76 to 0.88)","0.63 (0.55 to 0.72)"
"nmdfs_med.wt.cat=low",161,41,NA,"5.9 to NA","0.99 (0.97 to 1)","0.94 (0.91 to 0.98)","0.88 (0.83 to 0.94)","0.65 (0.56 to 0.76)"
"nmdfs_med.wt.cat=med",319,77,NA,"9.9 to NA","0.96 (0.94 to 0.98)","0.93 (0.9 to 0.96)","0.85 (0.81 to 0.89)","0.72 (0.66 to 0.78)"
"nmdfs_mean.cat=high",161,57,7.1,"5.4 to NA","0.94 (0.91 to 0.98)","0.86 (0.8 to 0.91)","0.81 (0.75 to 0.88)","0.61 (0.53 to 0.71)"
"nmdfs_mean.cat=low",161,44,NA,"6.2 to NA","0.96 (0.93 to 0.99)","0.93 (0.89 to 0.97)","0.84 (0.79 to 0.9)","0.66 (0.58 to 0.77)"
"nmdfs_mean.cat=med",318,75,NA,"9.7 to NA","0.97 (0.96 to 0.99)","0.94 (0.91 to 0.96)","0.88 (0.84 to 0.92)","0.72 (0.66 to 0.79)"
"nmdfs_mean.wt.cat=high",160,55,NA,"6.1 to NA","0.94 (0.91 to 0.98)","0.87 (0.82 to 0.92)","0.83 (0.77 to 0.89)","0.65 (0.57 to 0.74)"
"nmdfs_mean.wt.cat=low",161,36,NA,"NA to NA","0.99 (0.97 to 1)","0.95 (0.92 to 0.99)","0.90 (0.85 to 0.95)","0.69 (0.61 to 0.8)"
"nmdfs_mean.wt.cat=med",319,85,9.9,"7.6 to NA","0.96 (0.94 to 0.98)","0.92 (0.89 to 0.95)","0.84 (0.8 to 0.88)","0.69 (0.63 to 0.76)"
"nmdns_max.cat=high",159,47,NA,"5.9 to NA","0.97 (0.94 to 1)","0.93 (0.9 to 0.97)","0.85 (0.79 to 0.91)","0.67 (0.59 to 0.77)"
"nmdns_max.cat=low",161,38,NA,"NA to NA","0.97 (0.95 to 1)","0.94 (0.9 to 0.97)","0.89 (0.84 to 0.94)","0.71 (0.63 to 0.8)"
"nmdns_max.cat=med",320,91,9.9,"7.1 to NA","0.95 (0.93 to 0.98)","0.89 (0.86 to 0.93)","0.83 (0.79 to 0.88)","0.67 (0.61 to 0.74)"
"nmdns_n_decayed.cat=high",159,45,NA,"5.9 to NA","0.97 (0.94 to 1)","0.93 (0.9 to 0.97)","0.86 (0.8 to 0.91)","0.67 (0.59 to 0.77)"
"nmdns_n_decayed.cat=low",286,68,NA,"NA to NA","0.97 (0.96 to 0.99)","0.93 (0.9 to 0.96)","0.87 (0.83 to 0.91)","0.72 (0.66 to 0.79)"
"nmdns_n_decayed.cat=med",195,63,9.7,"6.2 to NA","0.94 (0.91 to 0.98)","0.88 (0.84 to 0.93)","0.82 (0.76 to 0.88)","0.62 (0.55 to 0.71)"
"nmdns_frac_decayed.cat=high",304,82,NA,"NA to NA","0.97 (0.95 to 0.99)","0.92 (0.89 to 0.95)","0.86 (0.82 to 0.9)","0.69 (0.62 to 0.75)"
"nmdns_frac_decayed.cat=low",163,42,NA,"6.7 to NA","0.97 (0.94 to 1)","0.93 (0.89 to 0.97)","0.87 (0.82 to 0.93)","0.70 (0.62 to 0.79)"
"nmdns_frac_decayed.cat=med",173,52,9.7,"6.3 to NA","0.95 (0.92 to 0.98)","0.89 (0.85 to 0.94)","0.82 (0.76 to 0.88)","0.65 (0.57 to 0.75)"
"nmdns_med.cat=high",159,43,NA,"NA to NA","0.97 (0.95 to 1)","0.93 (0.9 to 0.97)","0.86 (0.8 to 0.92)","0.70 (0.62 to 0.79)"
"nmdns_med.cat=low",161,41,NA,"6.7 to NA","0.96 (0.93 to 0.99)","0.92 (0.88 to 0.97)","0.86 (0.81 to 0.92)","0.70 (0.62 to 0.79)"
"nmdns_med.cat=med",320,92,9.9,"7.1 to NA","0.96 (0.94 to 0.98)","0.90 (0.87 to 0.93)","0.84 (0.8 to 0.89)","0.66 (0.6 to 0.73)"
"nmdns_med.wt.cat=high",159,43,NA,"6.5 to NA","0.97 (0.95 to 1)","0.93 (0.9 to 0.97)","0.86 (0.8 to 0.91)","0.69 (0.61 to 0.78)"
"nmdns_med.wt.cat=low",161,37,NA,"NA to NA","0.98 (0.96 to 1)","0.95 (0.91 to 0.98)","0.89 (0.84 to 0.94)","0.71 (0.63 to 0.8)"
"nmdns_med.wt.cat=med",320,96,9.7,"7 to NA","0.95 (0.92 to 0.97)","0.89 (0.85 to 0.92)","0.83 (0.79 to 0.87)","0.66 (0.6 to 0.73)"
"nmdns_mean.cat=high",159,43,NA,"NA to NA","0.97 (0.95 to 1)","0.93 (0.9 to 0.97)","0.86 (0.8 to 0.92)","0.70 (0.62 to 0.79)"
"nmdns_mean.cat=low",161,42,NA,"6.7 to NA","0.97 (0.94 to 1)","0.93 (0.89 to 0.97)","0.86 (0.81 to 0.92)","0.69 (0.61 to 0.78)"
"nmdns_mean.cat=med",320,91,9.9,"7.5 to NA","0.95 (0.93 to 0.98)","0.90 (0.86 to 0.93)","0.84 (0.8 to 0.89)","0.67 (0.61 to 0.74)"
"nmdns_mean.wt.cat=high",159,43,NA,"6.5 to NA","0.97 (0.95 to 1)","0.93 (0.9 to 0.97)","0.86 (0.8 to 0.91)","0.69 (0.61 to 0.78)"
"nmdns_mean.wt.cat=low",161,36,NA,"NA to NA","0.97 (0.95 to 1)","0.94 (0.91 to 0.98)","0.88 (0.83 to 0.94)","0.73 (0.65 to 0.82)"
"nmdns_mean.wt.cat=med",320,97,9.7,"7 to NA","0.95 (0.93 to 0.98)","0.89 (0.86 to 0.93)","0.83 (0.79 to 0.88)","0.65 (0.59 to 0.72)"
"cyt.cat=high",161,58,6.5,"6 to NA","0.93 (0.89 to 0.97)","0.89 (0.84 to 0.94)","0.80 (0.74 to 0.87)","0.63 (0.55 to 0.73)"
"cyt.cat=low",161,22,NA,"NA to NA","0.98 (0.96 to 1)","0.94 (0.9 to 0.98)","0.88 (0.83 to 0.94)","0.82 (0.74 to 0.9)"
"cyt.cat=med",318,96,NA,"6.7 to NA","0.97 (0.95 to 0.99)","0.91 (0.88 to 0.95)","0.86 (0.82 to 0.9)","0.65 (0.59 to 0.72)"
"cyt.bool=0",161,22,NA,"NA to NA","0.98 (0.96 to 1)","0.94 (0.9 to 0.98)","0.88 (0.83 to 0.94)","0.82 (0.74 to 0.9)"
"cyt.bool=1",161,58,6.5,"6 to NA","0.93 (0.89 to 0.97)","0.89 (0.84 to 0.94)","0.80 (0.74 to 0.87)","0.63 (0.55 to 0.73)"
"gender=female",219,68,NA,"6.5 to NA","0.96 (0.94 to 0.99)","0.91 (0.87 to 0.95)","0.81 (0.75 to 0.87)","0.65 (0.58 to 0.73)"
"gender=male",421,108,NA,"9.7 to NA","0.96 (0.95 to 0.98)","0.92 (0.89 to 0.94)","0.87 (0.84 to 0.91)","0.69 (0.64 to 0.75)"
"race=american indian or alaska native",2,0,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"race=asian",11,2,NA,"2.1 to NA","1.00 (1 to 1)","0.90 (0.73 to 1)","0.90 (0.73 to 1)","0.75 (0.5 to 1)"
"race=black or african american",60,10,NA,"4.6 to NA","0.98 (0.95 to 1)","0.94 (0.89 to 1)","0.86 (0.77 to 0.97)","0.64 (0.45 to 0.92)"
"race=white",547,161,NA,"9.7 to NA","0.96 (0.94 to 0.98)","0.91 (0.88 to 0.93)","0.84 (0.81 to 0.88)","0.67 (0.63 to 0.72)"
"tnm_stage=I",311,41,NA,"9.9 to NA","0.98 (0.97 to 1)","0.98 (0.97 to 1)","0.96 (0.94 to 0.99)","0.82 (0.76 to 0.88)"
"tnm_stage=II",74,13,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.94 (0.88 to 1)","0.85 (0.76 to 0.95)"
"tnm_stage=III",159,56,NA,"5.2 to NA","0.95 (0.91 to 0.98)","0.89 (0.85 to 0.94)","0.80 (0.74 to 0.87)","0.58 (0.5 to 0.68)"
"tnm_stage=IV",84,65,1.9,"1.3 to 2.8","0.88 (0.81 to 0.95)","0.63 (0.53 to 0.74)","0.48 (0.38 to 0.6)","0.25 (0.17 to 0.37)"
"TMB.cat=high",306,84,NA,"9.7 to NA","0.96 (0.94 to 0.98)","0.90 (0.86 to 0.93)","0.83 (0.79 to 0.88)","0.68 (0.62 to 0.74)"
"TMB.cat=low",334,92,NA,"6.7 to NA","0.96 (0.94 to 0.98)","0.93 (0.9 to 0.96)","0.87 (0.83 to 0.91)","0.68 (0.63 to 0.75)"
"PDL1.cat0=negative",2,0,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"PDL1.cat0=positive",638,176,NA,"9.7 to NA","0.96 (0.95 to 0.98)","0.91 (0.89 to 0.94)","0.85 (0.82 to 0.88)","0.68 (0.64 to 0.72)"
"PDL1.cat=high",161,35,NA,"9.9 to NA","0.97 (0.95 to 1)","0.93 (0.89 to 0.97)","0.90 (0.86 to 0.95)","0.74 (0.66 to 0.83)"
"PDL1.cat=low",161,52,7.1,"4.7 to NA","0.97 (0.94 to 1)","0.88 (0.83 to 0.93)","0.81 (0.75 to 0.88)","0.58 (0.49 to 0.69)"
"PDL1.cat=med",318,89,NA,"7.6 to NA","0.95 (0.93 to 0.98)","0.92 (0.89 to 0.95)","0.84 (0.8 to 0.89)","0.69 (0.64 to 0.76)"
"age.cat=<65",414,91,NA,"NA to NA","0.97 (0.96 to 0.99)","0.93 (0.9 to 0.95)","0.87 (0.83 to 0.9)","0.72 (0.67 to 0.78)"
"age.cat=>=65",226,85,6.4,"5.4 to 9.9","0.94 (0.91 to 0.97)","0.89 (0.85 to 0.94)","0.82 (0.77 to 0.88)","0.60 (0.53 to 0.69)"
"nmdptc_mut.bool=0",38,18,5.2,"3.4 to NA","0.97 (0.92 to 1)","0.88 (0.78 to 1)","0.82 (0.7 to 0.96)","0.54 (0.39 to 0.74)"
"nmdptc_mut.bool=1",602,158,NA,"9.7 to NA","0.96 (0.95 to 0.98)","0.92 (0.89 to 0.94)","0.85 (0.82 to 0.88)","0.69 (0.65 to 0.74)"
"nmdfs_mut.bool=0",77,38,5.2,"4.1 to NA","0.93 (0.88 to 0.99)","0.83 (0.75 to 0.92)","0.79 (0.7 to 0.89)","0.54 (0.43 to 0.67)"
"nmdfs_mut.bool=1",563,138,NA,"9.9 to NA","0.97 (0.95 to 0.98)","0.93 (0.9 to 0.95)","0.86 (0.83 to 0.89)","0.71 (0.66 to 0.75)"
"nmdns_mut.bool=0",149,42,NA,"5.9 to NA","0.97 (0.95 to 1)","0.94 (0.9 to 0.98)","0.85 (0.8 to 0.91)","0.68 (0.59 to 0.78)"
"nmdns_mut.bool=1",491,134,NA,"9.7 to NA","0.96 (0.94 to 0.98)","0.91 (0.88 to 0.93)","0.85 (0.82 to 0.88)","0.68 (0.63 to 0.73)"
