"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"nmdfs_mean.cat=low",49,14,5.6,"4.6 to NA","0.98 (0.93 to 1)","0.95 (0.89 to 1)","0.87 (0.76 to 0.98)","0.62 (0.44 to 0.87)"
"nmdfs_mean.cat=med",74,12,NA,"6.9 to NA","0.97 (0.93 to 1)","0.94 (0.88 to 1)","0.87 (0.79 to 0.97)","0.72 (0.58 to 0.89)"
"nmdfs_mean.wt.cat=high",70,17,8.5,"8.3 to NA","0.97 (0.93 to 1)","0.88 (0.8 to 0.97)","0.79 (0.69 to 0.91)","0.69 (0.56 to 0.85)"
"nmdfs_mean.wt.cat=low",49,14,5.6,"4 to NA","0.98 (0.93 to 1)","0.95 (0.89 to 1)","0.87 (0.76 to 0.98)","0.57 (0.39 to 0.83)"
"nmdfs_mean.wt.cat=med",74,11,NA,"6.9 to NA","0.98 (0.95 to 1)","0.95 (0.9 to 1)","0.89 (0.81 to 0.98)","0.78 (0.66 to 0.93)"
"nmdns_max.cat=high",49,8,NA,"NA to NA","0.98 (0.93 to 1)","0.93 (0.85 to 1)","0.86 (0.75 to 0.98)","0.72 (0.57 to 0.92)"
"nmdns_max.cat=low",49,13,5.6,"3 to NA","0.96 (0.9 to 1)","0.91 (0.83 to 1)","0.78 (0.65 to 0.93)","0.52 (0.33 to 0.82)"
"nmdns_max.cat=med",95,21,8.5,"6.9 to NA","0.99 (0.96 to 1)","0.94 (0.89 to 0.99)","0.88 (0.81 to 0.96)","0.74 (0.63 to 0.88)"
"nmdns_n_decayed.cat=high",50,9,NA,"7.8 to NA","0.98 (0.93 to 1)","0.95 (0.89 to 1)","0.86 (0.75 to 0.98)","0.78 (0.65 to 0.94)"
"nmdns_n_decayed.cat=low",76,19,5.7,"4.6 to NA","0.99 (0.96 to 1)","0.93 (0.87 to 0.99)","0.83 (0.74 to 0.93)","0.61 (0.45 to 0.81)"
"nmdns_n_decayed.cat=med",67,14,11.2,"5.6 to NA","0.97 (0.92 to 1)","0.91 (0.84 to 0.99)","0.87 (0.78 to 0.96)","0.70 (0.56 to 0.89)"
"nmdns_frac_decayed.cat=high",56,13,NA,"5.6 to NA","1.00 (1 to 1)","0.90 (0.81 to 0.99)","0.85 (0.75 to 0.96)","0.68 (0.53 to 0.88)"
"nmdns_frac_decayed.cat=low",49,13,5.6,"4 to NA","0.98 (0.94 to 1)","0.93 (0.86 to 1)","0.84 (0.73 to 0.97)","0.55 (0.37 to 0.83)"
"nmdns_frac_decayed.cat=med",88,16,11.2,"7.8 to NA","0.96 (0.92 to 1)","0.95 (0.9 to 1)","0.85 (0.77 to 0.95)","0.77 (0.66 to 0.9)"
"nmdns_med.cat=high",49,11,NA,"NA to NA","1.00 (1 to 1)","0.89 (0.8 to 0.99)","0.77 (0.65 to 0.92)","0.70 (0.56 to 0.87)"
"nmdns_med.cat=low",49,11,8.5,"5.6 to NA","0.98 (0.94 to 1)","0.96 (0.9 to 1)","0.86 (0.75 to 0.98)","0.69 (0.51 to 0.92)"
"nmdns_med.cat=med",95,20,8.3,"5.7 to NA","0.96 (0.92 to 1)","0.94 (0.88 to 0.99)","0.89 (0.82 to 0.97)","0.69 (0.56 to 0.85)"
"nmdns_med.wt.cat=high",49,11,NA,"5.7 to NA","1.00 (1 to 1)","0.89 (0.8 to 0.99)","0.80 (0.69 to 0.94)","0.72 (0.57 to 0.9)"
"nmdns_med.wt.cat=low",49,12,8.5,"4 to NA","0.98 (0.94 to 1)","0.96 (0.9 to 1)","0.86 (0.75 to 0.98)","0.61 (0.42 to 0.88)"
"nmdns_med.wt.cat=med",95,19,8.3,"6.9 to NA","0.96 (0.92 to 1)","0.94 (0.88 to 0.99)","0.87 (0.8 to 0.95)","0.71 (0.59 to 0.86)"
"nmdns_mean.cat=high",49,11,NA,"NA to NA","0.98 (0.93 to 1)","0.86 (0.76 to 0.97)","0.77 (0.64 to 0.92)","0.67 (0.52 to 0.87)"
"nmdns_mean.cat=low",49,14,7.8,"3 to NA","0.95 (0.9 to 1)","0.93 (0.86 to 1)","0.81 (0.68 to 0.95)","0.66 (0.49 to 0.87)"
"nmdns_mean.cat=med",95,17,NA,"6.9 to NA","0.99 (0.96 to 1)","0.96 (0.92 to 1)","0.91 (0.85 to 0.98)","0.72 (0.59 to 0.88)"
"nmdns_mean.wt.cat=high",49,12,NA,"5.7 to NA","1.00 (1 to 1)","0.89 (0.8 to 0.99)","0.80 (0.69 to 0.94)","0.67 (0.52 to 0.87)"
"nmdns_mean.wt.cat=low",49,13,5.6,"4 to NA","0.96 (0.9 to 1)","0.93 (0.86 to 1)","0.84 (0.73 to 0.97)","0.55 (0.37 to 0.83)"
"nmdns_mean.wt.cat=med",95,17,11.2,"7.8 to NA","0.97 (0.94 to 1)","0.95 (0.9 to 1)","0.88 (0.81 to 0.96)","0.77 (0.66 to 0.9)"
"cyt.cat=high",49,8,NA,"7.8 to NA","1.00 (1 to 1)","0.98 (0.94 to 1)","0.92 (0.84 to 1)","0.77 (0.61 to 0.97)"
"cyt.cat=low",49,14,11.2,"2.8 to NA","0.91 (0.82 to 1)","0.83 (0.73 to 0.95)","0.78 (0.66 to 0.92)","0.51 (0.32 to 0.81)"
"cyt.cat=med",95,20,8.5,"5.6 to NA","1.00 (1 to 1)","0.95 (0.9 to 1)","0.84 (0.76 to 0.94)","0.71 (0.6 to 0.86)"
"cyt.bool=0",49,14,11.2,"2.8 to NA","0.91 (0.82 to 1)","0.83 (0.73 to 0.95)","0.78 (0.66 to 0.92)","0.51 (0.32 to 0.81)"
"cyt.bool=1",49,8,NA,"7.8 to NA","1.00 (1 to 1)","0.98 (0.94 to 1)","0.92 (0.84 to 1)","0.77 (0.61 to 0.97)"
"race=american indian or alaska native",7,2,NA,"1 to NA","0.83 (0.58 to 1)","0.67 (0.38 to 1)","0.67 (0.38 to 1)","0.67 (0.38 to 1)"
"race=asian",19,2,NA,"2.4 to NA","1.00 (1 to 1)","0.93 (0.82 to 1)","0.93 (0.82 to 1)","0.70 (0.39 to 1)"
"race=black or african american",16,4,6.9,"4 to NA","1.00 (1 to 1)","0.92 (0.79 to 1)","0.82 (0.62 to 1)","0.68 (0.43 to 1)"
"race=native hawaiian or other pacific islander",1,0,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"race=white",138,32,11.2,"5.6 to NA","0.98 (0.95 to 1)","0.93 (0.89 to 0.98)","0.85 (0.78 to 0.92)","0.67 (0.57 to 0.8)"
"TMB.cat=high",95,22,11.2,"6.9 to NA","0.97 (0.94 to 1)","0.94 (0.88 to 0.99)","0.86 (0.77 to 0.94)","0.66 (0.54 to 0.81)"
"TMB.cat=low",98,20,8.5,"5.6 to NA","0.98 (0.95 to 1)","0.92 (0.86 to 0.98)","0.84 (0.76 to 0.93)","0.72 (0.6 to 0.87)"
"PDL1.cat0=negative",1,0,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"PDL1.cat0=positive",192,42,8.5,"6.9 to NA","0.98 (0.95 to 1)","0.93 (0.89 to 0.97)","0.85 (0.79 to 0.91)","0.69 (0.6 to 0.79)"
"PDL1.cat=high",49,11,7.8,"5.7 to NA","1.00 (1 to 1)","0.95 (0.89 to 1)","0.88 (0.78 to 0.98)","0.75 (0.58 to 0.97)"
"PDL1.cat=low",49,9,NA,"4 to NA","0.97 (0.93 to 1)","0.90 (0.8 to 1)","0.83 (0.71 to 0.97)","0.63 (0.44 to 0.89)"
"PDL1.cat=med",95,22,NA,"5.6 to NA","0.96 (0.93 to 1)","0.93 (0.87 to 0.99)","0.85 (0.76 to 0.94)","0.68 (0.56 to 0.82)"
"age.cat=<65",174,34,NA,"7.8 to NA","0.98 (0.96 to 1)","0.93 (0.9 to 0.97)","0.86 (0.8 to 0.92)","0.72 (0.62 to 0.82)"
"age.cat=>=65",19,8,3.2,"2.4 to NA","0.93 (0.8 to 1)","0.86 (0.69 to 1)","0.78 (0.59 to 1)","0.47 (0.24 to 0.9)"
"nmdptc_mut.bool=0",10,2,NA,"2.6 to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.83 (0.58 to 1)","0.62 (0.32 to 1)"
"nmdptc_mut.bool=1",183,40,8.5,"6.9 to NA","0.98 (0.95 to 1)","0.92 (0.88 to 0.97)","0.85 (0.79 to 0.91)","0.69 (0.6 to 0.8)"
"nmdfs_mut.bool=0",69,16,8.5,"8.3 to NA","0.98 (0.96 to 1)","0.90 (0.82 to 0.98)","0.81 (0.7 to 0.92)","0.70 (0.57 to 0.86)"
"nmdfs_mut.bool=1",124,26,NA,"5.6 to NA","0.97 (0.94 to 1)","0.94 (0.9 to 0.99)","0.87 (0.8 to 0.94)","0.68 (0.57 to 0.82)"
"nmdns_mut.bool=0",19,4,NA,"2.6 to NA","1.00 (1 to 1)","0.94 (0.83 to 1)","0.79 (0.61 to 1)","0.63 (0.38 to 1)"
"nmdns_mut.bool=1",174,38,8.5,"6.9 to NA","0.97 (0.95 to 1)","0.93 (0.88 to 0.97)","0.86 (0.8 to 0.92)","0.69 (0.6 to 0.8)"
