cytoband	19p13.3	5q12.1	4q34.3	10q23.31	Xp21.1	22q13.32	2q22.1	16q23.1	1p36.11	6q26	3q13.31	3p14.2	11p15.5	8p21.2	12q23.1	15q15.1	1p36.21	18q23	7p22.3	17q11.2	9p23	11q25	20p12.1	16p13.3	19q13.43	8p23.2	13q14.2	11q14.1	17q21.31	4p15.31	9q34.2	14q13.1	17p11.2	7q31.1	2q37.3	4q22.1	12q24.33	17p13.3	9q21.2	7q11.22	16q21	7q36.1	15q23	13q11	16q22.3	2p25.3	4p16.3	10q21.1	18q21.2	19p12	22q12.1	
	GNA11					CHKB			SLC9A1				DRD4	FP15737		snoU13|ENSG00000238535.1		ZNF516	GPER			MIR3167			MZF1	ARHGEF10			MAP3K14		SNORD36C		UPF3AP2		MIR4440		SNORA49	GEMIN4	RNA5SP288		RPS2P45	RN7SL811P		ZDHHC20		PFN4	RN7SL671P	RN7SKP196	SNORD28|ENSG00000252284.1			
	ZNF554					CPT1B			ARID1A				HRAS	SLC25A37		RN7SL487P		SMIM21	NUDT1			snoU13|ENSG00000238855.1			ZNF132	KBTBD11			FAM187A		SNORD36A		RN7SL17P		FAM132B		RNA5SP378	GLOD4	MIR27B		RNA5SP429	SNORA26|ENSG00000212590.1		RNA5SP25		RN7SL610P	SNORA48|ENSG00000212458.1	snoU13|ENSG00000238970.1	FECH			
	AES					TYMP			NR0B2				IRF7	TNFRSF10A		CCNDBP1		ZADH2	PDGFA			RN7SL351P			ZNF135	FBXO25			CCDC103		SNORD36B		U6|ENSG00000266839.2		SNORD39|ENSG00000263723.1		RNA5SP377	RNMTL1	MIR23B		snoU109|ENSG00000252640.1	snoU13|ENSG00000238557.1		MIPEPP3		UBXN2A	TMED11P	SNORD2|ENSG00000238707.1	U3|ENSG00000212539.1			
	DAPK3					MAPK11			NUDC				PSMD13	RN7SL303P		snoU13|ENSG00000239025.1		RN7SL551P	PRKAR1B			KRT18P59			UBE2M	TDRP			RN7SL405P		SNORD24		CCDC144CP		RBM44		RNA5SP376	VPS53	MIR2278		snoU109|ENSG00000252040.1	RNA5SP250		ESRRAP2		RN7SKP27	RN7SL358P	snoU13|ENSG00000238355.1	TXNL1			
	EEF2					MAPK12			PIGV				RNH1	ADRA1A		MIR627		RN7SL401P	MAFK			SLC37A2			TRIM28	ERICH1			RN7SL819P		ABO		SNORA31|ENSG00000252349.1		COPS8		RAN	NXN	PCAT7		snoU13|ENSG00000238343.1	FABP5P3		RN7SL80P		RNA5SP87	ZNF721	MIR548F1	SNORA73|ENSG00000201816.1			
	GNA15					SBF1			GPATCH3				TALDO1	BNIP3L		MIR4310		MIR548AV	MAD1L1			RNA5SP352			ZNF274	ZNF596			FZD2		snoU13|ENSG00000238657.1		SNORA59B		RN7SL204P		snoU13|ENSG00000238822.1	FAM57A	ZNF169		SLC7A6OS	snoU13|ENSG00000239045.1		SNORD27|ENSG00000252128.1		RN7SL117P	ABCA11P	RNA5SP318	RNA5SP459			
	MATK					PPP6R2			FAM46B				RASSF7	CHRNA2		RNA5SP393		RNA5SP460	EIF3B			TBRG1			SLC27A5	MIR596			RN7SL258P		CELP		MIR1180		MSL3P1		RN7SL534P	FAM101B	snoU13|ENSG00000238792.1		SNORA48|ENSG00000212445.1	RN7SL76P		snoU13|ENSG00000238893.1		TDRD15	MIR571	MIR605	SNORA37			
	NFIC					ZBED4			C1orf172				IFITM1	CLU		MIR626		RN7SL795P	ADAP1			OR10D3			ZNF324				GPATCH8		GTF3C4		SNORD3C		DNAJB3		snoU13|ENSG00000238895.1	C17orf97	MIRLET7DHG		CTRL	MIR3907		HNRNPA1P30		GDF7	ZNF141	RMRPP4	DCC			
	MAP2K2					SCO2			TRNP1				IFITM3	DPYSL2		RN7SL497P		CDH7	SUN1			U8|ENSG00000200496.1			CHMP2A				U3|ENSG00000221496.1		SNORA67|ENSG00000212395.1		SNORD3A		UGT1A3		MIR3612		CENPP		NUTF2	MIR671		MIR4499		RNA5SP86	ZNF732	RNA5SP317	snoU13|ENSG00000238885.1			
	SGTA					RABL2B							DEAF1	EGR3		RN7SL376P		CYB5A	INTS1			SNORD14C			ZNF544				RN7SL507P		RN7SL328P		GRAPL		SCARNA6|ENSG00000251791.1		TMEM132C		SNORA84		RN7SKP118	IQCA1P1		LINC00556		RN7SL140P	ZNF876P	LINC00843	RN7SL695P			
	TBXA2R					MLC1							IFITM2	EPHX2		snoU13|ENSG00000238559.1		MBP	SNX8			SNORD14D			ZNF446				U3|ENSG00000221044.1		SNORD62B		SNORD3D		SCARNA5		LINC00508		snoU13|ENSG00000238996.1		TRADD	CDK5		snoU13|ENSG00000238665.1		LINC00954	ZNF718	SNORA74|ENSG00000223111.1	ME2			
	THOP1					MAPK8IP2							PKP3	PTK2B		LINC00594		NFATC1	FTSJ2			SNORD14E			ZSCAN18				C17orf105		SNORD62A		GRAP		RN7SL32P		LINC00507		LINC00475		RN7SL543P	SSPO		RN7SL166P		SNORA40|ENSG00000212455.1	ZNF595	SNORA74|ENSG00000223182.1	RNA5SP458			
	TLE2					PLXNB2							SIRT3	GNRH1		RNA5SP392		ZNF236	GET4			snoU13|ENSG00000239079.1			RPL23AP79				LINC00910		PRRC2B		FAM83G		snoU13|ENSG00000239170.1		LINC00944		LINC00484		LINC00920	SNORD112|ENSG00000252557.1		PSPC1		RN7SKP168	ADD1	RNA5SP316	RN7SL310P			
	S1PR4					BRD1							BET1L	LOXL2		LINC00984		CTDP1	CYP2W1			RNU4ATAC5P			ZNF329				LINC00854		SNORA31|ENSG00000252582.1		RN7SL627P		RN7SL359P		LINC00943		MIR3153		RNA5SP428	RN7SL521P		LINC00350		SNORA40|ENSG00000251704.1	ADRA2C	FAM25D	RNA5SP457			
	APBA3					FAM19A5							CEND1	NEFM		snoU13|ENSG00000238564.1		SOCS6	HEATR2			RNU4ATAC10P			ZNF606				SNORA40|ENSG00000212149.1		snoU13|ENSG00000238298.1		ZNF286B		CHRND		LINC00939		SHC3		LINC00922	RNY1		LINC00421		RN7SL104P	ATP5I	FAM21D	SCARNA18|ENSG00000252139.1			
	HMG20B					NCAPH2							CDHR5	PPP2R2A		THBS1		TSHZ1	CHST12			ACRV1			ZBTB45				RNY4P2		RN7SL665P		TBC1D28		ECEL1P2		TMEM132B		U3|ENSG00000252299.1		CDH11	RNY3		TUBA3C		MYCNOS	CTBP1	PARG	SCARNA17|ENSG00000251992.1			
	ZFR2					MOV10L1							PIDD	PPP3CC		FAM98B		CD226	MICALL2			APLP2			ZNF837				G6PC		HMCN2		RN7SL639P		MIR562		BRI3BP		U6|ENSG00000271923.1		snoU13|ENSG00000238507.1	RNY4		RNA5SP24		snoU13|ENSG00000238371.1	DGKQ	C10orf53	SCARNA17|ENSG00000267322.1			
	PIP5K1C					MIOX							PNPLA2	STC1		U3|ENSG00000212511.1		TXNL4A	PSMG3			CHEK1			ZNF497				AOC4P		ASB6		KRT16P1		NPPC		RPL22P19		SPATA31C1		RN7SKP76	RNY5		LINC00442		LINC00276	FGFR3	DRGX	SNORD58B			
	TJP3					PANX2							PHRF1	ADAM7		CSNK1A1P1		ADNP2	C7orf50			ETS1			ZNF584				CNTD1		LINC00963		KRT17P2		MGC4771		DNAH10OS		SNORA26|ENSG00000212421.1		RN7SL143P	RN7SL569P		PHF2P2		MIR3125	GAK	C10orf128	SNORD58A			
	NMRK2					CRELD2							SIGIRR	TNFRSF10D		MIR3942		RTTN	ZFAND2A			FLI1			ZSCAN1				CCR10		RN7SL159P		SMCR8		RN7SL499P		EIF2B1		RN7SKP264		SLC38A7	RN7SL72P		LINC00387		SNORD18|ENSG00000238503.1	GRK4	WDFY4	SNORD58C			
	SLC39A3					ADM2							RIC8A	TNFRSF10C		ANP32AP1		KCNG2	GPR146			HSPA8			ZSCAN22				HSD17B1		ABL1		snoU13|ENSG00000238691.1		AGXT		SNORA9|ENSG00000206897.1		IDNK		snoU13|ENSG00000239121.1	U3|ENSG00000199370.1		LINC00388		MIR548S	HTT	RNA5SP315	C18orf32			
	ZBTB7A					TRABD							EPS8L2	TNFRSF10B		GJD2		CDH19	TMEM184A			STT3A			ZNF324B				MIR5010		ASS1		MIR33B		ALPI		SNRNP35		SNORD112|ENSG00000252256.1		SNORA50|ENSG00000206952.2	RN7SL456P		LINC00349		RN7SL674P	HGFAC	RN7SL527P	MIR4744			
	NCLN					HDAC10							SLC25A22	ENTPD4		SNORA18|ENSG00000252425.1		TIMM21				KCNJ1			MIR4754				MIR548AT		CEL		SMCR5		ALPP		RNA5SP375		snoU13|ENSG00000238608.1		SNORA46|ENSG00000207493.1	RNA5SP249		FGF9		RNA5SP85	IDUA	GLUD1P2	MIR4743			
	ZNF77					SHANK3							ATHL1	SORBS3		SLC12A6		TMX3				VWA5A							ZNF385C		COL5A1		SMCR2		ALPPL2		RN7SL133P		RN7SKP242		RN7SL645P	RN7SL207P		GJA3		RNA5SP84	LETM1	RNA5SP314	RNA5SP456			
	CACTIN					TUBGCP6							PTDSS2	PNMA2		TMCO5B		ZNF407				NFRKB							TTC25		DBH		RN7SL775P		KIF1A		MIR4304		SPATA31D3		TEPP	RN7SKP174		GJB2		LINC00570	MYL5	RNA5SP313	IER3IP1			
	CELF5					LMF2							LRRC56	ADAM28		SNORD77|ENSG00000212415.1		CNDP2				NRGN							RN7SL871P		SARDH		TBC1D27		BOK		HCAR1		SPATA31D4		MT1DP	RNU6ATAC40P		SGCG		RN7SL832P	PDE6B	ASAH2C	RNF165			
	TLE6					KLHDC7B							SCGB1C1	TRIM35		snoU13|ENSG00000238342.1		CCDC102B				OPCML							RN7SL399P		TOR1A		KRT17P1		CHRNG		SNORA9|ENSG00000252192.1		SPATA31D5P		MT1M	OR2A9P		ZMYM2		SNORA80B	RGS12	C10orf43	RN7SKP26			
	ZNF556					C22orf34							NLRP6	RHOBTB2		RN7SL286P		PQLC1				ST3GAL4							RNA5SP442		FCN1		KRT16P2		COL6A3		ZCCHC8		SNORD95|ENSG00000200969.1		MT1E	OR2A20P		IFT88		SNORA51|ENSG00000206898.1	RNF4	ANTXRLP1	RNA5SP455			
	DOHH					IL17REL							C11orf35	SLC39A14		RN7SL539P		NETO1				SRPR							EIF1		FCN2		USP32P1		DTYMK		MLXIP		RNA5SP287		MT1L	CTAGE15		ZMYM5		RN7SL66P	SH3BP2	RN7SL453P	RNA5SP454			
	CREB3L3					PIM3							EFCAB4A	ADAMDEC1		GOLGA8O		PARD6G				ST14							KRT42P		RAPGEF1		RN7SL620P		GBX2		BCL7A		TLE4		MT2A	RN7SL481P		SAP18		SNORA2|ENSG00000206647.1	WHSC1	BMS1P2	LINC00907			
	RAX2					ODF3B							ANO9	SCARA3		U8|ENSG00000206987.1		CNDP1				ZNF202							ACLY		LCN1		ZNF287		GPC1		ORAI1		RN7SKP59		OGFOD1	RN7SL535P		GJB6		SNORA26|ENSG00000212558.1	NELFA	RNA5SP312	PIK3C3			
	ATCAY					SYCE3							B4GALNT4	KCTD9		ULK4P1		DSEL				BARX2							AOC2		PAEP		MIR1288		GPR35		SNORA70|ENSG00000201945.1		GNAQ		MIR3935	OR6W1P		SACS		snoU13|ENSG00000238462.1	SLBP	AGAP10	LINC00669			
	MRPL54					MIR3201							PDDC1	PIWIL2		RN7SL185P		FAM69C				EI24							ARL4D		RALGDS		RN7SL442P		HDLBP		ACADS		PCA3		IRX6	TRBV30		LATS2		IAH1	NOP14	LINC00842	RN7SKP182			
	ZNF57					MIR3667							IFITM5	ELP3		GOLGA8K		CBLN2				FEZ1							ATP6V0A1		RPL7A		RNA5SP436		INPP5D		SCARB1		snoU13|ENSG00000238598.1		RN7SL841P	TRBC2		CRYL1		snoU13|ENSG00000238888.1	FAM193A	GPRIN2	ATP5A1			
	MFSD12					MIR4535							MIR210	CCDC25		CHRNA7		FBXO15				ARHGAP32							BRCA1		SURF1		ZNF286A		KCNJ13		STX2		RNY4P1		CRNDE	PRSS3P2		IL17D		MBOAT2	MFSD10	RN7SL248P	BCL2			
	GIPC3													PBK		SNORA18|ENSG00000206849.1		GTSCR1				ADAMTS8							FMNL1		SURF2		SNORA74|ENSG00000252129.1		NDUFA10		GOLGA3		RN7SKP47		FTO	TRBV28		MPHOSPH8		RNU6ATAC37P	MAEA	FAM35BP	CDH7			
	DIRAS1													BIN3		MIR211		DOK6				IGSF9B							CNP		SURF4		CDRT1		SEPT2		GTF2H3		RNA5SP286		RNA5SP427	TRBV27		XPO4		RN7SKP112	PCGF3	RNA5SP311	KDSR			
	ZNF555													KIAA1967		RN7SL82P		LINC00908				NCAPD3							CRHR1		MED22		RN7SL792P		NEU2		HPD		snoU13|ENSG00000238402.1		snoU13|ENSG00000238645.1	TRBV19		MRP63		FLJ30594	SPON2	RNA5SP310	GRP			
	C19orf77													PDLIM2		U8|ENSG00000252602.1		ATP9B				VSIG2							DHX8		SURF6		MIR4731		PDCD1		MMP17		RNA5SP285		CASC16	TRBV9		TPTE2		SNORA31|ENSG00000252238.1	TACC3	FAM25E	LMAN1			
	C19orf71													EBF2		RN7SL628P		LINC00909				OR8B8							DUSP3		TSC1		snoU13|ENSG00000238806.1		PDE6D		P2RX4		MIR204		LINC00919	TRBV2		N6AMT2		RN7SL531P	MXD4	RSU1P2	SMAD2			
														DOCK5		GOLGA8H		HSBP1L1				OR8B2							ETV4		TTF1		CDRT8		PPP1R7		P2RX7		RN7SL570P		RN7SKP142	PRSS3P3		SKA3		DCDC2C	CPLX1	CEP164P1	SMAD4			
														STMN4		U8|ENSG00000207430.1		C18orf63				ACAD8							EZH1		VAV2		CDRT7		PTMA		POLE		CBWD3		HNRNPA1P48	MOXD2P		MICU2		SNORA73|ENSG00000252531.1	SLC26A1	TMEM72	SMAD7			
														CHMP7		ULK4P2		MIR5011				B3GAT1							GAST		BRD3		HS3ST3B1		SAG		PSMD9		PGM5P2		RNA5SP426	OR9A1P				snoU13|ENSG00000238722.1	NSG1	LINC00841	MBD1			
														PEBP4		RN7SL796P						DCPS							KAT2A		NUP214		CDRT15		SPP2		PXMP2		RNA5SP284		NKD1	OR9A3P				TMEM18	STX18	LINC00840	MC4R			
														CDCA2		GOLGA8Q						ZBTB44							GFAP		LHX3		SNORA74|ENSG00000252305.1		DGKD		CLIP1		SNORA70|ENSG00000252878.1		SNORD112|ENSG00000252077.1	AGK				FAM110C	FGFRL1	LINC00619	MYO5B			
														ESCO2		RN7SL196P						THYN1							GRN		GFI1B		MIR548H3		PER2		SFSWAP		RN7SL787P		snoU13|ENSG00000238544.1	U6|ENSG00000271932.1				ACP1	PIGG	ZNF487	NARS			
														R3HCC1		GOLGA8R						DDX25							HCRT		FUBP3		RN7SL550P		LRRFIP1		HNF1A		RNA5SP283		SNORA70|ENSG00000252526.1	RN7SL771P				ADCY3	LYAR	U3|ENSG00000221400.1	SERPINB2			
														SCARA5		U8|ENSG00000238519.1						NTM							IFI35		GTF3C5		MIR744		ECEL1		UBC		RN7SL544P		RNY4P3	RNA5SP248				APOB	UVSSA	RNU6ATAC11P	ATP8B1			
														NUGGC		RN7SL469P						CDON							ITGA2B		MED27		RPL21P122		EIF4E2		ZNF10		SNORA70|ENSG00000252133.1		snoU13|ENSG00000239038.1	snoU13|ENSG00000238868.1				RHOB	ZFYVE28	snoU13|ENSG00000238732.1	SERPINB5			
														C8orf58		GOLGA8T						SPA17							JUP		PTGES		RN7SL601P		HDAC4		ZNF26		FAM27E1		snoU13|ENSG00000239013.1	RNA5SP247				CENPA	TNIP2	ZNF33B	SERPINB8			
														MIR548H4		U8|ENSG00000207432.1						SIAE							KRT17		ADAMTSL2		LINC00675		FARP2		ZNF84		RN7SL722P		RN7SL54P	KLRG2				DDX1	HAUS3	ZNF37BP	SERPINB10			
														MIR3622B		ULK4P3						ROBO4							NBR1		PPP1R26		MAGOH2		ARL4C		CDK2AP1		SNORA70|ENSG00000252617.1		LONP2	LUC7L2				DNMT3A	MFSD7	CCNYL2	SERPINB13			
																RN7SL673P						FOXRED1							MAPT		LAMC3		ADPRM		RAMP1		ULK1		FAM27E2		RNA5SP425	SNORA40|ENSG00000252188.1				DTNB	TMEM175	ALOX5	PMAIP1			
																GOLGA8J						SCN3B							ADAM11		UBAC1		RCVRN		NMUR1		DENR		RN7SL565P		RNA5SP424	snoU13|ENSG00000239123.1				E2F6	TMEM128	ANXA8L2	MAPK4			
																snoZ278						CRTAM							MEOX1		OLFM1		GLP2R		STK25		OASL		RN7SL343P		ITFG1	SNORA51|ENSG00000201465.1				FKBP1B	TMEM129	ANK3	RAB27B			
																GOLGA6L7P						PRDM10							MPP2		POMT1		ADORA2B		CAPN10		HCAR3		FAM95B1		snoU13|ENSG00000238834.1	snoU13|ENSG00000238984.1				HADHA	OTOP1	CDK1	RIT2			
																WHAMMP2						GRAMD1B							MPP3		USP20		ALDH3A1		PASK		HIP1R		SNORA70|ENSG00000252724.1		MYLK3	snoU13|ENSG00000239145.1				HADHB	FAM53A	CHAT	RPL17			
																RN7SL719P						PKNOX2							NAGLU		WDR5		ALDH3A2		ATG4B		PIWIL1		RN7SL763P		VPS35	RN7SKP223				HPCAL1	ZBTB49	EGR2	SERPINB3			
																GOLGA8M						TP53AIP1							NMT1		C9orf9		COX10		SH3BP4		CABP1		FAM74A6		ANKRD26P1	SNORD81|ENSG00000202023.1				ID2	CRIPAK	ERCC6	SERPINB4			
																RN7SL829P						ROBO3							PPY		ADAMTS13		DNAH9		NGEF		NCOR2		FAM74A2		RNA5SP423	snoU13|ENSG00000238488.1				KCNF1	DOK7	GDF2	SLC14A1			
																RN7SL238P						FAM118B							PYY		CACFD1		DRG2		SNED1		KNTC1		RN7SL422P		RNA5SP422	LUZP6				KCNS3	RNF212	GDF10	SYT4			
																GOLGA8F						MSANTD2							RAB5C		SLC2A6		FLII		GIGYF2		MLEC		FAM74A1		RNA5SP421	C7orf73				KIF3C	NAT8L	HNRNPF	TCF4			
																ACTC1						CLMP							RPL27		FNBP1		KCNJ12		TRAF3IP1		MPHOSPH9		RN7SL462P		RNA5SP420	U6|ENSG00000272393.1				MATN3	POLN	MBL2	SLC14A2			
																APBA2						C11orf63							SLC4A1		SETX		LLGL1		ANO7		CAMKK2		FAM74A5		RNA5SP419	SNORD46|ENSG00000201009.1				MYCN	C4orf48	MSMB	SERPINB7			
																BUB1B						CCDC15							STAT3		EXOSC2		MFAP4		PRLH		ZNF268		RN7SL640P		RNA5SP418	MIR29B1				ODC1	MIR4800	NPY4R	TNFRSF11A			
																CAPN3						PUS3							STAT5A		NCS1		MYH1		THAP4		TMED2		FAM201A		RNA5SP417	MIR29A				POMC		PRKG1	MBD2			
																CHRM5						JAM3							STAT5B		GPSM1		MYH2		ANKMY1		FZD10		ALDH1A1		RNA5SP416	RNA5SP246				RPS7		MAPK8	PSTPIP2			
																CKMT1B						KIRREL3							MLX		GBGT1		MYH3		SCLY		P2RX2		ANXA1		RNA5SP415	COPG2				RRM2		RBP3	PIAS2			
																EPB42						RPUSD4							DNAJC7		TOR1B		MYH4		ASB1		SETD1B		APBA1		RNA5SP413	MIR335				SDC1		RET	LIPG			
																GANC						UBASH3B							TUBG1		NTMT1		MYH8		UGT1A10		ANKLE2		AUH		RNA5SP410	snoU13|ENSG00000239044.1				SOX11		CXCL12	ONECUT2			
																GCHFR						GLB1L2							UBTF		OBP2B		PMP22		UGT1A7		ABCB9		KLF9		RNA5SP409	snoU13|ENSG00000238336.1				ADAM17		SLC18A3	VPS4B			
																PDIA3						ESAM							RND2		OBP2A		MAPK7		UGT1A6		RIMBP2		CKS2		RNA5SP408	RNA5SP245				TPO		TFAM	CTIF			
																ITPKA						VPS26B							CNTNAP1		MRPS2		MAP2K3		UGT1A5		ATP6V0A2		CTSL		RNA5SP407	RNA5SP244				TSSC1		UBE2D1	ACAA2			
																IVD						GLB1L3							AOC3		PRRX2		PRPSAP2		UGT1A9		GALNT9		DAPK1		RNA5SP406	TSPAN33				VSNL1		ZNF22	MALT1			
																LTK						TIRAP							BECN1		C9orf78		SCO1		UGT1A4		ARL6IP4		ECM2		LINC00273	snoU13|ENSG00000238733.1				PXDN		ZNF32	POLI			
																MAP1A						PANX3							HAP1		BARHL1		MAP2K4		UGT1A8		POP5		S1PR3		ARHGAP23P1	RN7SL306P				KLF11		ZNF33B	PHLPP1			
																MEIS2						TMEM45B							EFTUD2		REXO4		SHMT1		UGT1A1		ANAPC5		FANCC		HERC2P8	KCP				NCOA1		CCDC6	NEDD4L			
																MFAP1						PATE1							PLEKHM1		KCNT1		SREBF1		ATG16L1		RHOF		FBP1		HERC2P5	RN7SL81P				ASAP2		NCOA4	WDR7			
																TRPM1						ADAMTS15							LRRC37A		GPR107		TOP3A		USP40		SBNO1		FOXE1		TP53TG3	CALU				TAF1B		ZNF239	PIGN			
																PLCB2						C11orf45							HDAC5		PRDM12		UBB		HJURP		CHFR		FXN		TP53TG3D	RNA5SP243				ITGB1BP1		BMS1	SETBP1			
