cytoband	9p21.3	11q23.3	10q23.31	4q34.3	2q37.3	6q26	15q21.1	5q31.3	1p36.31	3q13.31	1p22.1	10p15.3	16p13.3	10q26.3	12q23.3	5q12.1	19p13.3	15q13.3	5p15.31	8p23.3	Xp21.1	9p23	14q23.3	4p16.3	13q34	16q24.3	6q21	10q21.1	3p25.1	14q32.31	16q23.1	17p13.3	11p15.5	16q12.1	
		snoU13|ENSG00000238724.1			GPR35			THG1L	TMEM240		ATP1A1OS				RNA5SP378		ARID3A	RN7SL185P	RN7SL58P	TDRP				MIR943	LINC00404	ZFPM1	LINC00473	SNORA74|ENSG00000223182.1	RNA5SP133	IGHJ4	ZFPM1	ABR		TEPP	
		ATF4P4			HDLBP			RNA5SP199	RN7SL657P		U3|ENSG00000221040.1				RNA5SP377		CFD	GOLGA8K	SNORD81|ENSG00000212278.1	ERICH1				SCARNA22	SNORD44	ZNF469	SDIM1	RNA5SP316	RN7SKP45	IGHJ5	ZNF469	CRK		MT1DP	
		APOA1			NDUFA10			RN7SL439P	TAS1R3		SNORA42|ENSG00000207502.1				RNA5SP376		MIR4745	CHRNA7	FTH1P10	ZNF596				RN7SL671P	LINC00354	FLJ00104	RNA5SP226	FAM25D	MIR3938	IGHJ6	FLJ00104	MYO1C		MT1M	
		APOA4			SEPT2			RN7SL655P	RNF223		RN7SL420P				RAN		RNA5SP462	SNORA18|ENSG00000206849.1	RN7SKP133	MIR596				SNORA48|ENSG00000212458.1	LINC00346	FBXO31	RN7SL366P	FAM21D	ESRG	IGHM	FBXO31	SERPINF1		MT1E	
		APOC3			PPP1R7			MIR1294	FAM41C		RN7SL432P				snoU13|ENSG00000238822.1		OR4F17	MIR211	RNA5SP180					TMED11P	LINC00567	snoU13|ENSG00000239186.1	CAHM	PARG	CHDH	IGHD	snoU13|ENSG00000239186.1	PITPNA		MT1L	
		HTR3A			HDAC4			RN7SL177P	FAM87B		DENND2C				RN7SL534P		FAM138F	RN7SL82P	RNA5SP179					RN7SL358P	snoU13|ENSG00000238629.1	FENDRR	snoU13|ENSG00000239136.1	C10orf53	SNORD63|ENSG00000251987.1	IGHG3	FENDRR	SERPINF2		MT2A	
		NNMT			CAPN10			RNA5SP198	OR4F5		BCL2L15				snoU13|ENSG00000238895.1		WASH5P	U8|ENSG00000252602.1	RNA5SP178					ZNF721	RN7SL783P	LINC00917	AIRN	DRGX	SNORA26|ENSG00000212608.1	IGHG1	LINC00917	RPA1		OGFOD1	
		PAFAH1B2			PASK			RN7SKP232	FAM138A		LRIG2				MIR3612		ATP5D	RN7SL628P	MIR887					ABCA11P	RN7SKP10	GINS2	SNORA29	C10orf128	SNORD38|ENSG00000207109.1	IGHA1	GINS2	YWHAE		MIR3935	
		TAGLN			SNED1			RNA5SP197	DDX11L1		snoU13|ENSG00000238975.1				TMEM132C		AZU1	GOLGA8H	U8|ENSG00000202269.1					MIR571	LINC00676	RN7SL381P	SNORA20|ENSG00000207392.1	WDFY4	RN7SL821P	IGHG2	RN7SL381P	SCARF1		IRX6	
		ZBTB16			ANO7			ZNF300P1	CDK11B		WNT2B				LINC00508		HCN2	U8|ENSG00000207430.1	MIR4637					ZNF141	RNA5SP39	LINC00311	RNU4ATAC18P	RNA5SP315	snoU13|ENSG00000238565.1	IGHG4	LINC00311	RPH3AL		RN7SL841P	
		HTR3B			ANKMY1			snoU13|ENSG00000239191.1	DFFB		snoU13|ENSG00000238761.1				LINC00507		BSG	ULK4P2	FAM105A					ZNF732	MIR1267	TLDC1	C6orf99	RN7SL527P	MUSTN1	IGHE	TLDC1	PRPF8		CRNDE	
		ZW10			C2orf54			snoU13|ENSG00000238369.1	DVL1		snoU13|ENSG00000239111.1				LINC00944		CDC34	RN7SL796P	CT49					ZNF876P	SNORD31	RNA5SP433	RN7SL173P	GLUD1P2	SNORD69	IGHA2	RNA5SP433	GEMIN4		FTO	
		RBM7			TWIST2			MIR378A	GABRD		ATP5F1				LINC00943		CIRBP	GOLGA8Q	ANKRD33B					ZNF718	LINC00443	KCNG4	MIR3692	RNA5SP314	SNORD19|ENSG00000222345.1	CRIP1	KCNG4	GLOD4		RNA5SP427	
		CEP164			MTERFD2			RN7SL868P	GNB1		PGCP1				LINC00939		CNN2	RN7SL196P	CMBL					ZNF595	LINC00551	RNA5SP432	snoU13|ENSG00000252609.1	CHAT	SNORD19B|ENSG00000238862.1	C14orf79	RNA5SP432	INPP5K		snoU13|ENSG00000238645.1	
		SIK3			OTOS			U3|ENSG00000221043.1	ZBTB48		DENND2D				TMEM132B		CSNK1G2	GOLGA8R	FAM173B					ADD1	ARGLU1	MIR3182	SNORD28|ENSG00000212295.1	ERCC6	SNORD19|ENSG00000212493.1	LINC00638	MIR3182	RNMTL1		CASC16	
		BACE1			MYEOV2			MIR143HG	PEX10		RNA5SP54				BRI3BP		EFNA2	U8|ENSG00000238519.1	RNA5SP177					ADRA2C	LINC00460	RN7SL134P	TFB1M	MBL2	SNORD19B|ENSG00000252787.1	ZBTB42	RN7SL134P	VPS53		LINC00919	
		CADM1			OR6B3			RN7SKP145	PRKCZ		CYMP				RPL22P19		ELANE	RN7SL469P	SNORD123					ATP5I	RNA5SP38	snoU13|ENSG00000238321.1	U8|ENSG00000238963.1	MSMB	RNU6ATAC16P	C14orf144	snoU13|ENSG00000238321.1	NXN		RN7SKP142	
		REXO2			DUSP28			MIR584	RPL22		SNORA25|ENSG00000200536.1				DNAH10OS		GAMT	GOLGA8T	MIR4636					CRMP1	SNORA25|ENSG00000252550.1	RN7SKP190	CNKSR3	PRKG1	SMIM4	RN7SL634P	RN7SKP190	FAM57A		HNRNPA1P48	
		SIDT2			AQP12A			SH3TC2	SCNN1D		ALX3				EIF2B1		MKNK2	U8|ENSG00000207432.1	RNA5SP176					CTBP1	LINC00344	7SK|ENSG00000260682.2	RNA5SP225	MAPK8	MIRLET7G	LINC00637	7SK|ENSG00000260682.2	RILP		RNA5SP426	
		C11orf71			OR6B2			SPINK13	SKI		RNU6V				SNORA9|ENSG00000206897.1		GPX4	ULK4P3	RN7SKP79					DGKQ	LINC00343	AFG3L1P	RNA5SP224	SLC18A3	TLR9	SNORD51|ENSG00000202275.1	MIR4720	SMYD4		NKD1	
		NXPE4			PRR21			RN7SL791P	TP73		GNAI3				SNRNP35		GZMM	RN7SL673P	UBE2QL1					EVC	METTL21EP	APRT	RNA5SP223	NCOA4	LINC00696	APOPT1	GAN	SLC43A2		SNORD112|ENSG00000252077.1	
		USP28			AQP12B			RNA5SP196	TNFRSF4		KIAA1324				RNA5SP375		PALM	GOLGA8J	RN7SKP73					FGFR3	RNY5P8	C16orf3	snoU13|ENSG00000238939.1	ZWINT	ACY1	SNORA28	PKD1L2	WDR81		snoU13|ENSG00000238544.1	
		TMPRSS5			MIR4269			GPR151	MMP23B		SCARNA2				RN7SL133P		POLRMT	snoZ278	NDUFS6					GAK	LINC00283	CA5A	RN7SKP268	DKK1	RN7SL504P	LINC00605	CMC2	TUSC5		SNORA70|ENSG00000252526.1	
		BUD13			MIR4786			RN7SKP246	KCNAB2		TMEM167B				MIR4304		PRTN3	GOLGA6L7P	SDHAP3					GRK4	CCDC168	CBFA2T3	RNY4P20	CSTF2T	IQCF6	LINC00677	RNA5SP431	FAM101B		RNY4P3	
		APOA5						KCTD16	TNFRSF25		TAF13				HCAR1		PTBP1	WHAMMP2	MIR4635					HTT	snoU13|ENSG00000238869.1	CDH13	snoU13|ENSG00000238594.1	PTPN20B	RNA5SP132	snoU13|ENSG00000238853.1	PIH1	C17orf97		snoU13|ENSG00000239038.1	
		NXPE1						RN7SL87P	TNFRSF14		SPATA42				SNORA9|ENSG00000252192.1		RPS15	RN7SL719P	ZDHHC11B					HGFAC	LINC00555	CDH15	RAET1K	A1CF	RNU6ATAC29P	RN7SL546P	AFG3L1P	MIR22HG		snoU13|ENSG00000239013.1	
		NXPE2						RN7SL68P	TNFRSF18		NBPF5P				ZCCHC8		STK11	GOLGA8M	CCDC127					IDUA	MIR4705	COX4I1	SNORA2|ENSG00000202343.1	OGDHL	VPRBP	snoU13|ENSG00000239061.1	APRT			RN7SL54P	
		RNF214						PCDHGB8P	ISG15		SLC25A24P1				MLXIP		TCF3	RN7SL829P	LRRC14B					LETM1	RNY1P2	CYBA	GINM1	ASAH2	RNA5SP131	RN7SL472P	C16orf3			LONP2	
		CLDN25						PCDHB18	PLCH2		RN7SKP285				BCL7A		MADCAM1	RN7SL238P	PLEKHG4B					MSX1	MIR2681	DPEP1	ZC3H12D	ARHGAP22	SEMA3B	LINC00524	CA5A			RNA5SP425	
								PCDHB17	CEP104		snoU13|ENSG00000238296.1				ORAI1		PPAP2C	GOLGA8F	ADCY2					MYL5	FGF14	FANCA	RN7SL234P	PCDH15	SLC38A3	U3|ENSG00000206761.1	CBFA2T3			RNA5SP424	
								PCDHA14	KLHL21		SCARNA16|ENSG00000252765.1				SNORA70|ENSG00000201945.1		AP3D1	APBA2	CDH9					PDE6B	LINC00411	FOXF1	STXBP5	C10orf71	GNAT1	MEG9	CDH13			ITFG1	
								WDR55	SLC35E2		DPH5				GATC		MED16	TRPM1	CDH10					RGS12	GGACT	FOXL1	RNA5SP222	FRMPD2	MIR566	MIR369	CDH15			snoU13|ENSG00000238834.1	
								MIR3655	RER1		MIR553				RPS27P25		FSTL3	SCG5	CDH12					RNF4	LINC00554	FOXC2	FBXO30	FAM170B	RN7SL217P	MIR377	COX4I1			MYLK3	
								SNORA27|ENSG00000200235.1	ACOT7		LPPR5				MIR4498		APC2	TJP1	CDH18					SH3BP2	snoU13|ENSG00000238305.1	GALNS	STX11	VSTM4	MIR5193	MIR485	CYBA			VPS35	
								SNORD45|ENSG00000200051.1	ICMT		RN7SKP270				snoU13|ENSG00000272464.1		ABCA7	ARHGAP11A	CTNND2					WHSC1	SNORA25|ENSG00000201245.1	GAS8	PEX3	SGMS1	RNA5SP130	MIR134	DPEP1			ANKRD26P1	
								CYSTM1	CHD5		RN7SL831P				MIR1178		UQCR11	FAN1	DAP					NELFA	MIR4306	HSBP1	RNA5SP221	FAM21A	C3orf62	MIR382	FANCA			RNA5SP423	
								PURA	NOC2L		ALG14				RN7SKP197		SBNO2	FAM189A1	DNAH5					SLBP	RNY3P6	HSD17B2	ADAT2	BMS1P5	RN7SL182P	MIR381HG	FOXF1			RNA5SP422	
								TMEM173	ARHGEF16		snoU13|ENSG00000238389.1				RN7SL508P		HMHA1	GREM1	MTRR					NOP14	LINC00449	IRF8	VTA1	AGAP6	NDUFAF3	MIR376A1	FOXL1			RNA5SP421	
								ECSCR	SSU72		RN7SL440P				SNORA38|ENSG00000201042.1		SHC2	KLF13	MYO10					FAM193A	MIR623	MC1R	GJE1	LRRC18	MIR4793	MIR376C	FOXC2			RNA5SP420	
								RN7SKP64	WRAP73		ARHGAP29				RNA5SP374		DAZAP1	MTMR10	PMCHL1					C4orf6	RN7SKP9	MVD	RN7SKP106	FAM25C	TMEM89	MIR380	GALNS			RNA5SP419	
								RNA5SP195	SDF4		GCLM				HRK		FGF22	NDNL2	SDHA					MFSD10	RN7SL60P	CHMP1A	RNA5SP220	TIMM23B	MIR711	MIR299	GAS8			RNA5SP418	
								SNORA74A	MXRA8		DNTTIP2				MAP1LC3B2		THEG	CHRFAM7A	SLC6A3					MAEA	RN7SKP8	PLCG2	MIR3145	AGAP7	RN7SL321P	MIR379	GCSH			RNA5SP417	
								SNORA74|ENSG00000252213.1	HES2		RNA5SP53				LINC00173		MBD3	ARHGAP11B	SLC9A3					PCGF3	snoU13|ENSG00000238407.1	RPL13	HEBP2	ASAH2B	MIR2115	SNORD113|ENSG00000222185.1	HSBP1			RNA5SP416	
								RNA5SP194	CPSF3L		DR1				MIR620		MIER2	OTUD7A	SRD5A1					SPON2	RAP2A	SPG7	SNORD112|ENSG00000252476.1	AGAP8	RN7SL664P	SNORD112|ENSG00000252009.1	HSD17B2			RNA5SP415	
								RN7SL867P	C1orf159		RN7SKP123				SNORD56|ENSG00000200112.1		PCSK4	GOLGA8G	TERT					TACC3	RNA5SP37	SLC7A5	SNORA27|ENSG00000201807.1	TIMM23	MIR1226	SNORD113|ENSG00000222095.1	IRF8			RNA5SP413	
								snoU13|ENSG00000238745.1	AURKAIP1		RN7SL692P				RN7SL865P		BTBD2	FMN1	TRIO					MXD4	snoU13|ENSG00000238522.1	CDK10	RNA5SP219	MIR4294	CSPG5	SNORD113|ENSG00000201710.1	MAF			RNA5SP410	
								SNORD63|ENSG00000206989.1	MRPL20		SNORA51|ENSG00000207022.1				SNORA27|ENSG00000252459.1		RNF126	HERC2P9	SEMA5A					CPLX1	SNORD112|ENSG00000252154.1	MBTPS1	7SK|ENSG00000271765.1	MTRNR2L5	RN7SL870P	SNORD113|ENSG00000201036.1	MC1R			RNA5SP409	
								SNORD63|ENSG00000222937.1	ATAD3A		SNORA66|ENSG00000207523.1				RN7SKP216		WDR18	GOLGA8N	TRIP13					SLC26A1	RN7SKP7	TAF1C	COX5BP2	PGBD3	snoU13|ENSG00000238350.1	SNORD113|ENSG00000201500.1	MVD			RNA5SP408	
								RN7SL682P	PANK4		SNORA66|ENSG00000251795.1				LHX5		REXO1		PDCD6					NSG1	LINC00359	USP10	LINC00271		snoU13|ENSG00000239128.1	SNORD113|ENSG00000200150.1	CHMP1A			RNA5SP407	
								snoU13|ENSG00000238605.1	DNAJC11		SNORD21				RN7SKP71		LPPR3		MARCH6					STX18	RN7SL164P	VPS9D1	RNA5SP218		snoU13|ENSG00000251938.1	SNORD112|ENSG00000251918.1	PLCG2			RNA5SP406	
								NPY6R	AJAP1		RN7SL824P				MIR3657		ABHD17A		BASP1					FGFRL1	HS6ST3	KIAA0513	snoU13|ENSG00000238631.1		PRSS44	SNORD112|ENSG00000252144.1	RPL13			LINC00273	
								MIR874	PLEKHG5		RPAP2				ADAM1A		KLF16		SLC12A7					CYTL1	snR65|ENSG00000251901.1	PIEZO1	RN7SL408P		PRSS45	SNORD112|ENSG00000251949.1	SPG7			ARHGAP23P1	
								RNA5SP193	LRRC47		ACTBP12				U7|ENSG00000272215.1		KISS1R		PAPD7					PIGG	RNY4P27	ATP2C2	SLC2A12		SNORD77|ENSG00000251967.1	SNORD112|ENSG00000252873.1	SLC7A5			HERC2P8	
								ADRB2	HES4		RN7SL235P				RNA5SP373		MUM1		TPPP					STK32B	RNY3P8	MPHOSPH6	TBPL1		LUZPP1	SNORD112|ENSG00000251769.1	CDK10			HERC2P5	
								ANXA6	PRDM16		RN7SL653P				RN7SL387P		MIDN		EXOC3					LYAR	snoU13|ENSG00000238463.1	EMC8	LINC00326		RTP3	MEG8	MBTPS1			TP53TG3	
								ATOX1	VWA1		BARHL2				PPTC7		R3HDM4		CCT5					UVSSA	ATP4B	TUBB3	SNORA33|ENSG00000200534.1		RN7SL145P	MIR433	TAF1C			TP53TG3D	
								CAMK2A	NADK		U3|ENSG00000199666.1				SNORD50|ENSG00000202335.1		TMEM259		FBXL7					ZFYVE28	COL4A1	PRDM7	SNORD100		LIMD1	MEG3	USP10			HERC2P4	
								CCNG1	MMEL1		RN7SKP272				RN7SL769P		TPGS1		KIAA0947					TNIP2	COL4A2	TCF25	SNORD101		U3|ENSG00000202268.1	RN7SKP92	VPS9D1			ADCY7	
								CD14	NOL9		snoU13|ENSG00000239176.1				RN7SL441P		REEP6		IRX4					HAUS3	GPR183	ZCCHC14	RPS12		ZDHHC3	RN7SL523P	KIAA0513			AMFR	
								CD74	LINC00115		GBP1P1				RN7SKP250		IZUMO4		TAS2R1					MFSD7	EFNB2	GSE1	TAAR3		MIR564	YY1	PIEZO1			BBS2	
								CDC25C	MORN1		GBP6				RNA5SP372		SCAMP4		FAM134B					TMEM175	ERCC5	COTL1	STX7		ZNF660	DEGS2	ATP2C2			CBLN1	
								CDX1	GLTPD1		RN7SL583P				MIR619		ADAT3		NSUN2					TMEM128	F7	MLYCD	RN7SKP245		ZNF852	MIR342	MPHOSPH6			CDH8	
								CSF1R	TAS1R1		RNA5SP52				SNORA40|ENSG00000264043.2		GRIN3B		CEP72					TMEM129	F10	CPNE7	snoU13|ENSG00000238938.1		LINC00694	CCNK	EMC8			CES1	
								CSNK1A1	OR4F16		RNA5SP51				FICD		MOB3A		ANKH					EVC2	GAS6	IL17C	KIAA0408		ABHD5	U6|ENSG00000272439.1	TUBB3			CETP	
								CTNNA1	CCNL2		SNORD81|ENSG00000199934.1				RNA5SP371		MISP		PRDM9					OTOP1	GPR18	ANKRD11	SOGA3		RN7SL517P	RN7SL714P	PRDM7			CNGB1	
								DIAPH1	ESPN		C1orf52				SNORD74|ENSG00000200897.1		PLK5		AHRR					JAKMIP1	ING1	OSGIN1	RNA5SP217		HIGD1A	RN7SL710P	TCF25			CSNK2A2	
								DPYSL3	ATAD3B		CTBS				C12orf45		C2CD4C		MRPL36					FAM53A	IPO5	TRAPPC2L	RSPO3		RN7SL567P	LINC00618	ZCCHC14			CYLD	
								SLC26A2	PLEKHN1		SPATA1				MIR3922		C19orf25		BRD9					ZBTB49	LAMP1	NECAB2	PRELID1P1		ZBTB47	RN7SKP108	GSE1			GNAO1	
								HBEGF	C1orf170		RPF1				RNA5SP370		ATP8B3		FASTKD3					CRIPAK	LIG4	KLHDC4	RNA5SP216		U8|ENSG00000212145.2	snoU13|ENSG00000238776.1	ATMIN			GOT2	
								EBF1	THAP3		UOX				HCFC2		C19orf26		IRX1					DOK7	PCCA	DEF8	RN7SKP56		RN7SKP58	DKFZP434O1614	COTL1			KIFC3	
								EGR1	ACAP3		SNORA2|ENSG00000199959.1				MIR3652		ODF3L2		ZDHHC11					RNF212	DNAJC3	BANP	CLVS2		SCARNA21|ENSG00000252409.1	C14orf132	MLYCD			MMP2	
								ETF1	UBE2J2		TTLL7				snoU13|ENSG00000238914.1		ADAMTSL5		LPCAT1					NAT8L	SLC10A2	ZDHHC7	RN7SL564P		ZNF621	LINC00617	CPNE7			MMP15	
								FABP6	PUSL1		ABCA4				U8|ENSG00000212594.1		MEX3D		CLPTM1L					POLN	SLC15A1	JPH3	SIGLECP3		SNORA64|ENSG00000202517.1	GLRX5	IL17C			MT1A	
								FAT2	B3GALT6		ADORA3				LINC00485		PRSS57		ROPN1L					C4orf48	SOX1	WFDC1	RNA5SP215		RN7SL411P	SCARNA13	ANKRD11			MT1B	
								FGF1	TPRG1L		AGL				RN7SL793P		MIR3187		MED10					MIR378D1	TFDP1	MTHFSD	MIR548B		SNORA62|ENSG00000202363.1	SNHG10	OSGIN1			MT1F	
								GABRA1	FAM213B		AMPD1				RNA5SP369				NKD2					MIR4800	TPP2	DBNDD1	RN7SKP51		SNORA6	MIR4506	TRAPPC2L			MT1G	
								GABRA6	ACTRT2		AMPD2				snoU13|ENSG00000238940.1				FAM105B						ZIC2	KLHL36	RN7SKP18		MIR26A1	SLC24A4	WWOX			MT1H	
								GABRB2	MIB2		AMY1A				RNA5SP368				ZNF622						STK24	CDT1	RNA5SP214		ITGA9	NDUFB1	BCMO1			MT1JP	
								GABRG2	SAMD11		AMY1B				RNA5SP367				C5orf55						CUL4A	MAP1LC3B	FAM26E		RNA5SP129	U3|ENSG00000200042.1	NECAB2			MT1X	
								GFRA3	PHF13		AMY1C				snoU13|ENSG00000238800.1				C5orf49						IRS2	HSDL1	TSPYL1		snoU13|ENSG00000238929.1	RN7SL506P	KLHDC4			MT3	
								GLRA1	CCDC27		AMY2A				SLC5A8				C5orf38						PROZ	CRISPLD2	NT5DC1		RNU6ATAC4P	SNORA11B	DEF8			PHKB	
								GM2A	CALML6		AMY2B				snoU13|ENSG00000238748.1				IRX2						ARHGEF7	SPIRE2	FRK		TRANK1	LINC00642	BANP			POLR2C	
								GPX3	C1orf86		RHOC				RN7SL176P				ADAMTS16						CDC16	CENPBD1	RNA5SP213		HSPD1P6	RN7SKP255	ZDHHC7			RBL2	
								GRIA1	ATAD3C		ATP1A1				RNA5SP366				SLC6A19						CLDN10	ZNF276	snoU13|ENSG00000238563.1		RN7SKP227	RN7SKP107	CENPN			SALL1	
								NR3C1	TTLL10		BRDT				SNORA53				SLC6A18						ITGBL1	SDR42E1	U3|ENSG00000253091.1		RNA5SP128	KCNK10	JPH3			CCL17	
								HARS	NPHP4		CAPZA1				RN7SL179P				MARCH11						TM9SF2	RNF166	snoU13|ENSG00000239095.1		RN7SL296P	GPR65	WFDC1			CCL22	
								HMMR	C1orf174		CASQ2				SLC9A7P1				MIR4277						MBNL2	DNAAF1	snoU13|ENSG00000239015.1		TMPPE	LINC00911	MTHFSD			CX3CL1	
								HSPA9	KLHL17		CD2				RMST				MIR4458						FARP1	SPATA2L	C6orf3		CCR4	RNU3P3	DBNDD1			SIAH1	
								NDST1	TMEM52		CD53				C12orf63				MIR4457						TUBGCP3	SPATA33	KIAA1919		TRIM71	RNU6ATAC28P	KLHL36			SLC6A2	
								HTR4	AGRN		CD58				C12orf55				MIR4456						TNFSF13B	ZC3H18	RPF2		snoU13|ENSG00000238646.1	snoU13|ENSG00000238978.1	CMIP			SLC12A3	
								IK	GPR153		CHI3L2				RN7SKP11										RASA3	SLC38A8	snoU13|ENSG00000238775.1		SNORA25|ENSG00000201701.1	SNORA79|ENSG00000221303.1	CDT1			GPR56	
								IL12B	FAM132A		CLCA1				ELK3										DZIP1	ADAD2	SNORA40|ENSG00000212587.1		OSBPL10	NRXN3	MAP1LC3B			N4BP1	
								ITK	HES5		CNN3				RN7SL88P										MYO16	ZNF778	RN7SL617P		STT3B	RNA5SP388	DYNLRB2			NUP93	
								MFAP3	SMIM1		COL11A1				SNRPF										ATP11A	ACSF3	snoU13|ENSG00000238474.1		RNA5SP127	RN7SL587P	HSDL1			HERPUD1	
								NDUFA2	RNF207		CSF1				PGAM1P5										MCF2L	LINC00304	CCDC162P		U3|ENSG00000199927.1	SNORA46|ENSG00000212371.1	CRISPLD2			IRX5	
								PCDH1	HES3		DBT				KRT19P2										DOCK9	SNAI3	C6orf183		LINC00693	FKSG61	SPIRE2			DNAJA2	
								PCDHGC3	MIR200A		DPYD				RN7SL483P										OXGR1	FAM92B	ZNF259P1		CMC1	SAMD15	CENPBD1			KATNB1	
								PDE6A	MIR200B		S1PR1				RN7SL330P										BIVM	CTU2	LINC00222		RN7SL859P	RN7SL137P	ZNF276			ZNF267	
								PDGFRB	ANKRD65		CELSR2				RN7SKP263										TMCO3	PABPN1L	RNA5SP212		SNORD5|ENSG00000272166.1	TMED8	SDR42E1			NUDT21	
