cytoband	8q24.21	3q26.2	19q12	19p13.12	11q14.1	1p34.3	1q21.3	6p22.3	7q36.3	5p15.33	20q13.33	1q42.2	Xp11.23	2q31.2	12p12.1	15q26.3	Xq28	17q25.3	4p16.3	10p15.3	14q11.2	12p13.33	8p11.21	19q13.2	18q11.2	10q22.3	4q13.3	2p23.2	20p13	22q12.2	12q15	14q32.33	20q11.21	
					INTS4	NT5C1A	ENSA		RN7SL811P	SLC9A3	PTK6	GNG4	CACNA1F			LINS	LAGE3	CARD14	ABCA11P		NDRG2	FAM138D		FBL					SNORD56|ENSG00000229686.1	ASCC2	BEST3	IGHJ3	DEFB124	
					KCTD21		MCL1		SNORA26|ENSG00000212590.1	TERT	SRMS	TARBP1	GAGE2C			RNA5SP402	SNORA70|ENSG00000207165.1	CBX2	MIR571		METTL17	FOXM1		HNRNPL					SNORD86	HORMAD2	LRRC10	IGHJ4	MIR3193	
							ADAMTSL4		snoU13|ENSG00000238557.1	TRIP13	TCEA2	TBCE	KCND1			RN7SL484P	TEX28P1	TBC1D16	ZNF141		RNASE7	NINJ2		NFKBIB					SNORA51|ENSG00000271798.1	CABP7		IGHJ5		
							GOLPH3L		RNA5SP250	PDCD6	TPD52L2	GGPS1	PRICKLE3			DKFZP779J2370	OPN1MW	RBFOX3	ZNF732		TPPP2	RAD52		MRPS12					SNORD110	GATSL3		IGHJ6		
							HORMAD1		FABP5P3	SLC12A7	TNFRSF6B	TOMM20	PLP2			MIR4714	TEX28P2	SLC26A11	ZNF876P		RNASE13	KDM5A		RPS16					MIR1292			IGHM		
							MIR4257		snoU13|ENSG00000239045.1	TPPP	ARFRP1	RBM34	SYP			ALDH1A3	NAA10	ENPP7	ZNF718		TMEM253	SLC6A12		SUPT5H					SNORD119			IGHD		
									RN7SL76P	EXOC3	RGS19	ARID4B	TFE3			IGF1R	LCA10	MIR4739	ZNF595			SLC6A13		ZFP36					RN7SL561P			IGHG3		
									MIR3907	CEP72	PRPF6	SLC35F3	SLC35A2			MEF2A	SNORD36|ENSG00000251846.1		ATP5I			TEAD4		DYRK1B					TCF15			IGHG1		
									MIR671	AHRR	GMEB2	B3GALNT2	PAGE1			PCSK6	RN7SL687P		CTBP1			TULP3		GMFG					CSNK2A1			IGHA1		
									IQCA1P1	BRD9	STMN3	IRF2BP2	HDAC6			SNRPA1	ABCD1		DGKQ			TSPAN9		PAK4					DEFB128			IGHG2		
									CDK5	ZDHHC11	RTEL1	COA6	PQBP1			CHSY1	ARHGAP4		FGFR3			ERC1		DLL3					DEFB127			IGHG4		
									SSPO	CLPTM1L	SOX18		TIMM17B			SYNM	ATP6AP1		GAK			ITFG2		SIRT2					DEFB126			IGHE		
									SNORD112|ENSG00000252557.1	NKD2	LIME1		PIM2			OR4F4	AVPR2		IDUA			PRMT8		LGALS13					DEFB125			IGHA2		
									RN7SL521P	C5orf55	UCKL1		WDR45			VIMP	CLIC2		LETM1			WNK1		PAF1					AVP			CRIP1		
									RNY1	SLC6A19	PCMTD2		PRAF2			TTC23	CTAG1B		MYL5			ADIPOR2		SARS2					CDC25B			C14orf79		
									RNY3	SLC6A18	ZNF512B		GAGE12I			LRRK1	TEX28		PDE6B			WNT5B		SAMD4B					CENPB			LINC00638		
									RNY4	MIR4457	C20orf195		GAGE2E			TM2D3	DKC1		WHSC1			RHNO1		MED29					FKBP1A			ZBTB42		
									RNY5	MIR4456	PPDPF		PCSK1N			ARRDC4	DNASE1L1		NELFA			NRIP2		LGALS14					GNRH2			AKT1		
									RN7SL569P		DNAJC5		CCDC22			LINC00923	DUSP9		SLBP			CCDC77		LRFN1					IDH3B			CRIP1		
									RN7SL72P		ZGPAT		FOXP3			TARSL2	EMD		MAEA			CACNA2D4		PLEKHG2					ITPA			CRIP2		
									U3|ENSG00000199370.1		HELZ2		OTUD5			LRRC28	F8		PCGF3			FBXL14		TIMM50					OXT			BRF1		
									RN7SL456P		ZBTB46		GRIPAP1			ASB7	FLNA		SPON2			DCP1B		FBXO17					PDYN			JAG2		
									RNA5SP249		SAMD10		PPP1R3F			LYSMD4	G6PD		TACC3			B4GALNT3		EID2B					PTPRA			MTA1		
									AOC1		ABHD16B		CCDC120			PGPEP1L	GDI1		CPLX1			IQSEC3		RINL					SIGLEC1			SIVA1		
									DPP6		C20orf201		GAGE10			ADAMTS17	HCFC1		SLC26A1			LRTM2		FBXO27					SNRPB			PACS2		
									EN2		LINC00176		GAGE2B			DNM1P46	IDH3G		FGFRL1			MIR3649		LGALS16					SOX12			GPR132		
									EZH2				GAGE13			CERS3	IRAK1		PIGG					IFNL2					TGM3			CDCA4		
									GBX1				GAGE12G			FAM169B	L1CAM		UVSSA					IFNL3					ATRN			INF2		
									MNX1				GAGE12J			SPATA41	MECP2		MFSD7					IFNL1					PSMF1			TMEM121		
									INSIG1				GAGE2D			OR4F6	MPP1		TMEM175					NCCRP1					SNPH			BTBD6		
									KCNH2				GAGE12C			OR4F15	MTCP1		TMEM129					SYCN					LZTS3			AHNAK2		
									NOS3				GAGE12B				PLXNB3		FAM53A					LEUTX					SIRPB1			PLD4		
									PTPRN2				GAGE12E				OPN1LW		CRIPAK					SELV					NOP56			ADSSL1		
									RARRES2				GAGE12H				RENBP		RNF212					PAPL					RBCK1			NUDT14		
									RHEB				GAGE2A				RPL10		NAT8L					MIR4530					RNF24			CEP170B		
									SLC4A2				GAGE12F				SLC6A8		POLN										UBOX5			C14orf80		
									SMARCD3				GAGE12D				SSR4		C4orf48										SPEF1			TEX22		
									VIPR2								TAZ												C20orf194			MIR4710		
									XRCC2								VBP1												SDCBP2					
									ZNF212								F8A1												ANGPT4					
									ZNF282								UBL4A												SMOX					
									CUL1								TMEM187												C20orf27					
									ASIC3								SLC10A3												AP5S1					
									PDIA4								TKTL1												TMEM74B					
									UBE3C								IKBKG												SIRPG					
									DNAJB6								FAM50A												NSFL1C					
									ABCF2								BCAP31												CPXM1					
									FASTK								SRPK3												EBF4					
									ABCB8								CTAG2												TRIB3					
									PAXIP1								TMLHE												FASTKD5					
									CNTNAP2								PLXNA3												GFRA4					
									GIMAP2								PDZD4												VPS16					
									ZNF777								FAM3A												PCED1A					
									TMEM176B								BRCC3												MRPS26					
									REPIN1								H2AFB3												DDRGK1					
									PRKAG2								RAB39B												ZNF343					
									NUB1								GAB3												NRSN2					
									CHPF2								PNCK												PANK2					
									NCAPG2								CTAG1A												ADAM33					
									WDR60								H2AFB2												FAM110A					
									GIMAP4								H2AFB1												SLC4A11					
									GIMAP5								OPN1MW2												ZCCHC3					
									TMEM176A								SMIM9												SCRT2					
									ACTR3B								CMC4												SLC52A3					
									ESYT2								MIR718												HSPA12B					
									ZNF398																				TMC2					
									KMT2C																				TBC1D20					
									GALNT11																				SIRPD					
									LMBR1																				C20orf141					
									NOM1																				C20orf96					
									LRRC61																				SRXN1					
									ZNF767																				DEFB129					
									TMUB1																				SIRPA					
									KRBA1																				STK35					
									ZBED6CL																				SIRPB2					
									AGAP3																				RSPO4					
									C7orf13																				TGM6					
									ZNF786																				DEFB132					
									ASB10																				C20orf202					
									RNF32																				RAD21L1					
									GIMAP8																				TMEM239					
									CRYGN																									
									ZNF425																									
									ZNF746																									
									ATP6V0E2																									
									RBM33																									
									GALNTL5																									
									GIMAP7																									
									ZNF467																									
									GIMAP1																									
									C7orf33																									
									CNPY1																									
									ZNF775																									
									ATG9B																									
									BLACE																									
									WDR86																									
									GIMAP6																									
									ZNF862																									
									ACTR3C																									
									ZNF783																									
									MIR548F4																									
									MIR5707																									
