cytoband	19p13.3	22q13.32	11p15.5	6q27	1p36.11	13q14.2	18q23	5q13.2	5q12.1	7p22.2	4q34.3	8p23.3	17q11.2	Xp21.1	8p21.2	16q23.1	15q15.1	3q13.31	2q22.1	16p13.3	3p26.2	10q23.31	14q23.3	19q13.43	9q34.13	4q22.1	2q37.3	12q23.1	9p24.3	19q13.33	11q25	12q24.33	10q25.1	17p12	16q22.1	21q22.3	10p15.3	2p25.3	15q11.2	1q41	
	ABHD17A	FAM19A5		DACT2			ADNP2	MIR4803		GNA12													FNTB	CHMP2A	RNU6ATAC		HDLBP		RFX3	CRX	RNU4ATAC10P	P2RX2	MIR548E		SMPD3	RNA5SP492		MIR548S		MIR205HG	
	KLF16	NCAPH2		WDR27			KCNG2	snoU13|ENSG00000238451.1		GPER													ZBTB25	ZNF544	LINC00094		NDUFA10		RLN1	EMP3	ACRV1	ANKLE2	RNA5SP327		DDX28	SNORA3|ENSG00000251778.1		RN7SL674P		MIR29B2	
	MUM1	MOV10L1		C6orf120			TIMM21	GTF2H2B		LFNG													U3|ENSG00000200693.1	ZNF586	FAM163B		SEPT2		RLN2	FTL	APLP2	GALNT9	RN7SKP288		TSNAXIP1	LINC00112		RNA5SP85		MIR29C	
	MIDN	MIOX		TCP10L2			ZNF407	RN7SL9P		NUDT1													WDR89	ZNF446	SNORD36C		PDCD1		SLC1A1	FUT1	CHEK1	CHFR	RN7SL686P		THAP11	LINC00111		RNA5SP84		ATF3	
	REEP6	PANX2		LINC00242			CNDP2	snoU13|ENSG00000238740.1		PDGFA													SCARNA20|ENSG00000252800.1	ZSCAN18	SNORD36A		PPP1R7		SMARCA2	FUT2	ETS1	EP400	snoU13|ENSG00000239125.1		RANBP10	snoU13|ENSG00000252771.1		LINC00570		CD34	
	PLK5	CRELD2					PQLC1	GUSBP3		PMS2													RN7SL540P	RPL23AP79	SNORD36B		PER2		VLDLR	GRIN2D	FLI1	FBRSL1	SMNDC1		DPEP2	SNORA32|ENSG00000207503.1		RN7SL832P		CENPF	
	C19orf25	ADM2					NETO1	RN7SL616P		PRKAR1B													PPP2R5E	ZNF329	SNORD24		LRRFIP1		KIAA0020	ARHGAP35	HSPA8	NOC4L	RN7SL450P		DPEP3	FAM3B		SNORA80B		CR1	
	ATP8B3	TRABD					PARD6G	RN7SL476P		RAC1													GPHB5	ZNF552	ABO		HDAC4		RCL1	KCNJ14	STT3A	PUS1	U4|ENSG00000272160.1		TANGO6	ADARB1		SNORA51|ENSG00000206898.1		CR1L	
	C19orf26	HDAC10					CNDP1	snoU13|ENSG00000238334.1		FSCN1													LINC00644	ZNF671	snoU13|ENSG00000238657.1		FARP2		DMRT2	LIG1	KCNJ1	PGAM5	RN7SKP278		ESRP2	AIRE		RN7SL66P		CR2	
	ADAMTSL5	SHANK3					FAM69C	SNORA50|ENSG00000220986.1		AIMP2													LINC00643	ZNF606	CELP		ARL4C		INSL6	NPAS1	VWA5A	DDX51	RNA5SP326		CENPT	PTTG1IP		SNORA2|ENSG00000206647.1		CD55	
	MEX3D	TUBGCP6					CBLN2	RN7SL103P		MAFK													SNORD112|ENSG00000252380.1	ZBTB45	GTF3C4		RAMP1		KDM4C	NUCB1	NFRKB	EP400NL	RNA5SP325		NRN1L	C21orf2		SNORA26|ENSG00000212558.1		EPRS	
		LMF2					FBXO15	7SK|ENSG00000249352.3		MAD1L1													SIX1	ZNF587	SNORA67|ENSG00000212395.1		STK25		KANK1	PPP5C	NRGN	ZNF605	snoU13|ENSG00000238620.1		ZFP90	CBS		snoU13|ENSG00000238462.1		ESRRG	
		KLHDC7B					LINC00908	U8|ENSG00000212249.2		EIF3B													U3|ENSG00000253014.1	ZNF551	RN7SL328P		CAPN10		RANBP6	PTGIR	OPCML		ITPRIP			COL6A1		IAH1		HSD11B1	
		C22orf34					ATP9B	ARSB		CYTH3													SIX6	ZNF837	SNORD62B		PASK		CD274	RPL18	ST3GAL4		MIR609			COL6A2		snoU13|ENSG00000238888.1		IRF6	
		IL17REL					LINC00909	BHMT		ADAP1													MIR5586	C19orf18	SNORD62A		ATG4B		SPATA6L	SEPW1	SORL1		MIR936			CRYAA		MBOAT2		KCNK2	
		PIM3					HSBP1L1	BTF3		IQCE													JKAMP	ZNF418	PRRC2B		SH3BP4		PLGRKT	SLC1A5	SRPR		RN7SL524P			PRMT2		RNU6ATAC37P		LAMB3	
		ODF3B					C18orf63	CCNB1		SUN1													GPR135	ZNF497	SNORA31|ENSG00000252582.1		SNED1		CBWD1	SLC8A2	ST14		OBFC1			ITGB2		RN7SKP112		CD46	
		SYCE3						CDK7		WIPI2													ACTN1	ZNF584	snoU13|ENSG00000238298.1		TRAF3IP1		KIAA1432	SULT2B1	ZNF202		C10ORF32			LSS		FLJ30594		NEK2	
		MIR3201						CRHBP		INTS1													ARG2	ZSCAN4	RN7SL665P		ANO7		DMRT3	SULT2A1	BARX2		SFXN2			MX1		SNORA31|ENSG00000252238.1		PLXNA2	
		MIR3667						DHFR		EIF2AK1													ZFP36L1	ZNF776	HMCN2		PRLH		ERMP1	TULP2	EI24		RN7SL21P			MX2		RN7SL531P		PPP2R5A	
		MIR4535						F2R		SNX8													EIF2S1	ZSCAN1	ASB6		THAP4		PDCD1LG2	PLA2G4C	FEZ1		SNORD112|ENSG00000253068.1			PCNT		DCDC2C		PROX1	
								F2RL1		FTSJ2													ESR2	ZSCAN22	LINC00963		ANKMY1		DOCK8	NAPA	ARHGAP32		FGF8			PDE9A		SNORA73|ENSG00000252531.1		PTPN14	
								F2RL2		GET4													FUT8	ZNF324B	RN7SL159P		SCLY		TPD52L3	CYTH2	ADAMTS8		snoU13|ENSG00000239091.1			PFKL		snoU13|ENSG00000238722.1		TGFB2	
								FOXD1		CCZ1													GPX2	ZNF587B	ABCA2		ASB1		IL33	DHX34	IGSF9B		SNORD112|ENSG00000252844.1			PKNOX1		TMEM18		TRAF5	
								GTF2H2		RNF216													HIF1A	MIR4754	ABL1		HES6		C9orf123	SAE1	NCAPD3		LBX1			PWP2		FAM110C		USH2A	
								HEXB		CYP2W1													HSPA2		ASS1		ACKR3		UHRF2	KDELR1	VSIG2		HUG1			SLC19A1		ACP1		LPGAT1	
								HMGCR		HEATR2													MAX		C8G		GAL3ST2		C9orf66	KPTN	OR8B8		KAZALD1			SUMO3		APOB		BPNT1	
								TNPO1		CHST12													MAP3K9		ENTPD2		RAB17		KIAA2026	CARD8	OR8B2		MIR608			TFF1		RHOB		RAB3GAP2	
								MAP1B		RADIL													MNAT1		CEL		MLPH		KCNV2	ZC3H4	ACAD8		HIF1AN			TFF2		DDX1		INTS7	
								MSH3		PAPOLB													MTHFD1		COL5A1		IQCA1		GLIS3	SYNGR4	B3GAT1		NDUFB8			TFF3		E2F6		NSL1	
								NAIP		RBAK													PIGH		DBH		C2orf54		PPAPDC2	PPP1R15A	DCPS		LINC00263			TRAPPC10		FKBP1B		RPS6KC1	
								PIK3R1		MICALL2													PPM1A		SARDH		ILKAP		MIR4665	PRKD2	ZBTB44		BLOC1S2			TMPRSS2		HPCAL1		DIEXF	
								PMCHL2		FBXL18													PRKCH		TOR1A		ING5			CCDC9	THYN1		SNORA12|ENSG00000212464.1			TRPM2		ID2		FLVCR1	
								RAD17		TTYH3													RAD51B		FCN1		AGAP1			IRF2BP1	DDX25		ERLIN1			U2AF1		KCNF1		NENF	
								SMN1		USP42													RTN1		FCN2		TWIST2			FGF21	NTM		snoU13|ENSG00000238472.1			UBE2G2		KCNS3		G0S2	
								SMN2		PSMG3													SRSF5		FUT7		NEU4			BBC3	CDON		COX15			C21orf33		MATN3		RRP15	
								TAF9		C7orf50													SLC8A3		RAPGEF1		MTERFD2			C5AR2	SPA17		ENTPD7			PDXK		MYCN		KCTD3	
								TBCA		CARD11													SNAPC1		GRIN1		UBE2F			DHDH	SIAE		snoU13|ENSG00000238588.1			MCM3AP		ODC1		DTL	
								THBS4		TNRC18													SPTB		LCN1		OTOS			STRN4	ROBO4		HPSE2			ABCG1		RPS7		GPATCH2	
								SERF1A		FAM220A													DPF3		NOTCH1		MYEOV2			GLTSCR2	FOXRED1		MIR4685			WDR4		RRM2		TMEM206	
								ENC1		ZFAND2A													ADAM21		PAEP		OR6B3			GLTSCR1	SCN3B		MIR1287			FTCD		SDC1		BATF3	
								AP3B1		GPR146													ADAM20		PTGDS		DUSP28			EHD2	CRTAM		GOLGA7B			HSF2BP		SOX11		IARS2	
								PDE8B		AMZ1													DCAF5		RALGDS		ESPNL			HSD17B14	PRDM10		LINC00866			RRP1B		ADAM17		HHAT	
								SCAMP1		TMEM184A													AKAP5		RPL7A		AQP12A			FAM83E	GRAMD1B		PI4K2A			DIP2A		TPO		RCOR3	
								CARTPT		BRAT1													RGS6		SNAPC4		KLHL30			RASIP1	PKNOX2		EXOSC1			POFUT2		TSSC1		SMYD2	
								ZFYVE16		SDK1													KIAA0247		SURF1		OR6B2			TMEM160	TP53AIP1		RNA5SP324			ICOSLG		VSNL1		CAMK1G	
								COL4A3BP		FOXK1													MED6		SURF2		ASB18			PNMAL1	ROBO3		ADD3			BACE2		PXDN		VASH2	
								LHFPL2		MMD2													GPHN		SURF4		PRR21			TMEM143	FAM118B		ADRA2A			C2CD2		KLF11		TRAF3IP3	
								NSA2		SLC29A4													VTI1B		MED22		AQP12B			SPHK2	MSANTD2		ADRB1			DNMT3L		ASAP2		LINC00467	
								IQGAP2		RSPH10B													ZBTB1		SURF6		D2HGDH			MEIS3	CLMP		ARL3			ZBTB21		TAF1B		ANGEL2	
								SV2C		OCM													PCNX		TRAF2		MIR4269			PNMAL2	C11orf63		CASP7			UBASH3A		ITGB1BP1		LYPLAL1	
								MRPS27		ANKRD61													DAAM1		TSC1		MIR4786			PLEKHA4	CCDC15		CHUK			SLC37A1		ROCK2		TATDN3	
								FAM169A		MIR4656													SYNE2		TTF1					ELSPBP1	PUS3		ABCC2			PCBP3		TP53I3		C1orf74	
								DMGDH															ZFYVE26		VAV2					HIF3A	JAM3		COL17A1			C21orf58		GREB1		C1orf227	
								GCNT4															TTC9		BRD3					FKRP	KIRREL3		CPN1			YBEY		LAPTM4A		FAM71A	
								AGGF1															PLEKHG3		NUP214					CCDC8	RPUSD4		CYP17A1			TSPEAR		RNF144A		SYT14	
								BDP1															SIPA1L1		LHX3					ZNF541	UBASH3B		DMBT1			RIPK4		PDIA6		RD3	
								ANKRA2															DCAF4		GFI1B					CCDC114	GLB1L2		DNTT			AGPAT3		YWHAQ		MIR215	
								MCCC2															PLEK2		SSNA1					GNG8	ESAM		DUSP5			PRDM15		MYT1L		C1orf132	
								ARHGEF28															KCNH5		EDF1					LMTK3	VPS26B		EMX2			TMPRSS3		LPIN1			
								SLC30A5															RDH11		FUBP3					NTN5	GLB1L3		FGFR2			COL18A1		PUM2			
								CENPH															COX16		GTF3C5					DACT3	TIRAP		GFRA1			LRRC3		NTSR2			
								PTCD2															DHRS7		MED27					IGFL2	PANX3		GOT1			SPATC1L		SH3YL1			
								UTP15															SIX4		PTGES					ZNF114	TMEM45B		PRLHR			C21orf67		TRIB2			
								GFM2															ZFYVE1		ADAMTSL2					SPACA4	PATE1		GRK5			FAM207A		GRHL1			
								SPZ1															EXD2		PPP1R26					PRR24	ADAMTS15		HABP2			RSPH1		ITSN2			
								MRPS36															SLC39A9		SEC16A					TPRX1	C11orf45		TLX1			UMODL1		TRAPPC12			
								FCHO2															RHOJ		LAMC3					MAMSTR	HYLS1		HPS1			LINC00313		NBAS			
								JMY															GALNT16		TUBB4B					IZUMO1	TMEM218		ABLIM1			SIK1		SF3B14			
								TMEM171															PLEKHH1		UBAC1					MYPOP	OR8B12		MXI1			LINC00479		CPSF3			
								TMEM174															TRMT5		OLFM1					NANOS2	OR10G8		NDUFB8			C21orf128		SNTG2			
								POC5															SMOC1		AGPAT2					IGFL1	OR10G9		NFKB2			LINC00319		ATAD2B			
								MARVELD2															MPP5		POMT1					IGFL3	OR10S1		NRAP			MIR3197		ADI1			
								PAPD4															PCNXL4		SDCCAG3					IGFL4	OR6T1		PAX2					ALLC			
								ZNF366															SGPP1		USP20					CCDC61	OR4D5		PGAM1					KIDINS220			
								FAM151B															SYT16		WDR5					MIR769	SPATA19		PITX3					WDR35			
								CCDC125															CHURC1		C9orf9					BSPH1	HEPACAM		PNLIP					RDH14			
								CMYA5															L3HYPDH		ADAMTS13					MIR3191	OR8D1		PNLIPRP1					C2orf43			
								ANKRD31															RDH12		CACFD1					PPP5D1	OR8D2		PNLIPRP2					HS1BP3			
								SERINC5															PPP1R36		SLC2A6						OR8B4		HTRA1					COLEC11			
								ANKRD34B															SLC38A6		MAN1B1						C11orf44		PSD					SMC6			
								GTF2H2C															FAM71D		FNBP1						TMEM225		RGS10					NOL10			
								SERF1B															TMEM229B		SETX						OR8D4		SCD					C2orf44			
								ANKDD1B															TMEM30B		PMPCA						BSX		SFRP5					FAM49A			
								MTRNR2L2															C14orf39		EXOSC2						OR6X1		FBXW4					RSAD2			
								OCLN															LRRC9		NCS1						OR6M1		SLC18A2					NT5C1B			
																							RAB15		GPSM1						OR10G4		SLIT1					KLHL29			
																							PLEKHD1		GBGT1						OR10G7		TAF5					CMPK2			
																							LINC00238		NDOR1						OR8B3		TCF7L2					OSR1			
																							MIR625		TOR1B						OR8A1		TECTB					TTC32			
																							CCDC175		NTMT1						PATE2		TLL2					C2orf50			
																							MIR548H1		PHPT1						PATE4		WNT8B					PQLC3			
																							MIR4708		ANAPC2						SNX19		XPNPEP1					FAM84A			
																							MIR5694		DPP7						MIRLET7A2		SHOC2					CYS1			
																									OBP2B						MIR100		EIF3A					ATP6V1C2			
																									OBP2A						MIR125B1		GBF1					RNASEH1			
																									MRPS2						BLID		LDB1					FAM150B			
																									EGFL7						HEPN1		BTRC					LINC00299			
																									PRRX2						PATE3		PKD2L1					MSGN1			
																									C9orf78						MIR4697		INA					GEN1			
																									FBXW5						MIR4493		SMC3					C2orf48			
																									RABL6								NEURL					FAM228B			
																									INPP5E								NOLC1					MFSD2B			
																									NPDC1								GSTO1					LINC00487			
																									BARHL1								BAG3					FAM228A			
																									REXO4								SH3PXD2A					RAD51AP2			
																									KCNT1								SLK					MIR4261			
																									GPR107								DCLRE1A					MIR4262			
																									PRDM12								FRAT1					MIR3681			
																									DDX31								ACTR1A					MIR4757			
																									AIF1L								NPM3					MIR4429			
																									UCK1								TACC2								
																									NTNG2								MGEA5								
																									PPAPDC3								PRDX3								
																									FIBCD1								VAX1								
																									KIAA1984								ATE1								
																									TMEM141								SEC23IP								
																									SAPCD2								RAB11FIP2								
																									C9orf69								INPP5F								
																									UAP1L1								NT5C2								
																									TMEM203								PDCD11								
																									NACC2								SORCS3								
																									C9orf116								PPRC1								
																									LCN8								RRP12								
																									SLC34A3								DNMBP								
																									CAMSAP1								FRAT2								
																									C9orf62								DPCD								
																									C9orf163								SEC31B								
																									MAMDC4								ATRNL1								
																									LCN6								C10orf12								
																									AK8								ANKRD2								
																									C9orf96								CNNM1								
																									QSOX2								PDCD4								
																									LCN12								R3HCC1L								
																									C9orf142								POLL								
																									TPRN								KCNIP2								
																									FAM78A								CALHM2								
																									QRFP								CUTC								
																									GLT6D1								SUFU								
																									C9orf50								ACSL5								
																									C9orf169								NSMCE4A								
																									C9orf171								CNNM2								
																									LCN15								WBP1L								
																									LRRC26								C10orf118								
																									TMEM8C								CRTAC1								
																									LCN9								CWF19L1								
																									LCNL1								PI4K2A								
																									C9orf139								WDR11								
																									FAM166A								FAM178A								
																									SOHLH1								TDRD1								
																									C9orf173								C10orf2								
																									RNF208								TM9SF3								
																									CARD9								AS3MT								
																									MIR3689A								GPAM								
																									MIR3689B								KIAA1598								
																									MIR3689D1								FAM160B1								
																									MIR3689F								SEMA4G								
																									MIR4674								PLEKHA1								
																									MIR3689C								AVPI1								
																									MIR3689D2								FAM204A								
																									MIR3689E								MMS19								
																									MIR548AW								ZDHHC6								
																																	CUEDC2								
																																	FBXL15								
																																	C10orf76								
																																	HPS6								
																																	TMEM180								
																																	MCMBP								
																																	C10orf95								
																																	PLEKHS1								
																																	PDZD7								
																																	UBTD1								
																																	WDR96								
																																	TRIM8								
																																	SFXN3								
																																	SLC25A28								
																																	ELOVL3								
																																	MARVELD1								
																																	PCGF6								
																																	LOXL4								
																																	ZDHHC16								
																																	LZTS2								
																																	LCOR								
																																	MRPL43								
																																	AFAP1L2								
																																	PYROXD2								
																																	USMG5								
																																	ARHGAP19								
																																	BBIP1								
																																	OPALIN								
																																	HOGA1								
																																	SORCS1								
																																	BTBD16								
																																	PIK3AP1								
																																	MORN4								
																																	ZFYVE27								
																																	C10orf32								
																																	GSTO2								
																																	SFR1								
																																	CALHM3								
																																	PNLIPRP3								
																																	SFXN4								
																																	TRUB1								
																																	VTI1A								
																																	C10orf82								
																																	CACUL1								
																																	CCDC147								
																																	PPAPDC1A								
																																	CALHM1								
																																	CASC2								
																																	HSPA12A								
																																	RBM20								
																																	KCNK18								
																																	NANOS1								
																																	CCDC172								
																																	ARMS2								
																																	GOLGA7B								
																																	C10orf85								
																																	C10orf62								
																																	MIR146B								
																																	MIR607								
																																	TLX1NB								
																																	MIR1307								
																																	MIR2110								
																																	MIR3663								
																																	MIR4680								
																																	MIR4682								
