"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"cyt.cat=med",107,19,NA,"3.3 to NA","0.95 (0.91 to 0.99)","0.91 (0.85 to 0.97)","0.85 (0.77 to 0.93)","0.61 (0.44 to 0.82)"
"nmdptc_max.cat=high",54,9,3.6,"3.6 to NA","0.92 (0.84 to 1)","0.92 (0.84 to 1)","0.84 (0.73 to 0.96)","0.48 (0.2 to 1)"
"nmdptc_max.cat=low",54,5,NA,"NA to NA","0.96 (0.9 to 1)","0.93 (0.86 to 1)","0.91 (0.82 to 1)","0.84 (0.71 to 1)"
"nmdptc_max.cat=med",107,24,NA,"3.2 to NA","0.91 (0.85 to 0.97)","0.85 (0.78 to 0.93)","0.79 (0.7 to 0.88)","0.54 (0.38 to 0.78)"
"nmdptc_n_decayed.cat=high",60,12,3.6,"3.3 to NA","0.90 (0.83 to 0.99)","0.88 (0.8 to 0.98)","0.81 (0.7 to 0.93)","0.44 (0.21 to 0.92)"
"nmdptc_n_decayed.cat=low",56,8,NA,"NA to NA","0.96 (0.9 to 1)","0.94 (0.87 to 1)","0.89 (0.8 to 0.99)","0.71 (0.53 to 0.96)"
"nmdptc_n_decayed.cat=med",99,18,NA,"NA to NA","0.91 (0.86 to 0.97)","0.86 (0.79 to 0.94)","0.80 (0.72 to 0.9)","0.70 (0.58 to 0.85)"
"nmdptc_frac_decayed.cat=high",54,8,3.3,"3 to NA","0.98 (0.94 to 1)","0.98 (0.94 to 1)","0.82 (0.69 to 0.97)","0.00 (NA to NA)"
"nmdptc_frac_decayed.cat=low",55,9,NA,"NA to NA","0.96 (0.91 to 1)","0.88 (0.79 to 0.97)","0.85 (0.76 to 0.96)","0.78 (0.65 to 0.93)"
"nmdptc_frac_decayed.cat=med",106,21,NA,"3.2 to NA","0.87 (0.81 to 0.94)","0.85 (0.78 to 0.93)","0.81 (0.73 to 0.9)","0.57 (0.41 to 0.81)"
"nmdptc_med.cat=high",54,7,3.2,"3 to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.86 (0.73 to 1)","0.23 (0.04 to 1)"
"nmdptc_med.cat=low",54,5,NA,"NA to NA","0.98 (0.94 to 1)","0.94 (0.87 to 1)","0.91 (0.83 to 1)","0.86 (0.73 to 1)"
"nmdptc_med.cat=med",107,26,NA,"3.2 to NA","0.85 (0.79 to 0.93)","0.81 (0.73 to 0.89)","0.76 (0.67 to 0.86)","0.55 (0.39 to 0.79)"
"nmdptc_med.wt.cat=high",54,8,3.2,"3 to NA","0.96 (0.9 to 1)","0.93 (0.86 to 1)","0.82 (0.69 to 0.97)","0.46 (0.19 to 1)"
"nmdptc_med.wt.cat=low",54,5,NA,"NA to NA","0.96 (0.9 to 1)","0.94 (0.87 to 1)","0.91 (0.84 to 1)","0.86 (0.73 to 1)"
"nmdptc_med.wt.cat=med",107,25,3.6,"3.3 to NA","0.89 (0.82 to 0.95)","0.84 (0.77 to 0.92)","0.78 (0.7 to 0.88)","0.50 (0.32 to 0.77)"
"nmdptc_mean.cat=high",54,8,3.2,"3 to NA","0.98 (0.93 to 1)","0.98 (0.93 to 1)","0.80 (0.66 to 0.96)","0.43 (0.17 to 1)"
"nmdptc_mean.cat=low",54,6,NA,"NA to NA","0.96 (0.91 to 1)","0.94 (0.87 to 1)","0.91 (0.84 to 1)","0.82 (0.69 to 0.98)"
"nmdptc_mean.cat=med",107,24,NA,"3.3 to NA","0.88 (0.81 to 0.95)","0.82 (0.74 to 0.9)","0.79 (0.71 to 0.88)","0.55 (0.38 to 0.79)"
"nmdptc_mean.wt.cat=high",53,6,NA,"3.2 to NA","0.96 (0.9 to 1)","0.96 (0.9 to 1)","0.89 (0.8 to 1)","0.59 (0.31 to 1)"
"nmdptc_mean.wt.cat=low",54,6,NA,"NA to NA","0.96 (0.91 to 1)","0.92 (0.84 to 1)","0.89 (0.81 to 0.99)","0.84 (0.72 to 0.98)"
"nmdptc_mean.wt.cat=med",108,26,3.6,"3.2 to NA","0.89 (0.82 to 0.95)","0.84 (0.76 to 0.92)","0.76 (0.67 to 0.86)","0.45 (0.26 to 0.75)"
"nmdfs_max.cat=high",54,5,NA,"NA to NA","0.98 (0.95 to 1)","0.98 (0.95 to 1)","0.89 (0.8 to 1)","0.83 (0.68 to 1)"
"nmdfs_max.cat=low",54,9,NA,"NA to NA","0.94 (0.87 to 1)","0.90 (0.81 to 0.99)","0.84 (0.73 to 0.96)","0.71 (0.54 to 0.94)"
"nmdfs_max.cat=med",107,24,NA,"3.2 to NA","0.88 (0.82 to 0.95)","0.83 (0.76 to 0.91)","0.79 (0.71 to 0.88)","0.50 (0.33 to 0.75)"
"nmdfs_n_decayed.cat=high",54,5,NA,"NA to NA","0.98 (0.95 to 1)","0.98 (0.95 to 1)","0.89 (0.8 to 1)","0.83 (0.68 to 1)"
"nmdfs_n_decayed.cat=low",83,15,NA,"3.2 to NA","0.91 (0.84 to 0.98)","0.88 (0.8 to 0.96)","0.86 (0.78 to 0.95)","0.64 (0.47 to 0.86)"
"nmdfs_n_decayed.cat=med",78,18,NA,"3.3 to NA","0.90 (0.83 to 0.97)","0.83 (0.75 to 0.93)","0.75 (0.65 to 0.87)","0.53 (0.34 to 0.81)"
"nmdfs_frac_decayed.cat=high",81,11,NA,"3.3 to NA","0.96 (0.92 to 1)","0.93 (0.87 to 0.99)","0.86 (0.77 to 0.96)","0.60 (0.36 to 0.98)"
"nmdfs_frac_decayed.cat=low",60,11,NA,"NA to NA","0.91 (0.83 to 0.99)","0.87 (0.78 to 0.96)","0.85 (0.75 to 0.95)","0.73 (0.58 to 0.91)"
"nmdfs_frac_decayed.cat=med",74,16,NA,"3.2 to NA","0.89 (0.82 to 0.97)","0.86 (0.78 to 0.95)","0.78 (0.67 to 0.89)","0.56 (0.37 to 0.84)"
"nmdfs_med.cat=high",54,6,NA,"NA to NA","0.96 (0.91 to 1)","0.96 (0.91 to 1)","0.87 (0.76 to 0.99)","0.79 (0.63 to 0.99)"
"nmdfs_med.cat=low",54,9,NA,"NA to NA","0.96 (0.91 to 1)","0.90 (0.81 to 0.99)","0.87 (0.78 to 0.97)","0.72 (0.55 to 0.94)"
"nmdfs_med.cat=med",107,23,NA,"3.3 to NA","0.88 (0.82 to 0.95)","0.85 (0.77 to 0.92)","0.78 (0.7 to 0.88)","0.53 (0.37 to 0.77)"
"nmdfs_med.wt.cat=high",54,5,NA,"NA to NA","0.98 (0.95 to 1)","0.98 (0.95 to 1)","0.89 (0.79 to 1)","0.81 (0.65 to 1)"
"nmdfs_med.wt.cat=low",54,9,NA,"NA to NA","0.96 (0.91 to 1)","0.89 (0.81 to 0.99)","0.87 (0.78 to 0.97)","0.71 (0.54 to 0.94)"
"nmdfs_med.wt.cat=med",107,24,NA,"3.3 to NA","0.87 (0.81 to 0.94)","0.84 (0.77 to 0.92)","0.77 (0.69 to 0.87)","0.53 (0.37 to 0.77)"
"nmdfs_mean.cat=high",54,6,NA,"NA to NA","0.96 (0.91 to 1)","0.96 (0.91 to 1)","0.87 (0.76 to 0.99)","0.79 (0.63 to 0.99)"
"nmdfs_mean.cat=low",54,8,NA,"NA to NA","0.96 (0.91 to 1)","0.89 (0.81 to 0.99)","0.87 (0.77 to 0.97)","0.76 (0.61 to 0.95)"
"nmdfs_mean.cat=med",107,24,3.6,"3.2 to NA","0.89 (0.82 to 0.95)","0.85 (0.78 to 0.93)","0.79 (0.7 to 0.88)","0.49 (0.32 to 0.75)"
"nmdfs_mean.wt.cat=high",54,5,NA,"NA to NA","0.98 (0.95 to 1)","0.98 (0.95 to 1)","0.89 (0.79 to 1)","0.81 (0.65 to 1)"
"nmdfs_mean.wt.cat=low",54,10,NA,"NA to NA","0.92 (0.84 to 1)","0.87 (0.78 to 0.97)","0.85 (0.75 to 0.96)","0.71 (0.54 to 0.92)"
"nmdfs_mean.wt.cat=med",107,23,NA,"3.3 to NA","0.90 (0.84 to 0.96)","0.85 (0.78 to 0.93)","0.78 (0.7 to 0.88)","0.52 (0.34 to 0.77)"
"nmdns_max.cat=high",54,8,NA,"NA to NA","0.94 (0.87 to 1)","0.94 (0.87 to 1)","0.82 (0.71 to 0.95)","0.72 (0.53 to 0.97)"
"nmdns_max.cat=low",54,6,NA,"NA to NA","0.91 (0.84 to 1)","0.89 (0.81 to 0.99)","0.89 (0.81 to 0.99)","0.82 (0.68 to 0.99)"
"nmdns_max.cat=med",107,24,3.6,"3.2 to NA","0.92 (0.87 to 0.97)","0.86 (0.79 to 0.93)","0.80 (0.72 to 0.89)","0.48 (0.3 to 0.76)"
"nmdns_n_decayed.cat=high",59,13,3.6,"3.3 to NA","0.89 (0.8 to 0.98)","0.89 (0.8 to 0.98)","0.79 (0.68 to 0.92)","0.48 (0.26 to 0.88)"
"nmdns_n_decayed.cat=low",76,11,NA,"NA to NA","0.92 (0.86 to 0.99)","0.89 (0.82 to 0.97)","0.88 (0.8 to 0.96)","0.71 (0.55 to 0.94)"
"nmdns_n_decayed.cat=med",80,14,NA,"NA to NA","0.95 (0.9 to 1)","0.88 (0.81 to 0.96)","0.81 (0.71 to 0.92)","0.69 (0.55 to 0.87)"
"nmdns_frac_decayed.cat=high",56,8,NA,"3.2 to NA","0.96 (0.9 to 1)","0.96 (0.9 to 1)","0.84 (0.73 to 0.97)","0.60 (0.36 to 1)"
"nmdns_frac_decayed.cat=low",59,10,NA,"NA to NA","0.93 (0.86 to 1)","0.85 (0.76 to 0.95)","0.85 (0.76 to 0.95)","0.76 (0.63 to 0.93)"
"nmdns_frac_decayed.cat=med",100,20,NA,"3.3 to NA","0.90 (0.84 to 0.96)","0.87 (0.81 to 0.95)","0.81 (0.72 to 0.9)","0.53 (0.34 to 0.81)"
"nmdns_med.cat=high",54,11,3.2,"3 to NA","0.95 (0.89 to 1)","0.93 (0.86 to 1)","0.74 (0.61 to 0.91)","0.42 (0.18 to 1)"
"nmdns_med.cat=low",53,6,NA,"NA to NA","0.94 (0.87 to 1)","0.90 (0.81 to 0.99)","0.90 (0.81 to 0.99)","0.83 (0.69 to 0.99)"
"nmdns_med.cat=med",108,21,NA,"3.6 to NA","0.90 (0.84 to 0.96)","0.86 (0.79 to 0.93)","0.83 (0.75 to 0.91)","0.59 (0.43 to 0.81)"
"nmdns_med.wt.cat=high",54,9,NA,"3.2 to NA","0.93 (0.87 to 1)","0.91 (0.83 to 1)","0.83 (0.72 to 0.95)","0.59 (0.35 to 0.99)"
"nmdns_med.wt.cat=low",53,7,NA,"NA to NA","0.92 (0.84 to 1)","0.88 (0.79 to 0.97)","0.88 (0.79 to 0.97)","0.81 (0.67 to 0.98)"
"nmdns_med.wt.cat=med",108,22,NA,"3.3 to NA","0.92 (0.87 to 0.97)","0.88 (0.82 to 0.95)","0.80 (0.72 to 0.9)","0.52 (0.34 to 0.8)"
"nmdns_mean.cat=high",54,12,NA,"3 to NA","0.93 (0.86 to 1)","0.91 (0.83 to 1)","0.73 (0.6 to 0.89)","0.51 (0.3 to 0.89)"
"nmdns_mean.cat=low",54,7,NA,"NA to NA","0.92 (0.85 to 1)","0.90 (0.82 to 0.99)","0.90 (0.82 to 0.99)","0.80 (0.65 to 0.97)"
"nmdns_mean.cat=med",107,19,NA,"3.3 to NA","0.92 (0.86 to 0.97)","0.87 (0.8 to 0.94)","0.83 (0.75 to 0.92)","0.57 (0.39 to 0.84)"
"nmdns_mean.wt.cat=high",54,7,NA,"3.2 to NA","0.98 (0.94 to 1)","0.96 (0.9 to 1)","0.87 (0.77 to 0.98)","0.63 (0.38 to 1)"
"nmdns_mean.wt.cat=low",54,8,NA,"NA to NA","0.92 (0.85 to 1)","0.86 (0.76 to 0.96)","0.86 (0.76 to 0.96)","0.79 (0.65 to 0.96)"
"nmdns_mean.wt.cat=med",107,23,3.6,"3.3 to NA","0.90 (0.84 to 0.96)","0.87 (0.8 to 0.94)","0.79 (0.7 to 0.89)","0.49 (0.31 to 0.79)"
"cyt.cat=high",54,8,NA,"3.6 to NA","0.91 (0.84 to 1)","0.91 (0.84 to 1)","0.85 (0.75 to 0.97)","0.62 (0.39 to 0.99)"
"cyt.cat=low",54,11,NA,"NA to NA","0.87 (0.78 to 0.97)","0.82 (0.72 to 0.94)","0.76 (0.64 to 0.91)","0.72 (0.59 to 0.88)"
"cyt.cat=med",107,19,NA,"3.3 to NA","0.95 (0.91 to 0.99)","0.91 (0.85 to 0.97)","0.85 (0.77 to 0.93)","0.61 (0.44 to 0.82)"
"cyt.bool=0",54,11,NA,"NA to NA","0.87 (0.78 to 0.97)","0.82 (0.72 to 0.94)","0.76 (0.64 to 0.91)","0.72 (0.59 to 0.88)"
"cyt.bool=1",54,8,NA,"3.6 to NA","0.91 (0.84 to 1)","0.91 (0.84 to 1)","0.85 (0.75 to 0.97)","0.62 (0.39 to 0.99)"
"gender=female",105,20,NA,"3.6 to NA","0.92 (0.87 to 0.98)","0.87 (0.8 to 0.95)","0.81 (0.73 to 0.91)","0.56 (0.38 to 0.83)"
"gender=male",110,18,NA,"NA to NA","0.92 (0.87 to 0.98)","0.90 (0.84 to 0.96)","0.84 (0.76 to 0.92)","0.66 (0.51 to 0.87)"
"tnm_stage=I",46,2,NA,"NA to NA","0.96 (0.9 to 1)","0.96 (0.9 to 1)","0.96 (0.9 to 1)","0.96 (0.9 to 1)"
"tnm_stage=II",78,10,NA,"3.6 to NA","0.91 (0.85 to 0.98)","0.91 (0.85 to 0.98)","0.89 (0.82 to 0.97)","0.66 (0.46 to 0.96)"
"tnm_stage=III",60,12,NA,"3.2 to NA","0.94 (0.89 to 1)","0.88 (0.79 to 0.98)","0.79 (0.68 to 0.92)","0.63 (0.43 to 0.94)"
"tnm_stage=IV",30,14,2.3,"1.4 to NA","0.84 (0.71 to 1)","0.72 (0.56 to 0.92)","0.55 (0.38 to 0.81)","0.24 (0.1 to 0.61)"
"TMB.cat=high",107,22,NA,"3.6 to NA","0.89 (0.83 to 0.96)","0.82 (0.75 to 0.91)","0.77 (0.68 to 0.86)","0.63 (0.46 to 0.85)"
"TMB.cat=low",108,16,NA,"3.3 to NA","0.95 (0.91 to 0.99)","0.95 (0.91 to 0.99)","0.89 (0.81 to 0.96)","0.63 (0.47 to 0.84)"
"PDL1.cat0=negative",4,1,NA,"1.5 to NA","1.00 (1 to 1)","1.00 (1 to 1)","0.67 (0.3 to 1)","0.67 (0.3 to 1)"
"PDL1.cat0=positive",211,37,NA,"NA to NA","0.92 (0.88 to 0.96)","0.88 (0.84 to 0.93)","0.83 (0.78 to 0.89)","0.62 (0.5 to 0.78)"
"PDL1.cat=high",54,7,NA,"3.6 to NA","0.94 (0.87 to 1)","0.94 (0.87 to 1)","0.88 (0.79 to 0.99)","0.60 (0.35 to 1)"
"PDL1.cat=low",54,11,3.3,"3.2 to NA","0.91 (0.83 to 1)","0.85 (0.75 to 0.97)","0.78 (0.65 to 0.93)","0.39 (0.15 to 1)"
"PDL1.cat=med",107,20,NA,"NA to NA","0.92 (0.87 to 0.98)","0.88 (0.82 to 0.95)","0.82 (0.75 to 0.91)","0.72 (0.61 to 0.85)"
"age.cat=<65",64,7,NA,"NA to NA","0.98 (0.95 to 1)","0.94 (0.88 to 1)","0.85 (0.74 to 0.97)","0.77 (0.61 to 0.97)"
"age.cat=>=65",151,31,NA,"3.3 to NA","0.90 (0.85 to 0.95)","0.86 (0.81 to 0.93)","0.82 (0.75 to 0.89)","0.57 (0.43 to 0.77)"
"nmdptc_mut.bool=0",6,0,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"nmdptc_mut.bool=1",209,38,NA,"3.6 to NA","0.92 (0.88 to 0.96)","0.88 (0.84 to 0.93)","0.82 (0.76 to 0.88)","0.62 (0.5 to 0.77)"
"nmdfs_mut.bool=0",51,5,NA,"NA to NA","0.98 (0.94 to 1)","0.98 (0.94 to 1)","0.88 (0.78 to 1)","0.80 (0.64 to 1)"
"nmdfs_mut.bool=1",164,33,NA,"3.6 to NA","0.90 (0.86 to 0.95)","0.86 (0.8 to 0.92)","0.81 (0.75 to 0.88)","0.59 (0.45 to 0.76)"
"nmdns_mut.bool=0",11,2,NA,"NA to NA","0.90 (0.73 to 1)","0.90 (0.73 to 1)","0.80 (0.59 to 1)","0.80 (0.59 to 1)"
"nmdns_mut.bool=1",204,36,NA,"3.6 to NA","0.92 (0.89 to 0.96)","0.89 (0.84 to 0.93)","0.83 (0.77 to 0.89)","0.62 (0.49 to 0.78)"
