"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"nmdns_med.wt.cat=high",67,25,3,"1.8 to NA","0.90 (0.83 to 0.98)","0.80 (0.7 to 0.91)","0.60 (0.47 to 0.77)","0.30 (0.11 to 0.78)"
"nmdns_med.wt.cat=low",67,27,2.2,"1.5 to NA","0.92 (0.85 to 0.99)","0.73 (0.63 to 0.86)","0.52 (0.39 to 0.69)","0.33 (0.19 to 0.56)"
"nmdns_med.wt.cat=med",134,40,NA,"2.2 to NA","0.92 (0.87 to 0.97)","0.78 (0.7 to 0.86)","0.67 (0.58 to 0.77)","0.54 (0.43 to 0.67)"
"nmdns_mean.cat=high",67,23,3,"1.8 to NA","0.90 (0.83 to 0.98)","0.83 (0.75 to 0.93)","0.62 (0.49 to 0.78)","0.21 (0.05 to 0.98)"
"nmdns_mean.cat=low",67,26,2.2,"1.5 to NA","0.91 (0.85 to 0.99)","0.75 (0.64 to 0.87)","0.53 (0.39 to 0.71)","0.32 (0.18 to 0.57)"
"nmdns_mean.cat=med",134,43,6,"2.1 to NA","0.92 (0.87 to 0.97)","0.75 (0.67 to 0.83)","0.65 (0.56 to 0.75)","0.53 (0.42 to 0.66)"
"nmdns_mean.wt.cat=high",67,25,3,"1.8 to NA","0.90 (0.83 to 0.98)","0.80 (0.7 to 0.91)","0.61 (0.48 to 0.77)","0.30 (0.12 to 0.78)"
"nmdns_mean.wt.cat=low",67,27,2.2,"1.5 to NA","0.93 (0.87 to 1)","0.77 (0.66 to 0.89)","0.56 (0.43 to 0.73)","0.30 (0.17 to 0.53)"
"nmdns_mean.wt.cat=med",134,40,NA,"2.4 to NA","0.91 (0.86 to 0.96)","0.76 (0.69 to 0.84)","0.65 (0.56 to 0.75)","0.55 (0.44 to 0.69)"
"msi=MSI-H",29,8,2.6,"2.4 to NA","0.96 (0.88 to 1)","0.76 (0.59 to 0.97)","0.69 (0.5 to 0.94)","0.26 (0.06 to 1)"
"msi=MSS",91,33,5,"1.5 to NA","0.90 (0.83 to 0.97)","0.72 (0.63 to 0.83)","0.52 (0.39 to 0.68)","0.34 (0.15 to 0.8)"
"msi=X",148,51,3,"2.1 to NA","0.91 (0.87 to 0.96)","0.80 (0.74 to 0.87)","0.65 (0.57 to 0.75)","0.46 (0.34 to 0.61)"
"cyt.cat=high",68,26,5,"1.7 to NA","0.90 (0.83 to 0.98)","0.72 (0.61 to 0.85)","0.59 (0.47 to 0.74)","0.34 (0.14 to 0.79)"
"cyt.cat=low",67,25,2.4,"1.5 to NA","0.90 (0.83 to 0.98)","0.74 (0.64 to 0.86)","0.56 (0.43 to 0.73)","0.45 (0.3 to 0.67)"
"cyt.cat=med",133,41,2.6,"2.2 to NA","0.92 (0.88 to 0.97)","0.81 (0.75 to 0.89)","0.65 (0.56 to 0.76)","0.42 (0.28 to 0.64)"
"cyt.bool=0",67,25,2.4,"1.5 to NA","0.90 (0.83 to 0.98)","0.74 (0.64 to 0.86)","0.56 (0.43 to 0.73)","0.45 (0.3 to 0.67)"
"cyt.bool=1",68,26,5,"1.7 to NA","0.90 (0.83 to 0.98)","0.72 (0.61 to 0.85)","0.59 (0.47 to 0.74)","0.34 (0.14 to 0.79)"
"gender=female",104,34,2.6,"2.1 to NA","0.92 (0.87 to 0.98)","0.76 (0.68 to 0.86)","0.64 (0.54 to 0.77)","0.38 (0.22 to 0.65)"
"gender=male",164,58,5,"2.1 to NA","0.91 (0.86 to 0.95)","0.78 (0.71 to 0.85)","0.60 (0.51 to 0.69)","0.40 (0.25 to 0.65)"
"race=asian",74,21,NA,"2.4 to NA","0.94 (0.89 to 1)","0.76 (0.66 to 0.87)","0.66 (0.54 to 0.8)","0.57 (0.41 to 0.8)"
"race=black or african american",3,2,6,"0.3 to NA","0.67 (0.3 to 1)","0.67 (0.3 to 1)","0.67 (0.3 to 1)","0.67 (0.3 to 1)"
"race=white",157,56,2.2,"2.1 to NA","0.91 (0.86 to 0.96)","0.79 (0.73 to 0.87)","0.59 (0.51 to 0.7)","0.00 (NA to NA)"
"tnm_stage=I",34,8,5,"2.4 to NA","0.90 (0.81 to 1)","0.87 (0.76 to 1)","0.87 (0.76 to 1)","0.33 (0.08 to 1)"
"tnm_stage=II",95,26,NA,"3 to NA","0.96 (0.91 to 1)","0.81 (0.74 to 0.9)","0.65 (0.54 to 0.78)","0.58 (0.43 to 0.77)"
"tnm_stage=III",99,41,2.1,"1.5 to NA","0.91 (0.85 to 0.97)","0.76 (0.68 to 0.86)","0.56 (0.45 to 0.69)","0.34 (0.22 to 0.51)"
"tnm_stage=IV",22,11,1,"0.6 to NA","0.78 (0.62 to 1)","0.52 (0.33 to 0.83)","0.38 (0.2 to 0.73)","0.38 (0.2 to 0.73)"
"TMB.cat=high",134,40,NA,"2.2 to NA","0.93 (0.89 to 0.98)","0.78 (0.7 to 0.86)","0.64 (0.55 to 0.75)","0.52 (0.41 to 0.66)"
"TMB.cat=low",134,52,2.2,"1.8 to NA","0.89 (0.84 to 0.95)","0.77 (0.69 to 0.85)","0.59 (0.5 to 0.7)","0.31 (0.16 to 0.6)"
"PDL1.cat=high",67,26,2.1,"1.5 to NA","0.88 (0.8 to 0.97)","0.74 (0.63 to 0.86)","0.59 (0.46 to 0.75)","0.41 (0.28 to 0.62)"
"PDL1.cat=low",67,21,2.2,"1.5 to NA","0.92 (0.86 to 0.99)","0.76 (0.65 to 0.88)","0.57 (0.43 to 0.75)","0.49 (0.34 to 0.73)"
"PDL1.cat=med",134,45,3,"2.4 to NA","0.92 (0.88 to 0.97)","0.80 (0.73 to 0.87)","0.64 (0.55 to 0.75)","0.32 (0.13 to 0.75)"
"age.cat=<65",117,40,5,"2.1 to NA","0.95 (0.9 to 0.99)","0.81 (0.73 to 0.89)","0.63 (0.54 to 0.75)","0.34 (0.15 to 0.78)"
"age.cat=>=65",151,52,2.4,"2.1 to NA","0.88 (0.83 to 0.94)","0.74 (0.67 to 0.82)","0.59 (0.5 to 0.7)","0.40 (0.26 to 0.6)"
"nmdptc_mut.bool=0",13,5,3,"2.1 to NA","0.75 (0.54 to 1)","0.75 (0.54 to 1)","0.75 (0.54 to 1)","0.00 (NA to NA)"
"nmdptc_mut.bool=1",255,87,2.4,"2.1 to NA","0.92 (0.89 to 0.96)","0.77 (0.72 to 0.83)","0.61 (0.54 to 0.68)","0.40 (0.27 to 0.6)"
"nmdfs_mut.bool=0",46,18,2.4,"2.1 to NA","0.81 (0.7 to 0.94)","0.71 (0.58 to 0.86)","0.71 (0.58 to 0.86)","0.24 (0.06 to 1)"
"nmdfs_mut.bool=1",222,74,2.6,"2.1 to NA","0.93 (0.9 to 0.97)","0.79 (0.73 to 0.85)","0.59 (0.52 to 0.68)","0.39 (0.24 to 0.64)"
"nmdns_mut.bool=0",36,16,2.1,"1.4 to NA","0.85 (0.74 to 0.98)","0.73 (0.59 to 0.9)","0.56 (0.39 to 0.78)","0.00 (NA to NA)"
"nmdns_mut.bool=1",232,76,2.6,"2.2 to NA","0.92 (0.89 to 0.96)","0.78 (0.72 to 0.84)","0.63 (0.55 to 0.71)","0.49 (0.4 to 0.59)"
