"strata","n","n_event","medsurv","medsurv_ci95","survprobObs_0.5yr","survprobObs_1yr","survprobObs_2yr","survprobObs_5yr"
"tnm_stage=IV",41,5,NA,"4.8 to NA","0.97 (0.92 to 1)","0.97 (0.92 to 1)","0.94 (0.86 to 1)","0.71 (0.46 to 1)"
"TMB.cat=high",198,9,NA,"NA to NA","0.99 (0.98 to 1)","0.99 (0.97 to 1)","0.98 (0.96 to 1)","0.89 (0.82 to 0.98)"
"TMB.cat=low",202,5,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.95 (0.91 to 1)"
"PDL1.cat0=negative",2,0,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)"
"PDL1.cat0=positive",398,14,NA,"NA to NA","1.00 (0.99 to 1)","0.99 (0.99 to 1)","0.99 (0.98 to 1)","0.92 (0.88 to 0.97)"
"PDL1.cat=high",100,1,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.97 (0.92 to 1)"
"PDL1.cat=low",100,4,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.86 (0.73 to 1)"
"PDL1.cat=med",200,9,NA,"NA to NA","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.98 (0.96 to 1)","0.93 (0.87 to 0.99)"
"age.cat=<65",340,3,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.98 (0.96 to 1)"
"age.cat=>=65",60,11,8.1,"4.8 to NA","0.98 (0.95 to 1)","0.97 (0.92 to 1)","0.95 (0.89 to 1)","0.62 (0.43 to 0.89)"
"nmdptc_mut.bool=0",70,1,NA,"NA to NA","1.00 (1 to 1)","1.00 (1 to 1)","1.00 (1 to 1)","0.97 (0.92 to 1)"
"nmdptc_mut.bool=1",330,13,NA,"NA to NA","1.00 (0.99 to 1)","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.91 (0.86 to 0.97)"
"nmdfs_mut.bool=0",149,4,NA,"NA to NA","1.00 (1 to 1)","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.97 (0.93 to 1)"
"nmdfs_mut.bool=1",251,10,NA,"NA to NA","1.00 (0.99 to 1)","1.00 (0.99 to 1)","0.99 (0.98 to 1)","0.90 (0.83 to 0.97)"
"nmdns_mut.bool=0",159,5,NA,"NA to NA","0.99 (0.98 to 1)","0.99 (0.98 to 1)","0.99 (0.97 to 1)","0.96 (0.92 to 1)"
"nmdns_mut.bool=1",241,9,NA,"NA to NA","1.00 (1 to 1)","1.00 (0.99 to 1)","1.00 (0.99 to 1)","0.89 (0.82 to 0.97)"
